"Year","Race","State","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2018","HI Native / Pacific Islander","Alabama","0**","2,502","0.00**","0.00**","--"
"2018","HI Native / Pacific Islander","Alaska","--","10,770","--","--","--"
"2018","HI Native / Pacific Islander","Arizona","--","13,296","--","--","--"
"2018","HI Native / Pacific Islander","Arkansas","0**","10,445","0.00**","0.00**","--"
"2018","HI Native / Pacific Islander","California","14**","145,711","9.61**","9.52**","446"
"2018","HI Native / Pacific Islander","Colorado","--","8,006","--","--","--"
"2018","HI Native / Pacific Islander","Connecticut","0**","1,294","0.00**","0.00**","--"
"2018","HI Native / Pacific Islander","Delaware","0**","333","0.00**","0.00**","--"
"2018","HI Native / Pacific Islander","District of Columbia","0**","338","0.00**","0.00**","--"
"2018","HI Native / Pacific Islander","Florida","0**","13,511","0.00**","0.00**","--"
"2018","HI Native / Pacific Islander","Georgia","0**","7,241","0.00**","0.00**","--"
"2018","HI Native / Pacific Islander","Hawaii","--","138,215","--","--","--"
"2018","HI Native / Pacific Islander","Idaho","0**","3,090","0.00**","0.00**","--"
"2018","HI Native / Pacific Islander","Illinois","0**","3,586","0.00**","0.00**","--"
"2018","HI Native / Pacific Islander","Indiana","0**","2,508","0.00**","0.00**","--"
"2018","HI Native / Pacific Islander","Iowa","--","3,652","--","--","--"
"2018","HI Native / Pacific Islander","Kansas","0**","2,774","0.00**","0.00**","--"
"2018","HI Native / Pacific Islander","Kentucky","0**","2,997","0.00**","0.00**","--"
"2018","HI Native / Pacific Islander","Louisiana","--","1,801","--","--","--"
"2018","HI Native / Pacific Islander","Maine","0**","390","0.00**","0.00**","--"
"2018","HI Native / Pacific Islander","Maryland","0**","2,951","0.00**","0.00**","--"
"2018","HI Native / Pacific Islander","Massachusetts","0**","2,917","0.00**","0.00**","--"
"2018","HI Native / Pacific Islander","Michigan","0**","2,729","0.00**","0.00**","--"
"2018","HI Native / Pacific Islander","Minnesota","0**","2,994","0.00**","0.00**","--"
"2018","HI Native / Pacific Islander","Mississippi","0**","1,050","0.00**","0.00**","--"
"2018","HI Native / Pacific Islander","Missouri","--","7,962","--","--","--"
"2018","HI Native / Pacific Islander","Montana","0**","751","0.00**","0.00**","--"
"2018","HI Native / Pacific Islander","Nebraska","0**","1,172","0.00**","0.00**","--"
"2018","HI Native / Pacific Islander","Nevada","--","19,831","--","--","--"
"2018","HI Native / Pacific Islander","New Hampshire","0**","377","0.00**","0.00**","--"
"2018","HI Native / Pacific Islander","New Jersey","0**","3,182","0.00**","0.00**","--"
"2018","HI Native / Pacific Islander","New Mexico","0**","1,378","0.00**","0.00**","--"
"2018","HI Native / Pacific Islander","New York","0**","9,015","0.00**","0.00**","--"
