"Year","Race","State","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2020","More than One Race","Alaska","16**","51,777","30.90**","39.01**","488"
"2020","More than One Race","Arizona","23","159,996","14.38","14.92","774"
"2020","More than One Race","Arkansas","--","61,251","--","--","--"
"2020","More than One Race","California","75","1,164,778","6.44","6.63","2,540"
"2020","More than One Race","Colorado","11**","140,666","7.82**","7.48**","392"
"2020","More than One Race","Connecticut","0**","66,588","0.00**","0.00**","--"
"2020","More than One Race","Delaware","--","24,657","--","--","--"
"2020","More than One Race","District of Columbia","0**","16,120","0.00**","0.00**","--"
"2020","More than One Race","Florida","20**","378,274","5.29**","6.34**","653"
"2020","More than One Race","Georgia","--","209,908","--","--","--"
"2020","More than One Race","Hawaii","16**","293,805","5.45**","5.87**","441"
"2020","More than One Race","Idaho","--","39,007","--","--","--"
"2020","More than One Race","Illinois","10**","219,751","4.55**","4.03**","390"
"2020","More than One Race","Indiana","--","134,757","--","--","--"
"2020","More than One Race","Iowa","--","57,605","--","--","--"
"2020","More than One Race","Kansas","11**","79,725","13.80**","16.73**","381"
"2020","More than One Race","Kentucky","--","87,536","--","--","--"
"2020","More than One Race","Louisiana","--","72,350","--","--","--"
"2020","More than One Race","Maine","0**","23,513","0.00**","0.00**","--"
"2020","More than One Race","Maryland","--","157,214","--","--","--"
"2020","More than One Race","Massachusetts","--","134,301","--","--","--"
"2020","More than One Race","Michigan","15**","237,322","6.32**","6.79**","569"
"2020","More than One Race","Minnesota","10**","136,448","7.33**","6.50**","401"
"2020","More than One Race","Mississippi","--","36,815","--","--","--"
"2020","More than One Race","Missouri","15**","139,489","10.75**","12.51**","487"
"2020","More than One Race","Montana","--","27,787","--","--","--"
"2020","More than One Race","Nebraska","--","39,271","--","--","--"
"2020","More than One Race","Nevada","18**","116,063","15.51**","21.80**","515"
"2020","More than One Race","New Hampshire","--","22,027","--","--","--"
"2020","More than One Race","New Jersey","0**","148,657","0.00**","0.00**","--"
"2020","More than One Race","New Mexico","0**","34,055","0.00**","0.00**","--"
"2020","More than One Race","New York","11**","376,059","2.93**","3.28**","394"
"2020","More than One Race","North Carolina","16**","216,943","7.38**","8.77**","533"
"2020","More than One Race","North Dakota","--","16,518","--","--","--"
"2020","More than One Race","Ohio","10**","267,182","3.74**","4.24**","353"
"2020","More than One Race","Oklahoma","27","229,389","11.77","14.01","800"
"2020","More than One Race","Oregon","16**","145,389","11.01**","12.07**","480"
"2020","More than One Race","Pennsylvania","12**","233,528","5.14**","8.23**","355"
"2020","More than One Race","Rhode Island","0**","23,988","0.00**","0.00**","--"
"2020","More than One Race","South Carolina","--","94,525","--","--","--"
"2020","More than One Race","South Dakota","--","20,132","--","--","--"
"2020","More than One Race","Tennessee","--","128,832","--","--","--"
"2020","More than One Race","Texas","14**","460,381","3.04**","2.64**","565"
"2020","More than One Race","Utah","10**","72,123","13.87**","15.38**","336"
"2020","More than One Race","Vermont","0**","11,873","0.00**","0.00**","--"
"2020","More than One Race","Virginia","11**","243,422","4.52**","5.24**","366"
"2020","More than One Race","Washington","28","334,341","8.38","9.16","924"
"2020","More than One Race","West Virginia","--","32,430","--","--","--"
"2020","More than One Race","Wisconsin","--","106,986","--","--","--"
"2020","More than One Race","Wyoming","0**","10,725","0.00**","0.00**","--"
"2019","White","Alabama","620","3,204,686","19.35","18.32","11,091"
"2019","White","Alaska","96","439,032","21.87","20.44","2,101"
"2019","White","Arizona","730","3,946,381","18.50","16.34","11,065"
"2019","White","Arkansas","398","2,173,912","18.31","17.51","7,850"
"2019","White","California","1,383","14,364,928","9.63","7.88","17,767"
"2019","White","Colorado","634","3,897,567","16.27","15.01","12,358"
"2019","White","Connecticut","112","2,349,124","4.77","4.38","1,666"
"2019","White","Delaware","49","600,086","8.17","7.67","786"
"2019","White","District of Columbia","--","264,894","--","--","--"
"2019","White","Florida","1,741","11,477,351","15.17","12.91","23,580"
"2019","White","Georgia","903","5,526,498","16.34","15.13","15,764"
"2019","White","Hawaii","19**","304,634","6.24**","5.36**","332"
"2019","White","Idaho","227","1,460,634","15.54","14.92","4,143"
"2019","White","Illinois","559","7,699,015","7.26","6.62","9,150"
"2019","White","Indiana","634","5,274,914","12.02","11.17","11,811"
"2019","White","Iowa","251","2,681,114","9.36","8.84","4,885"
"2019","White","Kansas","296","2,194,676","13.49","13.09","6,081"
"2019","White","Kentucky","542","3,761,002","14.41","13.57","9,891"
"2019","White","Louisiana","464","2,718,017","17.07","16.43","8,942"
"2019","White","Maine","158","1,250,568","12.63","11.85","2,951"
"2019","White","Maryland","246","3,026,945","8.13","7.04","3,562"
"2019","White","Massachusetts","150","4,897,854","3.06","2.76","2,654"
"2019","White","Michigan","714","7,454,804","9.58","8.78","12,109"
"2019","White","Minnesota","349","4,451,782","7.84","7.40","6,459"
"2019","White","Mississippi","337","1,678,937","20.07","19.12","6,479"
"2019","White","Missouri","748","4,858,877","15.40","14.72","14,425"
"2019","White","Montana","177","918,856","19.26","17.88","3,174"
"2019","White","Nebraska","168","1,510,623","11.12","10.24","2,963"
"2019","White","Nevada","335","1,485,334","22.55","19.52","5,090"
"2019","White","New Hampshire","144","1,220,183","11.80","10.78","2,592"
"2019","White","New Jersey","162","4,853,675","3.34","2.78","2,113"
"2019","White","New Mexico","212","770,328","27.52","24.47","3,338"
"2019","White","New York","447","10,766,164","4.15","3.60","6,740"
"2019","White","North Carolina","817","6,572,329","12.43","11.36","14,197"
"2019","White","North Dakota","85","638,598","13.31","13.25","1,843"
"2019","White","Ohio","1,038","9,158,965","11.33","10.57","18,659"
"2019","White","Oklahoma","501","2,565,907","19.53","18.23","9,174"
"2019","White","Oregon","492","3,164,041","15.55","13.98","8,337"
"2019","White","Pennsylvania","976","9,684,468","10.08","8.84","15,230"
"2019","White","Rhode Island","36","755,716","4.76","4.50","581"
"2019","White","South Carolina","564","3,280,415","17.19","16.29","10,547"
"2019","White","South Dakota","97","721,513","13.44","13.55","2,130"
"2019","White","Tennessee","825","5,020,913","16.43","15.22","14,133"
"2019","White","Texas","1,996","11,939,907","16.72","15.46","36,469"
"2019","White","Utah","326","2,496,399","13.06","13.58","7,865"
"2019","White","Vermont","65","577,220","11.26","9.78","1,128"
"2019","White","Virginia","650","5,233,436","12.42","11.26","11,098"
"2019","White","Washington","647","5,126,571","12.62","11.37","10,483"
"2019","White","West Virginia","277","1,650,894","16.78","16.44","5,535"
"2019","White","Wisconsin","444","4,699,157","9.45","8.46","7,184"
"2019","White","Wyoming","118","485,773","24.29","23.19","2,204"
"2019","Black","Alabama","421","1,300,338","32.38","32.34","13,527"
"2019","Black","Alaska","--","24,008","--","--","--"
"2019","Black","Arizona","63","327,630","19.23","17.74","2,171"
"2019","Black","Arkansas","164","467,017","35.12","34.99","5,383"
"2019","Black","California","441","2,213,986","19.92","19.32","13,830"
"2019","Black","Colorado","52","232,733","22.34","21.17","1,807"
"2019","Black","Connecticut","52","369,399","14.08","13.82","1,535"
