"Year","State","Metro / Non-Metro","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2020","Iowa","Metro","29","56,871","50.99","42.78","1,214"
"2020","Iowa","Non-Metro","--","14,610","--","--","--"
"2020","Kansas","Metro","60","78,060","76.86","74.58","1,950"
"2020","Kansas","Non-Metro","--","16,340","--","--","--"
"2020","Kentucky","Metro","133","156,551","84.96","77.87","4,751"
"2020","Kentucky","Non-Metro","--","36,274","--","--","--"
"2020","Louisiana","Metro","500","613,728","81.47","80.00","17,499"
"2020","Louisiana","Non-Metro","72","115,984","62.08","58.74","2,479"
"2020","Maine","Metro","--","10,730","--","--","--"
"2020","Maine","Non-Metro","0**","2,557","0.00**","0.00**","--"
"2020","Maryland","Metro","411","898,342","45.75","44.80","14,389"
"2020","Maryland","Non-Metro","--","10,259","--","--","--"
"2020","Massachusetts","Metro","65","313,670","20.72","18.82","2,334"
"2020","Massachusetts","Non-Metro","0**","2,119","0.00**","0.00**","--"
"2020","Michigan","Metro","452","654,569","69.05","68.34","14,979"
"2020","Michigan","Non-Metro","--","22,996","--","--","--"
"2020","Minnesota","Metro","74","199,351","37.12","33.96","2,633"
"2020","Minnesota","Non-Metro","0**","13,161","0.00**","0.00**","--"
"2020","Mississippi","Metro","173","239,562","72.22","69.87","5,811"
"2020","Mississippi","Non-Metro","169","290,123","58.25","58.25","5,618"
"2020","Missouri","Metro","418","316,503","132.07","130.76","14,498"
"2020","Missouri","Non-Metro","16**","30,979","51.65**","43.79**","548"
"2020","Montana","Metro","--","2,036","--","--","--"
"2020","Montana","Non-Metro","0**","1,905","0.00**","0.00**","--"
"2020","Nebraska","Metro","18**","47,893","37.58**","36.18**","614"
"2020","Nebraska","Non-Metro","0**","6,004","0.00**","0.00**","--"
"2020","Nevada","Metro","53","157,991","33.55","33.04","1,792"
"2020","Nevada","Non-Metro","0**","3,997","0.00**","0.00**","--"
"2020","New Hampshire","Metro","0**","11,155","0.00**","0.00**","--"
"2020","New Hampshire","Non-Metro","0**","3,373","0.00**","0.00**","--"
"2020","New Jersey","Metro","178","677,202","26.29","25.06","6,084"
"2020","New Mexico","Metro","10**","21,205","47.16**","41.54**","340"
"2020","New Mexico","Non-Metro","--","9,921","--","--","--"
"2020","New York","Metro","368","1,641,120","22.42","21.42","12,973"
"2020","New York","Non-Metro","--","32,998","--","--","--"
"2020","North Carolina","Metro","320","871,665","36.71","34.96","11,241"
"2020","North Carolina","Non-Metro","118","224,102","52.66","53.35","4,086"
"2020","North Dakota","Metro","--","9,705","--","--","--"
"2020","North Dakota","Non-Metro","--","5,778","--","--","--"
"2020","Ohio","Metro","532","715,241","74.38","72.74","19,136"
"2020","Ohio","Non-Metro","--","32,795","--","--","--"
"2020","Oklahoma","Metro","60","129,773","46.24","44.68","1,958"
"2020","Oklahoma","Non-Metro","10**","26,471","37.78**","32.33**","398"
"2020","Oregon","Metro","20**","48,075","41.60**","37.93**","646"
"2020","Oregon","Non-Metro","--","3,619","--","--","--"
"2020","Pennsylvania","Metro","543","739,824","73.40","68.54","19,861"
"2020","Pennsylvania","Non-Metro","--","28,164","--","--","--"
"2020","Rhode Island","Metro","--","47,770","--","--","--"
"2020","South Carolina","Metro","270","512,565","52.68","50.29","9,632"
"2020","South Carolina","Non-Metro","89","133,098","66.87","67.22","3,347"
"2020","South Dakota","Metro","--","9,394","--","--","--"
"2020","South Dakota","Non-Metro","0**","3,145","0.00**","0.00**","--"
"2020","Tennessee","Metro","385","508,251","75.75","71.98","13,348"
"2020","Tennessee","Non-Metro","23","51,551","44.62","41.92","756"
"2020","Texas","Metro","645","1,720,508","37.49","34.96","22,046"
"2020","Texas","Non-Metro","28","138,781","20.18","17.88","846"
"2020","Utah","Metro","--","26,053","--","--","--"
"2020","Utah","Non-Metro","0**","1,556","0.00**","0.00**","--"
"2020","Vermont","Metro","--","2,645","--","--","--"
"2020","Vermont","Non-Metro","0**","2,661","0.00**","0.00**","--"
"2020","Virginia","Metro","260","732,759","35.48","33.79","9,301"
"2020","Virginia","Non-Metro","23","100,230","22.95","23.46","733"
"2020","Washington","Metro","50","178,625","27.99","26.05","1,852"
"2020","Washington","Non-Metro","--","7,753","--","--","--"
