"Year","Intent","Sex","State","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2022","Homicide","Females","West Virginia","16**","888,850","1.80**","1.76**","353"
"2022","Homicide","Females","Wisconsin","69","2,937,233","2.35","2.60","2,186"
"2022","Homicide","Females","Wyoming","--","283,427","--","--","--"
"2022","Legal Intervention","Males","Alabama","--","2,467,360","--","--","--"
"2022","Legal Intervention","Males","Alaska","--","385,947","--","--","--"
"2022","Legal Intervention","Males","Arizona","33","3,679,034","0.90","0.91","936"
"2022","Legal Intervention","Males","Arkansas","--","1,505,477","--","--","--"
"2022","Legal Intervention","Males","California","82","19,535,016","0.42","0.41","2,350"
"2022","Legal Intervention","Males","Colorado","23","2,964,544","0.78","0.69","627"
"2022","Legal Intervention","Males","Connecticut","--","1,776,254","--","--","--"
"2022","Legal Intervention","Males","Delaware","--","494,520","--","--","--"
"2022","Legal Intervention","Males","Florida","30","10,945,426","0.27","0.29","746"
"2022","Legal Intervention","Males","Georgia","25","5,330,652","0.47","0.45","753"
"2022","Legal Intervention","Males","Hawaii","--","724,711","--","--","--"
"2022","Legal Intervention","Males","Idaho","--","977,139","--","--","--"
"2022","Legal Intervention","Males","Illinois","15**","6,228,734","0.24**","0.25**","353"
"2022","Legal Intervention","Males","Indiana","13**","3,395,488","0.38**","0.44**","374"
"2022","Legal Intervention","Males","Iowa","--","1,606,737","--","--","--"
"2022","Legal Intervention","Males","Kansas","--","1,475,455","--","--","--"
"2022","Legal Intervention","Males","Kentucky","12**","2,240,509","0.54**","0.59**","299"
"2022","Legal Intervention","Males","Louisiana","--","2,247,370","--","--","--"
"2022","Legal Intervention","Males","Maine","--","683,232","--","--","--"
"2022","Legal Intervention","Males","Maryland","--","3,001,909","--","--","--"
"2022","Legal Intervention","Males","Massachusetts","--","3,417,950","--","--","--"
"2022","Legal Intervention","Males","Michigan","--","4,982,544","--","--","--"
"2022","Legal Intervention","Males","Minnesota","--","2,871,216","--","--","--"
