"Year","Intent","State","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2018","Suicide","Pennsylvania","1,025","12,809,107","8.00","7.27","17,038"
"2018","Suicide","Rhode Island","23","1,059,338","2.17","2.05","377"
"2018","Suicide","South Carolina","493","5,091,702","9.68","9.05","9,156"
"2018","Suicide","South Dakota","91","879,386","10.35","10.30","2,212"
"2018","Suicide","Tennessee","690","6,778,180","10.18","9.57","11,894"
"2018","Suicide","Texas","2,263","28,624,564","7.91","7.85","44,779"
"2018","Suicide","Utah","339","3,155,153","10.74","11.32","8,284"
"2018","Suicide","Vermont","70","624,802","11.20","10.46","1,285"
"2018","Suicide","Virginia","679","8,510,920","7.98","7.46","12,297"
"2018","Suicide","Washington","599","7,526,793","7.96","7.44","10,574"
"2018","Suicide","West Virginia","257","1,805,953","14.23","13.05","4,113"
"2018","Suicide","Wisconsin","420","5,809,319","7.23","6.76","7,430"
"2018","Suicide","Wyoming","108","579,054","18.65","18.00","2,230"
"2018","Undetermined","Alabama","16**","4,891,628","0.33**","0.36**","586"
"2018","Undetermined","Alaska","--","736,624","--","--","--"
"2018","Undetermined","Arizona","16**","7,164,228","0.22**","0.23**","484"
"2018","Undetermined","Arkansas","--","3,012,161","--","--","--"
"2018","Undetermined","California","21","39,437,463","0.05","0.05","522"
"2018","Undetermined","Colorado","--","5,697,155","--","--","--"
"2018","Undetermined","Connecticut","--","3,574,561","--","--","--"
"2018","Undetermined","Delaware","--","966,985","--","--","--"
"2018","Undetermined","Florida","16**","21,254,926","0.08**","0.08**","491"
"2018","Undetermined","Georgia","--","10,519,389","--","--","--"
"2018","Undetermined","Hawaii","--","1,423,102","--","--","--"
"2018","Undetermined","Idaho","--","1,752,074","--","--","--"
"2018","Undetermined","Illinois","--","12,724,685","--","--","--"
"2018","Undetermined","Indiana","--","6,698,481","--","--","--"
"2018","Undetermined","Iowa","--","3,149,900","--","--","--"
"2018","Undetermined","Kansas","--","2,912,748","--","--","--"
"2018","Undetermined","Kentucky","15**","4,464,273","0.34**","0.32**","377"
"2018","Undetermined","Louisiana","11**","4,664,450","0.24**","0.24**","340"
"2018","Undetermined","Maine","0**","1,340,123","0.00**","0.00**","--"
"2018","Undetermined","Maryland","--","6,042,153","--","--","--"
"2018","Undetermined","Massachusetts","--","6,885,720","--","--","--"
"2018","Undetermined","Michigan","10**","9,987,286","0.10**","0.10**","316"
"2018","Undetermined","Minnesota","--","5,608,762","--","--","--"
"2018","Undetermined","Mississippi","13**","2,982,879","0.44**","0.46**","453"
"2018","Undetermined","Missouri","--","6,125,986","--","--","--"
"2018","Undetermined","Montana","--","1,061,818","--","--","--"
"2018","Undetermined","Nebraska","--","1,925,512","--","--","--"
"2018","Undetermined","Nevada","--","3,030,725","--","--","--"
"2018","Undetermined","New Jersey","--","8,891,730","--","--","--"
"2018","Undetermined","New Mexico","--","2,093,754","--","--","--"
"2018","Undetermined","New York","--","19,544,098","--","--","--"
"2018","Undetermined","North Carolina","--","10,391,358","--","--","--"
"2018","Undetermined","Ohio","17**","11,680,892","0.15**","0.15**","470"
"2018","Undetermined","Oklahoma","11**","3,943,488","0.28**","0.30**","283"
"2018","Undetermined","Oregon","--","4,183,538","--","--","--"
"2018","Undetermined","Pennsylvania","10**","12,809,107","0.08**","0.09**","280"
"2018","Undetermined","Rhode Island","--","1,059,338","--","--","--"
"2018","Undetermined","South Carolina","--","5,091,702","--","--","--"
"2018","Undetermined","Tennessee","14**","6,778,180","0.21**","0.21**","343"
"2018","Undetermined","Texas","38","28,624,564","0.13","0.13","1,269"
"2018","Undetermined","Utah","--","3,155,153","--","--","--"
"2018","Undetermined","Vermont","0**","624,802","0.00**","0.00**","--"
"2018","Undetermined","Virginia","--","8,510,920","--","--","--"
"2018","Undetermined","Washington","--","7,526,793","--","--","--"
"2018","Undetermined","West Virginia","--","1,805,953","--","--","--"
"2018","Undetermined","Wisconsin","--","5,809,319","--","--","--"
"2017","Unintentional","Alabama","21","4,877,989","0.43","0.44","574"
"2017","Unintentional","Alaska","--","740,983","--","--","--"
"2017","Unintentional","Arizona","--","7,048,088","--","--","--"
"2017","Unintentional","Arkansas","19**","3,003,855","0.63**","0.68**","651"
"2017","Unintentional","California","38","39,337,785","0.10","0.10","1,174"
"2017","Unintentional","Colorado","--","5,617,421","--","--","--"
"2017","Unintentional","Connecticut","--","3,575,324","--","--","--"
"2017","Unintentional","Florida","20**","20,977,089","0.10**","0.11**","754"
"2017","Unintentional","Georgia","21","10,417,031","0.20","0.19","550"
"2017","Unintentional","Idaho","--","1,719,745","--","--","--"
"2017","Unintentional","Illinois","11**","12,779,893","0.09**","0.09**","351"
"2017","Unintentional","Indiana","13**","6,662,068","0.20**","0.17**","298"
"2017","Unintentional","Iowa","--","3,143,734","--","--","--"
"2017","Unintentional","Kansas","10**","2,910,892","0.34**","0.34**","334"
"2017","Unintentional","Kentucky","15**","4,455,590","0.34**","0.35**","505"
"2017","Unintentional","Louisiana","10**","4,673,673","0.21**","0.21**","302"
"2017","Unintentional","Maine","--","1,335,743","--","--","--"
"2017","Unintentional","Maryland","--","6,028,186","--","--","--"
"2017","Unintentional","Massachusetts","--","6,863,560","--","--","--"
"2017","Unintentional","Michigan","--","9,976,752","--","--","--"
"2017","Unintentional","Minnesota","--","5,569,283","--","--","--"
"2017","Unintentional","Mississippi","15**","2,990,674","0.50**","0.52**","657"
"2017","Unintentional","Missouri","30","6,111,382","0.49","0.51","1,040"
