"Year","Age Group","State","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2022","15 to 19","South Dakota","13**","61,348","21.19**","--","615"
"2022","15 to 19","Tennessee","130","440,419","29.52","--","6,175"
"2022","15 to 19","Texas","455","2,152,692","21.14","--","21,644"
"2022","15 to 19","Utah","22","274,221","8.02","--","1,048"
"2022","15 to 19","Vermont","--","41,564","--","--","--"
"2022","15 to 19","Virginia","110","557,946","19.72","--","5,243"
"2022","15 to 19","Washington","48","459,601","10.44","--","2,289"
"2022","15 to 19","West Virginia","11**","107,985","10.19**","--","527"
"2022","15 to 19","Wisconsin","64","383,560","16.69","--","3,059"
"2022","15 to 19","Wyoming","--","39,138","--","--","--"
"2022","20 to 24","Alabama","172","355,450","48.39","--","7,404"
"2022","20 to 24","Alaska","22","52,144","42.19","--","951"
"2022","20 to 24","Arizona","147","525,749","27.96","--","6,333"
"2022","20 to 24","Arkansas","72","211,870","33.98","--","3,110"
"2022","20 to 24","California","343","2,651,334","12.94","--","14,748"
"2022","20 to 24","Colorado","102","402,370","25.35","--","4,397"
"2022","20 to 24","Connecticut","33","243,660","13.54","--","1,422"
"2022","20 to 24","Delaware","18**","61,460","29.29**","--","782"
"2022","20 to 24","District of Columbia","24","48,094","49.90","--","1,029"
"2022","20 to 24","Florida","329","1,349,949","24.37","--","14,159"
"2022","20 to 24","Georgia","296","774,600","38.21","--","12,678"
"2022","20 to 24","Hawaii","--","90,645","--","--","--"
"2022","20 to 24","Idaho","35","134,671","25.99","--","1,502"
"2022","20 to 24","Illinois","226","850,012","26.59","--","9,731"
"2022","20 to 24","Indiana","147","495,248","29.68","--","6,351"
"2022","20 to 24","Iowa","48","236,639","20.28","--","2,071"
"2022","20 to 24","Kansas","60","224,218","26.76","--","2,560"
"2022","20 to 24","Kentucky","87","308,953","28.16","--","3,756"
"2022","20 to 24","Louisiana","203","315,325","64.38","--","8,732"
"2022","20 to 24","Maine","11**","78,650","13.99**","--","471"
"2022","20 to 24","Maryland","129","384,265","33.57","--","5,568"
"2022","20 to 24","Massachusetts","34","494,871","6.87","--","1,455"
"2022","20 to 24","Michigan","167","700,513","23.84","--","7,167"
"2022","20 to 24","Minnesota","64","370,991","17.25","--","2,745"
"2022","20 to 24","Mississippi","108","210,325","51.35","--","4,645"
"2022","20 to 24","Missouri","186","422,799","43.99","--","7,984"
"2022","20 to 24","Montana","14**","78,328","17.87**","--","597"
"2022","20 to 24","Nebraska","22","143,207","15.36","--","951"
"2022","20 to 24","Nevada","48","196,076","24.48","--","2,041"
"2022","20 to 24","New Hampshire","10**","87,504","11.43**","--","425"
"2022","20 to 24","New Jersey","61","577,013","10.57","--","2,598"
"2022","20 to 24","New Mexico","55","149,790","36.72","--","2,359"
"2022","20 to 24","New York","115","1,304,457","8.82","--","4,918"
"2022","20 to 24","North Carolina","229","747,739","30.63","--","9,897"
"2022","20 to 24","North Dakota","11**","65,051","16.91**","--","471"
"2022","20 to 24","Ohio","223","777,891","28.67","--","9,587"
"2022","20 to 24","Oklahoma","72","296,925","24.25","--","3,092"
"2022","20 to 24","Oregon","56","272,409","20.56","--","2,395"
"2022","20 to 24","Pennsylvania","209","841,180","24.85","--","8,972"
"2022","20 to 24","Rhode Island","--","77,626","--","--","--"
"2022","20 to 24","South Carolina","134","353,606","37.90","--","5,773"
"2022","20 to 24","South Dakota","19**","63,065","30.13**","--","817"
"2022","20 to 24","Tennessee","175","477,085","36.68","--","7,515"
"2022","20 to 24","Texas","568","2,191,176","25.92","--","24,406"
"2022","20 to 24","Utah","54","299,076","18.06","--","2,332"
"2022","20 to 24","Vermont","--","45,899","--","--","--"
"2022","20 to 24","Virginia","181","595,826","30.38","--","7,780"
"2022","20 to 24","Washington","83","502,795","16.51","--","3,572"
"2022","20 to 24","West Virginia","24","116,076","20.68","--","1,035"
"2022","20 to 24","Wisconsin","74","411,840","17.97","--","3,170"
"2022","20 to 24","Wyoming","20**","39,334","50.85**","--","856"
"2022","25 to 29","Alabama","138","321,108","42.98","--","5,255"
"2022","25 to 29","Alaska","18**","54,405","33.09**","--","677"
"2022","25 to 29","Arizona","151","507,896","29.73","--","5,737"
"2022","25 to 29","Arkansas","59","194,823","30.28","--","2,256"
"2022","25 to 29","California","397","2,757,767","14.40","--","15,028"
"2022","25 to 29","Colorado","122","444,634","27.44","--","4,639"
"2022","25 to 29","Connecticut","24","223,861","10.72","--","909"
"2022","25 to 29","Delaware","11**","60,472","18.19**","--","406"
"2022","25 to 29","District of Columbia","23","70,708","32.53","--","871"
"2022","25 to 29","Florida","315","1,341,451","23.48","--","11,997"
"2022","25 to 29","Georgia","260","741,285","35.07","--","9,858"
"2022","25 to 29","Hawaii","--","91,699","--","--","--"
"2022","25 to 29","Idaho","23","124,278","18.51","--","876"
"2022","25 to 29","Illinois","248","836,897","29.63","--","9,445"
"2022","25 to 29","Indiana","143","445,837","32.08","--","5,465"
"2022","25 to 29","Iowa","24","199,645","12.02","--","925"
"2022","25 to 29","Kansas","49","188,748","25.96","--","1,879"
"2022","25 to 29","Kentucky","84","292,630","28.71","--","3,218"
"2022","25 to 29","Louisiana","161","292,626","55.02","--","6,107"
"2022","25 to 29","Maine","16**","80,262","19.94**","--","609"
"2022","25 to 29","Maryland","117","385,067","30.38","--","4,446"
"2022","25 to 29","Massachusetts","37","480,930","7.69","--","1,418"
"2022","25 to 29","Michigan","164","650,018","25.23","--","6,224"
"2022","25 to 29","Minnesota","46","361,725","12.72","--","1,741"
"2022","25 to 29","Mississippi","102","185,234","55.07","--","3,867"
"2022","25 to 29","Missouri","124","398,664","31.10","--","4,716"
"2022","25 to 29","Montana","21","72,428","28.99","--","798"
"2022","25 to 29","Nebraska","25","126,392","19.78","--","947"
"2022","25 to 29","Nevada","59","219,682","26.86","--","2,237"
"2022","25 to 29","New Hampshire","19**","87,017","21.84**","--","728"
"2022","25 to 29","New Jersey","55","576,945","9.53","--","2,087"
"2022","25 to 29","New Mexico","53","136,599","38.80","--","2,005"
"2022","25 to 29","New York","118","1,354,760","8.71","--","4,452"
"2022","25 to 29","North Carolina","204","703,747","28.99","--","7,767"
"2022","25 to 29","North Dakota","17**","53,924","31.53**","--","656"
"2022","25 to 29","Ohio","194","759,426","25.55","--","7,374"
"2022","25 to 29","Oklahoma","62","266,610","23.26","--","2,336"
"2022","25 to 29","Oregon","50","282,649","17.69","--","1,893"
"2022","25 to 29","Pennsylvania","205","806,508","25.42","--","7,804"
"2022","25 to 29","Rhode Island","--","72,497","--","--","--"
"2022","25 to 29","South Carolina","122","327,556","37.25","--","4,632"
"2022","25 to 29","South Dakota","17**","56,692","29.99**","--","649"
"2022","25 to 29","Tennessee","152","482,576","31.50","--","5,779"
"2022","25 to 29","Texas","541","2,133,941","25.35","--","20,514"
"2022","25 to 29","Utah","39","258,368","15.10","--","1,483"
"2022","25 to 29","Vermont","--","37,631","--","--","--"
"2022","25 to 29","Virginia","162","575,734","28.14","--","6,179"
"2022","25 to 29","Washington","107","561,023","19.07","--","4,069"
"2022","25 to 29","West Virginia","24","104,864","22.89","--","922"
"2022","25 to 29","Wisconsin","89","367,885","24.19","--","3,387"
"2022","25 to 29","Wyoming","--","35,040","--","--","--"
"2022","30 to 34","Alabama","137","336,797","40.68","--","4,534"
"2022","30 to 34","Alaska","19**","58,834","32.29**","--","630"
"2022","30 to 34","Arizona","141","510,436","27.62","--","4,689"
"2022","30 to 34","Arkansas","71","202,275","35.10","--","2,357"
"2022","30 to 34","California","439","2,989,584","14.68","--","14,525"
"2022","30 to 34","Colorado","113","470,847","24.00","--","3,703"
"2022","30 to 34","Connecticut","36","229,622","15.68","--","1,177"
"2022","30 to 34","Delaware","14**","67,758","20.66**","--","462"
"2022","30 to 34","District of Columbia","27","74,859","36.07","--","896"
"2022","30 to 34","Florida","295","1,463,892","20.15","--","9,746"
"2022","30 to 34","Georgia","233","769,946","30.26","--","7,728"
"2022","30 to 34","Hawaii","--","98,834","--","--","--"
"2022","30 to 34","Idaho","23","126,925","18.12","--","764"
"2022","30 to 34","Illinois","246","859,855","28.61","--","8,211"
"2022","30 to 34","Indiana","121","451,643","26.79","--","4,007"
"2022","30 to 34","Iowa","22","198,591","11.08","--","720"
"2022","30 to 34","Kansas","58","187,602","30.92","--","1,916"
"2022","30 to 34","Kentucky","84","299,923","28.01","--","2,757"
"2022","30 to 34","Louisiana","135","316,550","42.65","--","4,477"
"2022","30 to 34","Maine","12**","87,921","13.65**","--","397"
"2022","30 to 34","Maryland","108","424,098","25.47","--","3,564"
"2022","30 to 34","Massachusetts","36","492,707","7.31","--","1,178"
