"Year","Sex","State","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2022","Females","Maryland","77","3,166,110","2.43","2.62","2,216"
"2022","Females","Massachusetts","23","3,570,980","0.64","0.67","686"
"2022","Females","Michigan","259","5,061,136","5.12","5.35","6,885"
"2022","Females","Minnesota","77","2,850,126","2.70","2.81","1,789"
"2022","Females","Mississippi","147","1,512,732","9.72","10.09","3,781"
"2022","Females","Missouri","229","3,127,634","7.32","7.49","5,643"
"2022","Females","Montana","31","554,057","5.60","6.19","772"
"2022","Females","Nebraska","36","978,931","3.68","3.80","879"
"2022","Females","Nevada","108","1,577,958","6.84","6.67","2,504"
"2022","Females","New Hampshire","22","700,765","3.14","3.07","515"
"2022","Females","New Jersey","47","4,704,672","1.00","1.01","1,180"
"2022","Females","New Mexico","96","1,062,932","9.03","9.32","2,136"
"2022","Females","New York","102","10,067,688","1.01","1.04","2,829"
"2022","Females","North Carolina","296","5,466,317","5.42","5.44","6,960"
"2022","Females","North Dakota","12**","379,240","3.16**","3.71**","288"
"2022","Females","Ohio","260","5,960,017","4.36","4.51","7,017"
"2022","Females","Oklahoma","122","2,018,971","6.04","6.16","2,843"
"2022","Females","Oregon","95","2,126,890","4.47","4.22","1,778"
"2022","Females","Pennsylvania","238","6,578,161","3.62","3.64","5,472"
"2022","Females","Rhode Island","--","557,461","--","--","--"
"2022","Females","South Carolina","188","2,714,958","6.93","7.00","4,391"
"2022","Females","South Dakota","22","447,490","4.92","5.50","660"
"2022","Females","Tennessee","221","3,591,511","6.15","6.09","5,336"
"2022","Females","Texas","711","15,050,613","4.72","4.72","18,542"
"2022","Females","Utah","54","1,668,409","3.24","3.38","1,107"
"2022","Females","Vermont","--","325,782","--","--","--"
"2022","Females","Virginia","174","4,390,104","3.96","4.00","4,497"
"2022","Females","Washington","138","3,864,945","3.57","3.40","2,725"
"2022","Females","West Virginia","37","888,434","4.17","4.13","740"
"2022","Females","Wisconsin","138","2,941,315","4.69","4.98","3,946"
"2022","Females","Wyoming","10**","283,815","3.52**","3.17**","180"
"2021","Males","Alabama","1,121","2,452,912","45.70","46.04","29,647"
"2021","Males","Alaska","149","386,264","38.58","38.35","4,158"
"2021","Males","Arizona","1,156","3,631,092","31.84","30.70","26,060"
"2021","Males","Arkansas","581","1,495,342","38.85","38.83","13,856"
"2021","Males","California","3,207","19,560,558","16.40","16.18","80,400"
"2021","Males","Colorado","899","2,943,038","30.55","29.85","20,993"
"2021","Males","Connecticut","223","1,767,743","12.62","12.30","5,454"
"2021","Males","Delaware","132","487,482","27.08","28.69","3,561"
"2021","Males","District of Columbia","163","318,580","51.17","44.60","5,475"
"2021","Males","Florida","2,600","10,722,007","24.25","23.36","57,139"
"2021","Males","Georgia","1,818","5,261,935","34.55","34.66","48,770"
"2021","Males","Hawaii","59","728,041","8.10","8.04","1,293"
"2021","Males","Idaho","270","957,276","28.21","28.37","5,839"
"2021","Males","Illinois","1,753","6,273,660","27.94","28.20","51,159"
"2021","Males","Indiana","1,052","3,380,192","31.12","31.26","26,718"
"2021","Males","Iowa","326","1,603,175","20.34","20.02","6,714"
"2021","Males","Kansas","441","1,474,399","29.91","30.07","10,921"
"2021","Males","Kentucky","820","2,234,089","36.70","36.80","19,974"
"2021","Males","Louisiana","1,103","2,265,685","48.68","49.63","32,241"
"2021","Males","Maine","159","679,431","23.40","22.58","2,992"
"2021","Males","Maryland","800","3,005,032","26.62","27.32","22,068"
"2021","Males","Massachusetts","219","3,417,373","6.41","6.11","5,182"
"2021","Males","Michigan","1,350","4,976,399","27.13","27.09","32,703"
"2021","Males","Minnesota","500","2,867,302","17.44","17.27","11,102"
"2021","Males","Mississippi","801","1,432,696","55.91","57.89","22,583"
"2021","Males","Missouri","1,221","3,047,003","40.07","40.32","31,212"
"2021","Males","Montana","244","560,761","43.51","43.29","5,544"
"2021","Males","Nebraska","174","987,567","17.62","17.74","4,129"
"2021","Males","Nevada","541","1,585,185","34.13","33.81","12,075"
"2021","Males","New Hampshire","109","692,425","15.74","14.60","1,970"
"2021","Males","New Jersey","430","4,559,871","9.43","9.65","11,167"
"2021","Males","New Mexico","497","1,052,666","47.21","47.41","12,299"
"2021","Males","New York","990","9,696,934","10.21","10.12","25,597"
"2021","Males","North Carolina","1,560","5,170,279","30.17","29.86","40,723"
"2021","Males","North Dakota","110","399,472","27.54","27.33","2,491"
"2021","Males","Ohio","1,617","5,803,811","27.86","28.13","41,603"
"2021","Males","Oklahoma","692","1,988,423","34.80","35.25","15,938"
"2021","Males","Oregon","567","2,122,796","26.71","25.36","11,395"
