"Year","Intent","Ethnicity","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2009","Homicide","Unknown","103","--","0.00","0.00","3,320"
"2009","Legal Intervention","Non-Hispanic","267","257,444,040","0.10","0.10","7,211"
"2009","Legal Intervention","Hispanic","64","49,327,489","0.13","0.12","2,108"
"2009","Legal Intervention","Unknown","--","--","--","--","--"
"2009","Suicide","Non-Hispanic","17,725","257,444,040","6.89","6.45","304,013"
"2009","Suicide","Hispanic","955","49,327,489","1.94","2.27","24,893"
"2009","Suicide","Unknown","55","--","0.00","0.00","897"
"2009","Undetermined","Non-Hispanic","209","257,444,040","0.08","0.08","4,955"
"2009","Undetermined","Hispanic","21","49,327,489","0.04","0.04","703"
"2009","Undetermined","Unknown","--","--","--","--","--"
"2008","Unintentional","Non-Hispanic","551","256,299,951","0.22","0.21","15,264"
"2008","Unintentional","Hispanic","39","47,793,840","0.08","0.07","1,558"
"2008","Unintentional","Unknown","--","--","--","--","--"
"2008","Homicide","Non-Hispanic","9,882","256,299,951","3.86","3.98","329,706"
"2008","Homicide","Hispanic","2,260","47,793,840","4.73","4.22","82,957"
"2008","Homicide","Unknown","37","--","0.00","0.00","1,212"
"2008","Legal Intervention","Non-Hispanic","254","256,299,951","0.10","0.10","7,380"
"2008","Legal Intervention","Hispanic","72","47,793,840","0.15","0.15","2,337"
"2008","Suicide","Non-Hispanic","17,318","256,299,951","6.76","6.35","300,176"
"2008","Suicide","Hispanic","863","47,793,840","1.81","2.12","22,465"
"2008","Suicide","Unknown","42","--","0.00","0.00","576"
"2008","Undetermined","Non-Hispanic","247","256,299,951","0.10","0.09","6,701"
"2008","Undetermined","Hispanic","22","47,793,840","0.05","0.04","791"
"2008","Undetermined","Unknown","--","--","--","--","--"
"2007","Unintentional","Non-Hispanic","548","255,034,130","0.22","0.21","15,643"
"2007","Unintentional","Hispanic","65","46,196,900","0.14","0.13","2,506"
"2007","Homicide","Non-Hispanic","10,193","255,034,130","4.00","4.11","342,801"
"2007","Homicide","Hispanic","2,385","46,196,900","5.16","4.51","88,580"
"2007","Homicide","Unknown","54","--","0.00","0.00","1,791"
"2007","Legal Intervention","Non-Hispanic","270","255,034,130","0.11","0.11","8,314"
"2007","Legal Intervention","Hispanic","80","46,196,900","0.17","0.16","2,672"
"2007","Legal Intervention","Unknown","--","--","--","--","--"
"2007","Suicide","Non-Hispanic","16,386","255,034,130","6.43","6.08","287,093"
"2007","Suicide","Hispanic","931","46,196,900","2.02","2.35","24,860"
"2007","Suicide","Unknown","35","--","0.00","0.00","545"
"2007","Undetermined","Non-Hispanic","244","255,034,130","0.10","0.09","6,653"
"2007","Undetermined","Hispanic","31","46,196,900","0.07","0.06","1,231"
"2007","Undetermined","Unknown","--","--","--","--","--"
"2006","Unintentional","Non-Hispanic","575","253,773,420","0.23","0.23","16,894"
"2006","Unintentional","Hispanic","66","44,606,340","0.15","0.13","2,439"
"2006","Unintentional","Unknown","--","--","--","--","--"
"2006","Homicide","Non-Hispanic","10,260","253,773,420","4.04","4.14","346,702"
"2006","Homicide","Hispanic","2,472","44,606,340","5.54","4.80","92,652"
"2006","Homicide","Unknown","59","--","0.00","0.00","1,916"
"2006","Legal Intervention","Non-Hispanic","278","253,773,420","0.11","0.11","8,208"
"2006","Legal Intervention","Hispanic","81","44,606,340","0.18","0.16","2,744"
"2006","Legal Intervention","Unknown","--","--","--","--","--"
"2006","Suicide","Non-Hispanic","16,024","253,773,420","6.31","5.99","284,248"
"2006","Suicide","Hispanic","817","44,606,340","1.83","2.04","23,694"
"2006","Suicide","Unknown","42","--","0.00","0.00","716"
"2006","Undetermined","Non-Hispanic","192","253,773,420","0.08","0.08","5,923"
"2006","Undetermined","Hispanic","28","44,606,340","0.06","0.06","1,067"
"2005","Unintentional","Non-Hispanic","692","252,492,853","0.27","0.27","19,720"
"2005","Unintentional","Hispanic","95","43,023,635","0.22","0.21","3,339"
"2005","Unintentional","Unknown","--","--","--","--","--"
"2005","Homicide","Non-Hispanic","9,835","252,492,853","3.90","3.98","329,646"
"2005","Homicide","Hispanic","2,453","43,023,635","5.70","4.95","90,643"
"2005","Homicide","Unknown","64","--","0.00","0.00","1,985"
"2005","Legal Intervention","Non-Hispanic","260","252,492,853","0.10","0.11","7,306"
"2005","Legal Intervention","Hispanic","70","43,023,635","0.16","0.14","2,504"
"2005","Suicide","Non-Hispanic","16,124","252,492,853","6.39","6.09","288,294"
"2005","Suicide","Hispanic","824","43,023,635","1.92","2.16","23,751"
"2005","Suicide","Unknown","54","--","0.00","0.00","934"
"2005","Undetermined","Non-Hispanic","192","252,492,853","0.08","0.08","5,634"
"2005","Undetermined","Hispanic","27","43,023,635","0.06","0.05","1,095"
"2005","Undetermined","Unknown","--","--","--","--","--"
"2004","Unintentional","Non-Hispanic","593","251,303,790","0.24","0.24","17,154"
"2004","Unintentional","Hispanic","56","41,501,421","0.14","0.12","2,031"
"2004","Homicide","Non-Hispanic","9,323","251,303,790","3.71","3.77","307,554"
"2004","Homicide","Hispanic","2,241","41,501,421","5.40","4.68","83,195"
"2004","Homicide","Unknown","60","--","0.00","0.00","1,589"
"2004","Legal Intervention","Non-Hispanic","238","251,303,790","0.10","0.10","6,890"
"2004","Legal Intervention","Hispanic","73","41,501,421","0.18","0.15","2,676"
"2004","Suicide","Non-Hispanic","15,823","251,303,790","6.30","6.04","289,763"
"2004","Suicide","Hispanic","888","41,501,421","2.14","2.43","25,291"
"2004","Suicide","Unknown","39","--","0.00","0.00","775"
"2004","Undetermined","Non-Hispanic","212","251,303,790","0.08","0.08","5,724"
"2004","Undetermined","Hispanic","20**","41,501,421","0.05**","0.04**","670"
"2004","Undetermined","Unknown","--","--","--","--","--"
"2003","Unintentional","Non-Hispanic","658","250,058,378","0.26","0.26","18,539"
"2003","Unintentional","Hispanic","71","40,049,467","0.18","0.16","2,711"
"2003","Unintentional","Unknown","--","--","--","--","--"
"2003","Homicide","Non-Hispanic","9,536","250,058,378","3.81","3.88","319,684"
"2003","Homicide","Hispanic","2,316","40,049,467","5.78","4.95","86,060"
"2003","Homicide","Unknown","68","--","0.00","0.00","2,214"
"2003","Legal Intervention","Non-Hispanic","280","250,058,378","0.11","0.11","8,572"
"2003","Legal Intervention","Hispanic","66","40,049,467","0.17","0.14","2,454"
"2003","Legal Intervention","Unknown","--","--","--","--","--"
"2003","Suicide","Non-Hispanic","16,035","250,058,378","6.41","6.17","294,362"
"2003","Suicide","Hispanic","835","40,049,467","2.09","2.36","23,952"
"2003","Suicide","Unknown","37","--","0.00","0.00","658"
"2003","Undetermined","Non-Hispanic","201","250,058,378","0.08","0.08","5,759"
"2003","Undetermined","Hispanic","31","40,049,467","0.08","0.07","1,145"
"2002","Unintentional","Non-Hispanic","700","249,007,490","0.28","0.28","20,478"
"2002","Unintentional","Hispanic","60","38,617,636","0.16","0.13","2,418"
"2002","Unintentional","Unknown","--","--","--","--","--"
"2002","Homicide","Non-Hispanic","9,575","249,007,490","3.85","3.90","319,933"
"2002","Homicide","Hispanic","2,168","38,617,636","5.61","4.79","81,244"
"2002","Homicide","Unknown","86","--","0.00","0.00","2,879"
"2002","Legal Intervention","Non-Hispanic","241","249,007,490","0.10","0.10","7,523"
"2002","Legal Intervention","Hispanic","58","38,617,636","0.15","0.13","2,071"
"2002","Legal Intervention","Unknown","--","--","--","--","--"
"2002","Suicide","Non-Hispanic","16,213","249,007,490","6.51","6.30","300,249"
"2002","Suicide","Hispanic","834","38,617,636","2.16","2.54","23,431"
"2002","Suicide","Unknown","61","--","0.00","0.00","1,157"
"2002","Undetermined","Non-Hispanic","215","249,007,490","0.09","0.09","6,371"
"2002","Undetermined","Hispanic","23","38,617,636","0.06","0.05","940"
"2002","Undetermined","Unknown","--","--","--","--","--"
"2001","Unintentional","Non-Hispanic","715","247,824,816","0.29","0.29","20,427"
"2001","Unintentional","Hispanic","86","37,144,112","0.23","0.22","3,078"
"2001","Unintentional","Unknown","--","--","--","--","--"
"2001","Homicide","Non-Hispanic","9,134","247,824,816","3.69","3.73","306,463"
"2001","Homicide","Hispanic","2,123","37,144,112","5.72","4.84","79,633"
"2001","Homicide","Unknown","91","--","0.00","0.00","3,027"
"2001","Legal Intervention","Non-Hispanic","264","247,824,816","0.11","0.11","7,858"
"2001","Legal Intervention","Hispanic","59","37,144,112","0.16","0.13","2,132"
"2001","Suicide","Non-Hispanic","16,020","247,824,816","6.46","6.29","304,029"
"2001","Suicide","Hispanic","798","37,144,112","2.15","2.49","22,380"
"2001","Suicide","Unknown","51","--","0.00","0.00","700"
"2001","Undetermined","Non-Hispanic","208","247,824,816","0.08","0.08","6,033"
"2001","Undetermined","Hispanic","21","37,144,112","0.06","0.05","739"
"2001","Undetermined","Unknown","--","--","--","--","--"
"Total","","","776,476","6,851,096,884","11.33","11.13","18,770,404"
"","","","","","","",""
"Injury Outcome: Fatal","","","","","","",""
"Injury Type: All Injury","","","","","","",""
"Data Years: 2001 to 2022","","","","","","",""
"Geography: United States","","","","","","",""
"Intent: All Intents","","","","","","",""
"Mechanism: Firearm","","","","","","",""
"Age: All Ages","","","","","","",""
"Sex: All Sexes","","","","","","",""
"Race: All Races","","","","","","",""
"Ethnicity: All Ethnicities","","","","","","",""
"Metro / Non-Metro Indicator: None Selected","","","","","","",""
"YPLL Age: 65","","","","","","",""
"Year and Race Options: 2001 - 2021 with No Race","","","","","","",""
"Produced by: National Center for Injury Prevention and Control, CDC.","","","","","","",""
