"Year","Ethnicity","State","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2021","Non-Hispanic","Louisiana","1,285","4,367,296","29.42","29.94","37,167"
"2021","Non-Hispanic","Maine","174","1,350,028","12.89","12.48","3,330"
"2021","Non-Hispanic","Maryland","866","5,485,237","15.79","16.15","23,229"
"2021","Non-Hispanic","Massachusetts","209","6,094,419","3.43","3.20","4,505"
"2021","Non-Hispanic","Michigan","1,482","9,477,369","15.64","15.58","35,997"
"2021","Non-Hispanic","Minnesota","547","5,377,851","10.17","10.02","12,304"
"2021","Non-Hispanic","Mississippi","953","2,847,462","33.47","34.57","26,427"
"2021","Non-Hispanic","Missouri","1,384","5,880,905","23.53","23.59","35,400"
"2021","Non-Hispanic","Montana","275","1,058,151","25.99","25.53","6,216"
"2021","Non-Hispanic","Nebraska","185","1,727,074","10.71","10.78","4,438"
"2021","Non-Hispanic","Nevada","514","2,206,546","23.29","22.05","10,080"
"2021","Non-Hispanic","New Hampshire","122","1,326,318","9.20","8.52","2,286"
"2021","Non-Hispanic","New Jersey","407","7,271,754","5.60","5.72","10,111"
"2021","Non-Hispanic","New Mexico","281","1,058,898","26.54","25.57","5,503"
"2021","Non-Hispanic","New York","929","15,962,894","5.82","5.74","23,102"
"2021","Non-Hispanic","North Carolina","1,730","9,485,459","18.24","17.79","43,416"
"2021","Non-Hispanic","North Dakota","122","743,112","16.42","16.42","2,752"
"2021","Non-Hispanic","Ohio","1,859","11,256,659","16.52","16.75","48,078"
"2021","Non-Hispanic","Oklahoma","795","3,520,709","22.58","22.48","18,182"
"2021","Non-Hispanic","Oregon","611","3,659,323","16.70","15.32","11,435"
"2021","Non-Hispanic","Pennsylvania","1,779","11,927,142","14.92","14.89","43,717"
"2021","Non-Hispanic","Rhode Island","53","909,261","5.83","5.53","1,099"
"2021","Non-Hispanic","South Carolina","1,102","4,863,140","22.66","23.13","28,705"
"2021","Non-Hispanic","South Dakota","122","854,491","14.28","14.15","2,700"
"2021","Non-Hispanic","Tennessee","1,507","6,541,292","23.04","23.17","37,887"
"2021","Non-Hispanic","Texas","3,378","17,713,451","19.07","18.65","80,542"
"2021","Non-Hispanic","Utah","400","2,843,874","14.07","14.39","9,147"
"2021","Non-Hispanic","Vermont","83","632,619","13.12","12.23","1,580"
"2021","Non-Hispanic","Virginia","1,187","7,772,619","15.27","14.98","29,677"
