"Year","State","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2020","New York","929","16,171,461","5.75","5.60","22,806"
"2020","North Carolina","1,624","9,331,425","17.40","17.26","41,148"
"2020","North Dakota","96","745,607","12.88","13.41","2,353"
"2020","Ohio","1,729","11,274,733","15.34","15.46","44,754"
"2020","Oklahoma","777","3,490,400","22.26","22.03","17,592"
"2020","Oregon","539","3,652,500","14.76","13.45","9,674"
"2020","Pennsylvania","1,647","11,940,637","13.79","13.68","40,081"
"2020","Rhode Island","41","913,606","4.49","4.47","897"
"2020","South Carolina","1,106","4,778,359","23.15","23.56","29,347"
"2020","South Dakota","118","848,845","13.90","13.97","2,835"
"2020","Tennessee","1,427","6,445,180","22.14","21.89","34,205"
"2020","Texas","3,094","17,748,508","17.43","17.22","74,663"
"2020","Utah","369","2,787,849","13.24","13.66","8,886"
"2020","Vermont","72","627,313","11.48","10.58","1,355"
"2020","Virginia","1,125","7,727,166","14.56","14.31","27,765"
"2020","Washington","757","6,659,195","11.37","10.81","15,926"
"2020","West Virginia","324","1,756,692","18.44","18.27","6,792"
"2020","Wisconsin","677","5,447,961","12.43","12.24","15,340"
"2020","Wyoming","146","518,263","28.17","27.50","2,980"
"2019","Alabama","1,049","4,687,176","22.38","22.54","24,879"
"2019","Alaska","169","679,981","24.85","24.81","4,586"
"2019","Arizona","860","4,978,686","17.27","15.94","15,392"
"2019","Arkansas","570","2,784,446","20.47","20.49","13,556"
"2019","California","2,043","23,949,466","8.53","7.77","37,624"
"2019","Colorado","709","4,503,436","15.74","14.85","14,886"
"2019","Connecticut","165","2,964,941","5.57","5.47","3,220"
"2019","Delaware","90","882,514","10.20","10.71","2,164"
"2019","District of Columbia","137","628,415","21.80","19.48","4,912"
"2019","Florida","2,504","15,870,694","15.78","14.99","48,995"
"2019","Georgia","1,624","9,585,940","16.94","16.64","39,355"
"2019","Hawaii","56","1,261,570","4.44","4.48","1,213"
"2019","Idaho","238","1,558,871","15.27","14.79","4,425"
"2019","Illinois","1,238","10,460,774","11.84","11.94","33,242"
"2019","Indiana","918","6,241,323","14.71","14.37","21,928"
"2019","Iowa","284","2,959,172","9.60","9.28","6,074"
"2019","Kansas","360","2,555,630","14.09","13.84","8,210"
"2019","Kentucky","676","4,297,218","15.73","15.32","14,764"
"2019","Louisiana","989","4,410,420","22.42","22.82","26,022"
"2019","Maine","162","1,321,672","12.26","11.61","3,088"
"2019","Maryland","728","5,416,661","13.44","13.54","19,888"
"2019","Massachusetts","204","6,044,538","3.38","3.16","4,419"
"2019","Michigan","1,178","9,451,444","12.46","12.27","27,474"
"2019","Minnesota","456","5,324,190","8.57","8.41","10,251"
"2019","Mississippi","697","2,878,735","24.21","24.60","18,131"
"2019","Missouri","1,214","5,870,639","20.68","20.84","30,434"
"2019","Montana","200","1,026,629","19.48","18.68","3,937"
"2019","Nebraska","198","1,711,446","11.57","10.96","3,950"
"2019","Nevada","424","2,189,257","19.37","17.88","7,640"
"2019","New Hampshire","149","1,305,646","11.41","10.48","2,735"
"2019","New Jersey","331","7,044,967","4.70","4.67","7,899"
"2019","New Mexico","263","1,060,368","24.80","23.01","4,876"
"2019","New York","712","15,728,264","4.53","4.28","15,517"
"2019","North Carolina","1,335","9,478,088","14.09","13.71","31,445"
"2019","North Dakota","91","731,785","12.44","12.66","1,968"
"2019","Ohio","1,541","11,221,304","13.73","13.51","35,563"
"2019","Oklahoma","703","3,518,658","19.98","19.69","15,455"
"2019","Oregon","529","3,649,305","14.50","13.16","9,298"
"2019","Pennsylvania","1,449","11,793,496","12.29","11.78","31,089"
"2019","Rhode Island","40","885,365","4.52","4.39","721"
"2019","South Carolina","979","4,848,413","20.19","20.32","24,320"
"2019","South Dakota","111","848,739","13.08","13.31","2,613"
"2019","Tennessee","1,228","6,438,856","19.07","18.69","27,540"
"2019","Texas","2,794","17,495,457","15.97","15.46","62,173"
"2019","Utah","358","2,744,264","13.05","13.53","8,962"
"2019","Vermont","67","611,128","10.96","9.58","1,207"
"2019","Virginia","987","7,721,540","12.78","12.34","22,372"
"2019","Washington","766","6,612,935","11.58","10.84","14,235"
"2019","West Virginia","299","1,764,111","16.95","16.82","6,286"
"2019","Wisconsin","569","5,406,292","10.53","10.07","11,327"
"2019","Wyoming","130","520,601","24.97","24.16","2,562"
"2018","Alabama","1,045","4,676,347","22.35","22.24","25,654"
