Notes,Year,Year Code,Leading Cancer Sites,Leading Cancer Sites Code,States and Puerto Rico,States and Puerto Rico Code,Deaths,Population,Crude Rate
,2003,2003,Prostate,28010,Maryland,24,537,2652422,20.2
,2003,2003,Prostate,28010,Massachusetts,25,707,3101748,22.8
,2003,2003,Prostate,28010,Michigan,26,990,4930631,20.1
,2003,2003,Prostate,28010,Minnesota,27,546,2506573,21.8
,2003,2003,Prostate,28010,Mississippi,28,365,1388701,26.3
,2003,2003,Prostate,28010,Missouri,29,592,2782847,21.3
,2003,2003,Prostate,28010,Montana,30,109,459514,23.7
,2003,2003,Prostate,28010,Nebraska,31,176,859281,20.5
,2003,2003,Prostate,28010,Nevada,32,206,1140715,18.1
,2003,2003,Prostate,28010,New Hampshire,33,136,631327,21.5
,2003,2003,Prostate,28010,New Jersey,34,921,4179438,22
,2003,2003,Prostate,28010,New Mexico,35,205,925271,22.2
,2003,2003,Prostate,28010,New York,36,1974,9258129,21.3
,2003,2003,Prostate,28010,North Carolina,37,894,4108600,21.8
,2003,2003,Prostate,28010,North Dakota,38,96,319921,30
,2003,2003,Prostate,28010,Ohio,39,1197,5566253,21.5
,2003,2003,Prostate,28010,Oklahoma,40,352,1727169,20.4
,2003,2003,Prostate,28010,Oregon,41,415,1758571,23.6
,2003,2003,Prostate,28010,Pennsylvania,42,1591,5996764,26.5
,2003,2003,Prostate,28010,Rhode Island,44,116,515752,22.5
,2003,2003,Prostate,28010,South Carolina,45,437,2016330,21.7
,2003,2003,Prostate,28010,South Dakota,46,107,380096,28.2
,2003,2003,Prostate,28010,Tennessee,47,673,2846829,23.6
,2003,2003,Prostate,28010,Texas,48,1627,10934978,14.9
,2003,2003,Prostate,28010,Utah,49,184,1184270,15.5
,2003,2003,Prostate,28010,Vermont,50,77,303652,25.4
,2003,2003,Prostate,28010,Virginia,51,770,3609197,21.3
,2003,2003,Prostate,28010,Washington,53,616,3038376,20.3
,2003,2003,Prostate,28010,West Virginia,54,211,886460,23.8
,2003,2003,Prostate,28010,Wisconsin,55,668,2712302,24.6
,2003,2003,Prostate,28010,Wyoming,56,40,254325,15.7
,2004,2004,Prostate,28010,Alabama,01,545,2192872,24.9
,2004,2004,Prostate,28010,Alaska,02,32,341479,9.4
,2004,2004,Prostate,28010,Arizona,04,550,2816798,19.5
,2004,2004,Prostate,28010,Arkansas,05,316,1346638,23.5
,2004,2004,Prostate,28010,California,06,2979,17703161,16.8
,2004,2004,Prostate,28010,Colorado,08,355,2300502,15.4
,2004,2004,Prostate,28010,Connecticut,09,403,1698016,23.7
,2004,2004,Prostate,28010,Delaware,10,106,403483,26.3
,2004,2004,Prostate,28010,District of Columbia,11,92,267470,34.4
,2004,2004,Prostate,28010,Florida,12,2134,8512871,25.1
,2004,2004,Prostate,28010,Georgia,13,698,4305728,16.2
,2004,2004,Prostate,28010,Hawaii,15,113,636705,17.7
,2004,2004,Prostate,28010,Idaho,16,153,698616,21.9
,2004,2004,Prostate,28010,Illinois,17,1228,6175564,19.9
,2004,2004,Prostate,28010,Indiana,18,661,3064055,21.6
,2004,2004,Prostate,28010,Iowa,19,352,1454747,24.2
,2004,2004,Prostate,28010,Kansas,20,272,1351977,20.1
,2004,2004,Prostate,28010,Kentucky,21,393,2034050,19.3
,2004,2004,Prostate,28010,Louisiana,22,491,2213485,22.2
,2004,2004,Prostate,28010,Maine,23,158,641826,24.6
,2004,2004,Prostate,28010,Maryland,24,560,2676892,20.9
,2004,2004,Prostate,28010,Massachusetts,25,651,3097647,21
,2004,2004,Prostate,28010,Michigan,26,967,4937386,19.6
,2004,2004,Prostate,28010,Minnesota,27,558,2523676,22.1
,2004,2004,Prostate,28010,Mississippi,28,305,1398895,21.8
,2004,2004,Prostate,28010,Missouri,29,546,2805056,19.5
,2004,2004,Prostate,28010,Montana,30,130,465009,28
,2004,2004,Prostate,28010,Nebraska,31,184,865386,21.3
,2004,2004,Prostate,28010,Nevada,32,210,1189636,17.7
,2004,2004,Prostate,28010,New Hampshire,33,143,636276,22.5
,2004,2004,Prostate,28010,New Jersey,34,838,4197597,20
,2004,2004,Prostate,28010,New Mexico,35,175,939070,18.6
,2004,2004,Prostate,28010,New York,36,1896,9258040,20.5
,2004,2004,Prostate,28010,North Carolina,37,858,4177082,20.5
,2004,2004,Prostate,28010,North Dakota,38,89,323697,27.5
,2004,2004,Prostate,28010,Ohio,39,1274,5577840,22.8
,2004,2004,Prostate,28010,Oklahoma,40,339,1740562,19.5
,2004,2004,Prostate,28010,Oregon,41,403,1769086,22.8
,2004,2004,Prostate,28010,Pennsylvania,42,1475,6019973,24.5
,2004,2004,Prostate,28010,Rhode Island,44,135,518204,26.1
,2004,2004,Prostate,28010,South Carolina,45,491,2048616,24
,2004,2004,Prostate,28010,South Dakota,46,102,383719,26.6
,2004,2004,Prostate,28010,Tennessee,47,583,2882878,20.2
,2004,2004,Prostate,28010,Texas,48,1671,11115621,15
,2004,2004,Prostate,28010,Utah,49,167,1204831,13.9
,2004,2004,Prostate,28010,Vermont,50,77,304840,25.3
,2004,2004,Prostate,28010,Virginia,51,648,3661265,17.7
,2004,2004,Prostate,28010,Washington,53,591,3070830,19.2
,2004,2004,Prostate,28010,West Virginia,54,200,889411,22.5
,2004,2004,Prostate,28010,Wisconsin,55,654,2731348,23.9
,2004,2004,Prostate,28010,Wyoming,56,51,257600,19.8
,2005,2005,Prostate,28010,Alabama,01,521,2211403,23.6
,2005,2005,Prostate,28010,Alaska,02,33,346026,9.5
,2005,2005,Prostate,28010,Arizona,04,572,2908266,19.7
,2005,2005,Prostate,28010,Arkansas,05,332,1362802,24.4
,2005,2005,Prostate,28010,California,06,3061,17831713,17.2
,2005,2005,Prostate,28010,Colorado,08,377,2323650,16.2
,2005,2005,Prostate,28010,Connecticut,09,406,1704888,23.8
,2005,2005,Prostate,28010,Delaware,10,99,409923,24.2
,2005,2005,Prostate,28010,District of Columbia,11,88,267523,32.9
,2005,2005,Prostate,28010,Florida,12,2206,8724088,25.3
,2005,2005,Prostate,28010,Georgia,13,739,4370659,16.9
,2005,2005,Prostate,28010,Hawaii,15,117,647916,18.1
,2005,2005,Prostate,28010,Idaho,16,164,716258,22.9
,2005,2005,Prostate,28010,Illinois,17,1270,6186072,20.5
,2005,2005,Prostate,28010,Indiana,18,561,3087135,18.2
,2005,2005,Prostate,28010,Iowa,19,350,1461435,23.9
,2005,2005,Prostate,28010,Kansas,20,256,1357341,18.9
,2005,2005,Prostate,28010,Kentucky,21,418,2053084,20.4
,2005,2005,Prostate,28010,Louisiana,22,450,2148195,20.9
,2005,2005,Prostate,28010,Maine,23,156,644683,24.2
,2005,2005,Prostate,28010,Maryland,24,519,2700618,19.2
,2005,2005,Prostate,28010,Massachusetts,25,623,3094280,20.1
,2005,2005,Prostate,28010,Michigan,26,924,4936817,18.7
,2005,2005,Prostate,28010,Minnesota,27,491,2540052,19.3
,2005,2005,Prostate,28010,Mississippi,28,336,1393628,24.1
,2005,2005,Prostate,28010,Missouri,29,566,2827430,20
,2005,2005,Prostate,28010,Montana,30,129,470322,27.4
,2005,2005,Prostate,28010,Nebraska,31,201,872029,23
,2005,2005,Prostate,28010,Nevada,32,215,1233297,17.4
,2005,2005,Prostate,28010,New Hampshire,33,119,640560,18.6
,2005,2005,Prostate,28010,New Jersey,34,837,4208429,19.9
,2005,2005,Prostate,28010,New Mexico,35,194,953754,20.3
,2005,2005,Prostate,28010,New York,36,1791,9245143,19.4
,2005,2005,Prostate,28010,North Carolina,37,791,4248218,18.6
,2005,2005,Prostate,28010,North Dakota,38,87,324546,26.8
,2005,2005,Prostate,28010,Ohio,39,1280,5586617,22.9
,2005,2005,Prostate,28010,Oklahoma,40,346,1752122,19.7
,2005,2005,Prostate,28010,Oregon,41,424,1789755,23.7
,2005,2005,Prostate,28010,Pennsylvania,42,1492,6044937,24.7
,2005,2005,Prostate,28010,Rhode Island,44,129,515084,25
,2005,2005,Prostate,28010,South Carolina,45,464,2077805,22.3
,2005,2005,Prostate,28010,South Dakota,46,93,386472,24.1
,2005,2005,Prostate,28010,Tennessee,47,594,2922618,20.3
,2005,2005,Prostate,28010,Texas,48,1661,11305125,14.7
,2005,2005,Prostate,28010,Utah,49,169,1232978,13.7
,2005,2005,Prostate,28010,Vermont,50,60,305793,19.6
,2005,2005,Prostate,28010,Virginia,51,719,3713459,19.4
,2005,2005,Prostate,28010,Washington,53,621,3111909,20
,2005,2005,Prostate,28010,West Virginia,54,192,892802,21.5
,2005,2005,Prostate,28010,Wisconsin,55,629,2749105,22.9
,2005,2005,Prostate,28010,Wyoming,56,33,260431,12.7
,2005,2005,Prostate,28010,Puerto Rico,72,510,1834718,27.8
,2006,2006,Prostate,28010,Alabama,01,533,2243501,23.8
,2006,2006,Prostate,28010,Alaska,02,28,350181,8
,2006,2006,Prostate,28010,Arizona,04,530,3003007,17.6
,2006,2006,Prostate,28010,Arkansas,05,316,1383333,22.8
,2006,2006,Prostate,28010,California,06,2918,17923731,16.3
,2006,2006,Prostate,28010,Colorado,08,353,2367463,14.9
,2006,2006,Prostate,28010,Connecticut,09,374,1709785,21.9
,2006,2006,Prostate,28010,Delaware,10,79,416502,19
,2006,2006,Prostate,28010,District of Columbia,11,86,269359,31.9
,2006,2006,Prostate,28010,Florida,12,2131,8886910,24
,2006,2006,Prostate,28010,Georgia,13,769,4485207,17.1
,2006,2006,Prostate,28010,Hawaii,15,88,657380,13.4
,2006,2006,Prostate,28010,Idaho,16,143,736565,19.4
,2006,2006,Prostate,28010,Illinois,17,1220,6203933,19.7
,2006,2006,Prostate,28010,Indiana,18,571,3114466,18.3
,2006,2006,Prostate,28010,Iowa,19,366,1471520,24.9
,2006,2006,Prostate,28010,Kansas,20,252,1368839,18.4
,2006,2006,Prostate,28010,Kentucky,21,410,2070143,19.8
,2006,2006,Prostate,28010,Louisiana,22,459,2098593,21.9
,2006,2006,Prostate,28010,Maine,23,148,647462,22.9
,2006,2006,Prostate,28010,Maryland,24,531,2719404,19.5
,2006,2006,Prostate,28010,Massachusetts,25,672,3098899,21.7
,2006,2006,Prostate,28010,Michigan,26,903,4929460,18.3
,2006,2006,Prostate,28010,Minnesota,27,484,2562604,18.9
,2006,2006,Prostate,28010,Mississippi,28,357,1408665,25.3
