AGE_GROUP,STATE_NAME,STATE_CODE,BENE_YES,BENE_NO,TOTAL_BENE,BENE_YES_PCT
_70-74,Connecticut,7,39007,5990,44997,0.8668800142
_70-74,Delaware,8,18229,2921,21150,0.861891253
_70-74,"District of Columbia",9,3901,1026,4927,0.7917596915
_70-74,Florida,10,215253,41835,257088,0.8372736184
_70-74,Georgia,11,82379,17670,100049,0.8233865406
_70-74,Hawaii,12,10021,1615,11636,0.8612066002
_70-74,Idaho,13,14376,2318,16694,0.8611477177
_70-74,Illinois,14,149152,25303,174455,0.8549597317
_70-74,Indiana,15,81094,13166,94260,0.8603225122
_70-74,Iowa,16,47692,5836,53528,0.8909729487
_70-74,Kansas,17,36474,5204,41678,0.8751379625
_70-74,Kentucky,18,49736,9736,59472,0.8362927092
_70-74,Louisiana,19,44805,10015,54820,0.8173112003
_70-74,Maine,20,16514,2148,18662,0.8848997964
_70-74,Maryland,21,61368,11624,72992,0.8407496712
_70-74,Massachusetts,22,89697,13243,102940,0.871352244
_70-74,Michigan,23,101863,18790,120653,0.8442641294
_70-74,Minnesota,24,42540,5460,48000,0.88625
_70-74,Mississippi,25,35711,8928,44639,0.7999955196
_70-74,Missouri,26,65725,10388,76113,0.8635187156
_70-74,Montana,27,12227,1885,14112,0.866425737
_70-74,Nebraska,28,25091,3529,28620,0.8766946191
_70-74,Nevada,29,24701,5025,29726,0.8309560654
_70-74,"New Hampshire",30,20498,2570,23068,0.8885902549
_70-74,"New Jersey",31,105741,20639,126380,0.8366909321
_70-74,"New Mexico",32,15426,3457,18883,0.8169252767
_70-74,"New York",33,164541,34199,198740,0.8279209017
_70-74,"North Carolina",34,112906,21761,134667,0.8384088158
_70-74,"North Dakota",35,8712,1118,9830,0.886266531
_70-74,Ohio,36,126008,21657,147665,0.8533369451
_70-74,Oklahoma,37,38570,7438,46008,0.8383324639
_70-74,Oregon,38,33471,5394,38865,0.8612118873
_70-74,Pennsylvania,39,141123,22268,163391,0.8637134236
_70-74,"Rhode Island",41,11305,1771,13076,0.8645610278
_70-74,"South Carolina",42,70507,14404,84911,0.8303635571
_70-74,"South Dakota",43,10818,1565,12383,0.8736170556
_70-74,Tennessee,44,70359,13213,83572,0.8418968075
_70-74,Texas,45,215690,45677,261367,0.8252380752
_70-74,Utah,46,17412,3258,20670,0.8423802612
_70-74,Vermont,47,9874,1275,11149,0.8856399677
_70-74,Virginia,49,87035,15693,102728,0.8472373647
_70-74,Washington,50,57835,9877,67712,0.854132207
_70-74,"West Virginia",51,22058,3985,26043,0.8469838344
_70-74,Wisconsin,52,60977,7588,68565,0.8893312915
_70-74,Wyoming,53,6205,1074,7279,0.8524522599
_75-79,Alabama,1,39853,7413,47266,0.8431642195
_75-79,Alaska,2,4167,806,4973,0.8379247939
_75-79,Arizona,3,50291,9409,59700,0.8423953099
_75-79,Arkansas,4,25734,4919,30653,0.8395263106
_75-79,California,5,217825,41780,259605,0.8390631922
_75-79,Colorado,6,29301,4760,34061,0.8602507266
_75-79,Connecticut,7,35105,5458,40563,0.8654438774
_75-79,Delaware,8,14187,2282,16469,0.8614366385
_75-79,"District of Columbia",9,3072,720,3792,0.8101265823
_75-79,Florida,10,191106,37342,228448,0.8365404819
_75-79,Georgia,11,66353,13870,80223,0.8271069394
_75-79,Hawaii,12,8833,1435,10268,0.8602454227
_75-79,Idaho,13,11283,1860,13143,0.8584797991
_75-79,Illinois,14,122717,20653,143370,0.8559461533
_75-79,Indiana,15,61796,10118,71914,0.8593041689
_75-79,Iowa,16,35582,4177,39759,0.8949420257
_75-79,Kansas,17,27098,3738,30836,0.8787780516
_75-79,Kentucky,18,39507,7556,47063,0.8394492489
_75-79,Louisiana,19,32958,7110,40068,0.8225516622
_75-79,Maine,20,14798,1893,16691,0.886585585
_75-79,Maryland,21,49088,8918,58006,0.8462572837
_75-79,Massachusetts,22,71508,10512,82020,0.8718361375
_75-79,Michigan,23,86599,15564,102163,0.8476552176
_75-79,Minnesota,24,36385,4436,40821,0.8913304427
_75-79,Mississippi,25,26254,6337,32591,0.8055598171
_75-79,Missouri,26,52803,8541,61344,0.8607687793
_75-79,Montana,27,9090,1368,10458,0.8691910499
_75-79,Nebraska,28,18249,2506,20755,0.8792580101
_75-79,Nevada,29,19994,4074,24068,0.8307295995
_75-79,"New Hampshire",30,16143,2097,18240,0.8850328947
_75-79,"New Jersey",31,88815,17313,106128,0.8368668024
_75-79,"New Mexico",32,11853,2528,14381,0.8242125026
_75-79,"New York",33,137181,28009,165190,0.8304437315
_75-79,"North Carolina",34,93985,17865,111850,0.8402771569
_75-79,"North Dakota",35,7037,939,7976,0.8822718154
_75-79,Ohio,36,93371,15802,109173,0.8552572523
_75-79,Oklahoma,37,30157,5627,35784,0.8427509501
_75-79,Oregon,38,25673,4017,29690,0.8647019198
_75-79,Pennsylvania,39,99474,15801,115275,0.8629277814
_75-79,"Rhode Island",41,8844,1322,10166,0.8699586858
_75-79,"South Carolina",42,52413,10716,63129,0.8302523404
_75-79,"South Dakota",43,8344,1199,9543,0.8743581683
_75-79,Tennessee,44,54690,10061,64751,0.8446201603
_75-79,Texas,45,179022,37495,216517,0.8268265309
_75-79,Utah,46,13333,2435,15768,0.845573313
_75-79,Vermont,47,7876,940,8816,0.8933756806
_75-79,Virginia,49,66645,11735,78380,0.8502806838
_75-79,Washington,50,47177,7682,54859,0.8599682823
_75-79,"West Virginia",51,15459,2751,18210,0.8489291598
_75-79,Wisconsin,52,46732,5714,52446,0.8910498417
_75-79,Wyoming,53,4649,726,5375,0.8649302326
_80-84,Alabama,1,24832,4752,29584,0.8393726339
_80-84,Alaska,2,2308,453,2761,0.8359290112
_80-84,Arizona,3,28042,5429,33471,0.8377998865
_80-84,Arkansas,4,15964,3053,19017,0.839459431
_80-84,California,5,142816,27896,170712,0.8365902807
_80-84,Colorado,6,15839,2817,18656,0.8490030017
_80-84,Connecticut,7,23966,3982,27948,0.8575211106
_80-84,Delaware,8,8472,1364,9836,0.8613257422
_80-84,"District of Columbia",9,1882,441,2323,0.8101592768
_80-84,Florida,10,120411,24751,145162,0.8294939447
_80-84,Georgia,11,39811,8152,47963,0.8300356525
_80-84,Hawaii,12,5146,888,6034,0.852833941
_80-84,Idaho,13,6750,1170,7920,0.8522727273
_80-84,Illinois,14,79773,13925,93698,0.8513842345
_80-84,Indiana,15,39615,6762,46377,0.8541949673
_80-84,Iowa,16,24156,3100,27256,0.886263575
_80-84,Kansas,17,17146,2531,19677,0.8713726686
_80-84,Kentucky,18,25072,4801,29873,0.8392863121
_80-84,Louisiana,19,20597,4695,25292,0.8143681797
_80-84,Maine,20,9664,1288,10952,0.8823959094
_80-84,Maryland,21,31460,6020,37480,0.8393810032
_80-84,Massachusetts,22,45255,6841,52096,0.8686847359
_80-84,Michigan,23,57734,10352,68086,0.8479569956
_80-84,Minnesota,24,25433,3197,28630,0.8883339155
_80-84,Mississippi,25,16375,3900,20275,0.8076448829
_80-84,Missouri,26,33055,5482,38537,0.8577471002
_80-84,Montana,27,5645,914,6559,0.8606494893
_80-84,Nebraska,28,12051,1669,13720,0.8783527697
_80-84,Nevada,29,10767,2325,13092,0.8224106324
_80-84,"New Hampshire",30,9439,1311,10750,0.8780465116
_80-84,"New Jersey",31,58881,12183,71064,0.8285629855
_80-84,"New Mexico",32,6895,1616,8511,0.8101280696
_80-84,"New York",33,96006,20678,116684,0.8227863289
_80-84,"North Carolina",34,53961,10385,64346,0.8386069064
_80-84,"North Dakota",35,4850,658,5508,0.8805374001
_80-84,Ohio,36,60122,10533,70655,0.8509235015
_80-84,Oklahoma,37,18704,3597,22301,0.8387067844
_80-84,Oregon,38,15034,2352,17386,0.8647187392
_80-84,Pennsylvania,39,63325,10241,73566,0.8607916701
_80-84,"Rhode Island",41,4942,838,5780,0.855017301
_80-84,"South Carolina",42,29123,6095,35218,0.82693509
_80-84,"South Dakota",43,5485,756,6241,0.8788655664
_80-84,Tennessee,44,32100,5884,37984,0.8450926706
_80-84,Texas,45,109504,23580,133084,0.8228186709
_80-84,Utah,46,8189,1532,9721,0.842403045
_80-84,Vermont,47,4739,574,5313,0.8919631094
_80-84,Virginia,49,41443,7323,48766,0.8498339007
_80-84,Washington,50,30877,5024,35901,0.8600596084
_80-84,"West Virginia",51,9926,1860,11786,0.842185644
_80-84,Wisconsin,52,28363,3698,32061,0.8846573719
_80-84,Wyoming,53,2881,526,3407,0.8456119753
_85+,Alabama,1,17987,3294,21281,0.8452140407
_85+,Alaska,2,1476,291,1767,0.8353140917
_85+,Arizona,3,17983,3426,21409,0.8399738428
_85+,Arkansas,4,11451,2277,13728,0.8341346154
_85+,California,5,126310,25382,151692,0.8326741028
_85+,Colorado,6,11009,2206,13215,0.8330684828
_85+,Connecticut,7,24557,4375,28932,0.8487833541
_85+,Delaware,8,6501,1126,7627,0.8523665924
_85+,"District of Columbia",9,1502,406,1908,0.78721174
_85+,Florida,10,96698,21526,118224,0.8179219109
_85+,Georgia,11,28486,5965,34451,0.8268555339
_85+,Hawaii,12,5070,873,5943,0.8531044927
_85+,Idaho,13,4613,812,5425,0.8503225806
_85+,Illinois,14,67176,12940,80116,0.8384841979
_85+,Indiana,15,31318,5738,37056,0.8451532815
_85+,Iowa,16,19543,2812,22355,0.8742115858
_85+,Kansas,17,14148,2361,16509,0.8569870979
_85+,Kentucky,18,18033,3743,21776,0.8281135195
_85+,Louisiana,19,15701,3470,19171,0.8189974441
_85+,Maine,20,8158,1154,9312,0.8760738832
_85+,Maryland,21,26901,5394,32295,0.8329772411
_85+,Massachusetts,22,41258,7066,48324,0.8537786607
_85+,Michigan,23,48393,9200,57593,0.8402583647
_85+,Minnesota,24,21356,3030,24386,0.8757483802
_85+,Mississippi,25,11385,2796,14181,0.8028347789
_85+,Missouri,26,24504,4349,28853,0.8492704398
_85+,Montana,27,4115,743,4858,0.8470564018
_85+,Nebraska,28,10072,1622,11694,0.8612963913
_85+,Nevada,29,6647,1471,8118,0.8187977334
_85+,"New Hampshire",30,7689,1220,8909,0.8630598271
_85+,"New Jersey",31,55131,11814,66945,0.8235267757
_85+,"New Mexico",32,5066,1169,6235,0.8125100241
_85+,"New York",33,97554,21642,119196,0.8184335045
_85+,"North Carolina",34,40283,8334,48617,0.8285784808
_85+,"North Dakota",35,4556,660,5216,0.8734662577
_85+,Ohio,36,48172,8706,56878,0.8469355463
_85+,Oklahoma,37,13889,2942,16831,0.8252034936
_85+,Oregon,38,10501,1704,12205,0.8603850881
_85+,Pennsylvania,39,57428,9984,67412,0.8518958049
_85+,"Rhode Island",41,4369,768,5137,0.8504963987
_85+,"South Carolina",42,20415,4357,24772,0.8241159373
_85+,"South Dakota",43,4524,687,5211,0.8681635003
_85+,Tennessee,44,23582,4459,28041,0.8409828465
_85+,Texas,45,83039,19367,102406,0.8108802219
_85+,Utah,46,5771,1123,6894,0.8371047287
_85+,Vermont,47,3820,571,4391,0.8699612844
_85+,Virginia,49,32162,6225,38387,0.8378357256
_85+,Washington,50,23873,4140,28013,0.8522114732
_85+,"West Virginia",51,7336,1387,8723,0.8409950705
_85+,Wisconsin,52,23173,3305,26478,0.8751793942
_85+,Wyoming,53,1896,355,2251,0.8422923145
