AGE_GROUP,STATE_NAME,STATE_FIPS,BENE_YES,BENE_NO,TOTAL_BENE,BENE_YES_PCT
_85+,Mississippi,28,11385,2796,14181,0.8028347789
_85+,Missouri,29,24504,4349,28853,0.8492704398
_85+,Montana,30,4115,743,4858,0.8470564018
_85+,Nebraska,31,10072,1622,11694,0.8612963913
_85+,Nevada,32,6647,1471,8118,0.8187977334
_85+,"New Hampshire",33,7689,1220,8909,0.8630598271
_85+,"New Jersey",34,55131,11814,66945,0.8235267757
_85+,"New Mexico",35,5066,1169,6235,0.8125100241
_85+,"New York",36,97554,21642,119196,0.8184335045
_85+,"North Carolina",37,40283,8334,48617,0.8285784808
_85+,"North Dakota",38,4556,660,5216,0.8734662577
_85+,Ohio,39,48172,8706,56878,0.8469355463
_85+,Oklahoma,40,13889,2942,16831,0.8252034936
_85+,Oregon,41,10501,1704,12205,0.8603850881
_85+,Pennsylvania,42,57428,9984,67412,0.8518958049
_85+,"Rhode Island",44,4369,768,5137,0.8504963987
_85+,"South Carolina",45,20415,4357,24772,0.8241159373
_85+,"South Dakota",46,4524,687,5211,0.8681635003
_85+,Tennessee,47,23582,4459,28041,0.8409828465
_85+,Texas,48,83039,19367,102406,0.8108802219
_85+,Utah,49,5771,1123,6894,0.8371047287
_85+,Vermont,50,3820,571,4391,0.8699612844
_85+,Virginia,51,32162,6225,38387,0.8378357256
_85+,Washington,53,23873,4140,28013,0.8522114732
_85+,"West Virginia",54,7336,1387,8723,0.8409950705
_85+,Wisconsin,55,23173,3305,26478,0.8751793942
_85+,Wyoming,56,1896,355,2251,0.8422923145
