age_group,state_name,state_fips,bene_yes,bene_no,total_bene,bene_yes_pct,bene_yes_pct_lcl,bene_yes_pct_ucl,age_adjusted_pct,age_adjusted_pct_lcl,age_adjusted_pct_ucl
_50_54,Iowa,19,213,69,282,76.079412874736,69.8070176061045,82.3518081433675,.,.,.
_55_59,Iowa,19,272,68,340,80.9968641864508,75.6769138317674,86.3168145411342,.,.,.
_60_64,Iowa,19,343,89,432,77.8357418164414,72.6911165447611,82.9803670881217,.,.,.
_65_69,Iowa,19,416,75,491,85.199055931427,81.1702016189729,89.2279102438811,.,.,.
_70_74,Iowa,19,333,79,412,77.9278884197325,72.3551095169352,83.5006673225298,.,.,.
_50_54,Kansas,20,251,117,368,64.8894347942475,57.683482141927,72.0953874465679,.,.,.
_55_59,Kansas,20,313,108,421,75.916724497084,70.9366113034135,80.8968376907544,.,.,.
_60_64,Kansas,20,416,141,557,74.7914747796968,70.2633820468563,79.3195675125374,.,.,.
_65_69,Kansas,20,515,146,661,78.9909780569667,74.9777387887982,83.0042173251353,.,.,.
_70_74,Kansas,20,475,122,597,77.2228080285035,72.5730378943687,81.8725781626383,.,.,.
_50_54,Kentucky,21,126,47,173,72.2310405299171,63.7444891521595,80.7175919076747,.,.,.
_55_59,Kentucky,21,129,43,172,73.6718883859507,64.4517839997417,82.8919927721597,.,.,.
_60_64,Kentucky,21,160,50,210,76.0660968172045,67.7711731215489,84.3610205128602,.,.,.
_65_69,Kentucky,21,179,50,229,77.7446653607613,70.4559484694465,85.0333822520762,.,.,.
_70_74,Kentucky,21,129,57,186,62.9421622520525,51.2331709490462,74.6511535550587,.,.,.
_50_54,Louisiana,22,184,51,235,78.8733714264962,72.8586441639228,84.8880986890697,.,.,.
_55_59,Louisiana,22,188,47,235,81.1259136382779,75.345909583517,86.9059176930388,.,.,.
_60_64,Louisiana,22,241,72,313,79.9976097123947,74.7598198312262,85.2353995935632,.,.,.
_65_69,Louisiana,22,249,40,289,84.4873528735456,78.5648698298128,90.4098359172783,.,.,.
_70_74,Louisiana,22,247,39,286,87.4241853277,82.6796995459278,92.1686711094722,.,.,.
_50_54,Maine,23,333,96,429,77.4971779116535,72.7751208879907,82.2192349353162,.,.,.
_55_59,Maine,23,411,97,508,82.7314970123731,78.2626699953331,87.2003240294132,.,.,.
_60_64,Maine,23,515,123,638,80.8866490808691,77.082871035539,84.6904271261992,.,.,.
_65_69,Maine,23,555,116,671,84.4730041419012,80.8607456553172,88.0852626284853,.,.,.
_70_74,Maine,23,613,120,733,82.776233719555,78.3593754705975,87.1930919685124,.,.,.
_50_54,Maryland,24,525,119,644,83.3942697680335,79.6497297528188,87.1388097832482,.,.,.
_55_59,Maryland,24,610,141,751,82.6118667579728,78.4389761289905,86.784757386955,.,.,.
_60_64,Maryland,24,695,165,860,82.5269718328052,78.7522165545807,86.3017271110297,.,.,.
_65_69,Maryland,24,713,159,872,83.4759778849978,79.8271806491802,87.1247751208153,.,.,.
_70_74,Maryland,24,667,161,828,84.1663160169703,80.2306176346265,88.1020143993141,.,.,.
_50_54,Massachusetts,25,326,80,406,80.3384108053589,75.5556517994458,85.121169811272,.,.,.
_55_59,Massachusetts,25,423,57,480,88.5355537549549,84.8461568711507,92.2249506387592,.,.,.
_60_64,Massachusetts,25,427,78,505,84.8631378143598,80.8579388297902,88.8683367989294,.,.,.
_65_69,Massachusetts,25,443,61,504,88.1356146270116,83.327338045004,92.9438912090193,.,.,.
_70_74,Massachusetts,25,380,61,441,82.2000725543027,76.3690584480447,88.0310866605607,.,.,.
_50_54,Michigan,26,284,90,374,74.9105634559728,69.0971023278488,80.7240245840968,.,.,.
_55_59,Michigan,26,326,98,424,75.7981206211061,70.8647496638657,80.7314915783465,.,.,.
_60_64,Michigan,26,405,128,533,74.1267341712145,69.5232436818407,78.7302246605883,.,.,.
_65_69,Michigan,26,481,118,599,80.017425124876,76.1735113791436,83.8613388706084,.,.,.
_70_74,Michigan,26,479,91,570,84.7236743208435,81.2562711004949,88.1910775411921,.,.,.
_50_54,Minnesota,27,482,150,632,76.3751128785165,72.1734730224522,80.5767527345809,.,.,.
_55_59,Minnesota,27,577,160,737,78.3166486440168,74.4179921235349,82.2153051644988,.,.,.
_60_64,Minnesota,27,689,169,858,79.4409604863083,75.7006872752697,83.1812336973469,.,.,.
