sex_name,state_name,state_fips,bene_yes,bene_no,total_bene,bene_yes_pct,bene_yes_pct_lcl,bene_yes_pct_ucl,age_adjusted_pct,age_adjusted_pct_lcl,age_adjusted_pct_ucl
Male,Kansas,20,73,163,236,34.7134795644023,25.4451650076749,43.9817941211296,31.200739813251,18.7495222861037,43.6519573403983
Female,Kansas,20,73,169,242,32.4182702263133,24.3698808488364,40.4666596037901,32.6930669597711,19.759705353383,45.6264285661592
Male,Kentucky,21,47,89,136,32.0728925401062,21.5209715002412,42.6248135799712,32.2646723172789,18.9298905733405,45.5994540612172
Female,Kentucky,21,39,74,113,30.3332546382632,18.5236475475652,42.1428617289613,32.7969224159934,17.9412182257118,47.6526266062751
Male,Louisiana,22,41,103,144,25.4564968265776,17.5678028637824,33.3451907893728,24.1104246044385,13.2437310561761,34.9771181527009
Female,Louisiana,22,34,85,119,26.5482040436955,16.1760828436903,36.9203252437007,.,.,.
Male,Maine,23,96,164,260,36.8857011000612,29.0971959394744,44.6742062606479,35.6934668016824,24.3935222012819,46.9934114020828
Female,Maine,23,93,147,240,41.8937343007094,34.5448143500687,49.2426542513501,40.8613091877942,29.8125157007126,51.9101026748758
Male,Maryland,24,81,187,268,30.8914007210661,22.4051294419162,39.377672000216,28.0453508536471,15.4442521421305,40.6464495651636
Female,Maryland,24,86,163,249,29.1097089240274,20.4655587014697,37.7538591465852,28.430219628039,14.9710679506237,41.8893713054542
Male,Massachusetts,25,56,108,164,31.4082024354559,22.6830998968246,40.1333049740871,29.8825212221483,17.3226892848771,42.4423531594196
Female,Massachusetts,25,57,90,147,48.1070323356001,35.6286797010637,60.5853849701365,43.5711376687727,23.7492870364589,63.3929883010865
Male,Michigan,26,59,156,215,26.6306176150614,20.1077216018814,33.1535136282414,26.9725723013596,17.0671518885191,36.8779927142001
Female,Michigan,26,83,135,218,37.5118067643557,29.8675697244898,45.1560438042216,33.1981407635698,22.672846966165,43.7234345609745
Male,Minnesota,27,92,209,301,30.0306110754762,23.0185589260127,37.0426632249398,29.4357985056391,19.096377366144,39.7752196451341
Female,Minnesota,27,66,161,227,28.30218212091,20.2242873483135,36.3800768935064,27.8922464997876,14.372615561751,41.4118774378242
Male,Mississippi,28,28,86,114,22.674161084241,15.2833641178886,30.0649580505934,25.0290290065133,13.3853854604693,36.6726725525573
Female,Mississippi,28,13,64,77,.,.,.,.,.,.
Male,Missouri,29,53,129,182,30.5751114221688,22.2141827031935,38.9360401411441,27.7174840599641,16.6723164660291,38.7626516538991
Female,Missouri,29,62,127,189,33.0538095160053,23.326995273057,42.7806237589537,31.6025220908419,19.3433658447811,43.8616783369026
Male,Montana,30,39,109,148,22.8523038426828,15.2226165941229,30.4819910912427,21.0261487421836,10.2663272691837,31.7859702151836
Female,Montana,30,29,75,104,31.8253133563585,17.3094929930974,46.3411337196196,.,.,.
Male,Nebraska,31,68,136,204,34.0466946632511,25.5996852845709,42.4937040419312,35.2391511490987,22.3285416326525,48.1497606655449
Female,Nebraska,31,43,80,123,44.690870399102,32.5602859547196,56.8214548434844,44.7110660486048,29.5538850627756,59.868247034434
Male,Nevada,32,22,60,82,25.6408696133763,12.6343964408804,38.6473427858722,.,.,.
Female,Nevada,32,9,32,41,.,.,.,.,.,.
Male,"New Hampshire",33,35,85,120,28.5099661794104,18.636900860815,38.3830314980058,27.5450600468364,16.4761120917716,38.6140080019013
Female,"New Hampshire",33,47,84,131,34.0842237458224,23.8950984241549,44.27334906749,30.0665855322392,17.3695028230134,42.763668241465
Male,"New Jersey",34,36,79,115,41.5806712958744,27.3460690950647,55.815273496684,40.5081932743326,21.0448370849329,59.9715494637324
Female,"New Jersey",34,14,61,75,.,.,.,.,.,.
Male,"New Mexico",35,19,61,80,23.2536407809126,14.9712748250764,31.5360067367489,18.754556820452,8.82236404393933,28.6867495969647
Female,"New Mexico",35,17,61,78,.,.,.,.,.,.
Male,"New York",36,114,186,300,38.5492851424463,30.1422753014916,46.956294983401,36.5008357133999,24.5650316041275,48.4366398226723
Female,"New York",36,104,202,306,27.8349308138375,20.8436198658156,34.8262417618593,25.8986623140064,15.823099184544,35.9742254434689
Male,"North Carolina",37,33,58,91,34.4221707644438,22.273716831887,46.5706246970007,.,.,.
Female,"North Carolina",37,29,61,90,24.2353594103466,14.5475877986423,33.9231310220509,21.0348961630333,10.2613802947662,31.8084120313004
Male,"North Dakota",38,37,67,104,37.9067974756741,27.5040077712391,48.309587180109,33.9316871867402,18.253297417703,49.6100769557774
Female,"North Dakota",38,22,51,73,30.8559133870667,16.9318966351454,44.7799301389879,.,.,.
Male,Ohio,39,146,336,482,32.3909094629694,25.7758803413722,39.0059385845667,32.7124415601578,23.2421414374842,42.1827416828315
Female,Ohio,39,119,300,419,26.2727482763687,20.1593303047448,32.3861662479926,24.8433091348192,15.0060407789475,34.6805774906909
Male,Oklahoma,40,30,89,119,19.9864252692586,12.6736342461986,27.2992162923186,20.4463060512938,9.00137302242763,31.89123908016
Female,Oklahoma,40,21,94,115,16.1808867453206,9.0183236677703,23.3434498228708,.,.,.
Male,Oregon,41,22,70,92,18.9692687236946,10.0839061490834,27.8546312983057,.,.,.
Female,Oregon,41,21,46,67,24.4253163587151,12.8533135378662,35.997319179564,.,.,.
Male,Pennsylvania,42,38,81,119,27.5622106370058,15.805421486873,39.3189997871387,26.7000712569669,13.8845287244854,39.5156137894484
Female,Pennsylvania,42,36,63,99,30.8935052474945,20.7200628456324,41.0669476493567,28.6719271055183,18.4835658243076,38.860288386729
Male,"Rhode Island",44,59,74,133,39.6881252792934,27.8424312792947,51.533819279292,38.1221118141742,21.4530598615376,54.7911637668108
Female,"Rhode Island",44,54,54,108,54.1629582148755,41.95584929747,66.3700671322811,54.1502103354705,34.7157287713921,73.5846918995488
Male,"South Carolina",45,58,165,223,24.3829804526353,17.3405188780589,31.4254420272118,23.8257708931342,13.8884148279697,33.7631269582987
Female,"South Carolina",45,54,123,177,32.7350345982492,23.0280186317084,42.4420505647899,30.9724515034411,16.8340829871664,45.1108200197157
Male,"South Dakota",46,46,118,164,.,.,.,.,.,.
Female,"South Dakota",46,27,99,126,34.8100563242533,16.8850968746174,52.7350157738892,35.1368077856505,16.3006278537385,53.9729877175625
Male,Tennessee,47,36,119,155,24.6893999604009,16.4575659873469,32.921233933455,26.4839525992911,14.1356034063336,38.8323017922485
Female,Tennessee,47,26,109,135,18.0538941300075,11.6337758082641,24.4740124517509,18.3353450190915,8.0483602648949,28.6223297732881
Male,Texas,48,51,220,271,16.5746912092211,10.404681484593,22.7447009338492,17.3677881324287,9.25169404280879,25.4838822220486
Female,Texas,48,42,151,193,.,.,.,.,.,.
Male,Utah,49,26,58,84,27.2416240738578,15.9477060850743,38.5355420626412,.,.,.
Female,Utah,49,8,45,53,.,.,.,.,.,.
Male,Vermont,50,55,95,150,41.8845724585581,29.3404618265141,54.4286830906021,32.7906641209812,20.520999787578,45.0603284543843
Female,Vermont,50,42,82,124,37.0641893184423,25.545208738519,48.5831698983656,37.3892752768089,28.9343531806771,45.8441973729408
Male,Virginia,51,55,130,185,26.9943858239017,20.080617188384,33.9081544594194,26.4234687875535,15.9045610058429,36.9423765692642
Female,Virginia,51,68,127,195,31.0332865003684,24.0418310630134,38.0247419377234,30.6683941092796,21.4740315014808,39.8627567170784
Male,Washington,53,106,276,382,23.936915281546,19.1099231151116,28.7639074479803,24.0513958180942,16.4824770838573,31.6203145523312
Female,Washington,53,102,250,352,30.6142806379029,24.5405817565938,36.6879795192119,27.4572117026877,18.7208678813865,36.1935555239889
Male,"West Virginia",54,29,113,142,16.6347112488401,10.059164834235,23.2102576634452,.,.,.
Female,"West Virginia",54,53,129,182,29.4581502586654,21.748720124569,37.1675803927618,32.5422026550336,19.0791481196779,46.0052571903892
Male,Wisconsin,55,94,176,270,33.4628141710307,26.604578512303,40.3210498297584,32.4701591266822,22.5887591616025,42.3515590917618
Female,Wisconsin,55,71,116,187,40.7407763667329,32.2184319123367,49.2631208211291,38.5019400979512,27.2605308922705,49.7433493036319
Male,Wyoming,56,18,76,94,18.1822499489843,9.38407669910105,26.9804231988676,.,.,.
Female,Wyoming,56,17,78,95,15.2064297452674,7.39415478494779,23.0187047055871,.,.,.
