"Notes","Year","Year Code","Leading Cancer Sites","Leading Cancer Sites Code","States and Puerto Rico","States and Puerto Rico Code",Count,Population,Crude Rate
,"2001","2001","Lung and Bronchus","22030","Illinois","17",8794,12488445,70.4
,"2001","2001","Lung and Bronchus","22030","Indiana","18",4986,6127760,81.4
,"2001","2001","Lung and Bronchus","22030","Iowa","19",2190,2931997,74.7
,"2001","2001","Lung and Bronchus","22030","Kansas","20",1783,2702162,66.0
,"2001","2001","Lung and Bronchus","22030","Kentucky","21",4284,4068132,105.3
,"2001","2001","Lung and Bronchus","22030","Louisiana","22",3506,4477875,78.3
,"2001","2001","Lung and Bronchus","22030","Maine","23",1201,1285692,93.4
,"2001","2001","Lung and Bronchus","22030","Maryland","24",3389,5374691,63.1
,"2001","2001","Lung and Bronchus","22030","Massachusetts","25",4744,6397634,74.2
,"2001","2001","Lung and Bronchus","22030","Michigan","26",7458,9991120,74.6
,"2001","2001","Lung and Bronchus","22030","Minnesota","27",2767,4982796,55.5
,"2001","2001","Lung and Bronchus","22030","Mississippi","28",Missing,Missing,Missing
,"2001","2001","Lung and Bronchus","22030","Missouri","29",4546,5641142,80.6
,"2001","2001","Lung and Bronchus","22030","Montana","30",692,906961,76.3
,"2001","2001","Lung and Bronchus","22030","Nebraska","31",1122,1719836,65.2
,"2001","2001","Lung and Bronchus","22030","Nevada","32",1561,2098399,74.4
,"2001","2001","Lung and Bronchus","22030","New Hampshire","33",847,1255517,67.5
,"2001","2001","Lung and Bronchus","22030","New Jersey","34",6105,8492671,71.9
,"2001","2001","Lung and Bronchus","22030","New Mexico","35",825,1831690,45.0
,"2001","2001","Lung and Bronchus","22030","New York","36",12827,19082838,67.2
,"2001","2001","Lung and Bronchus","22030","North Carolina","37",5610,8210122,68.3
,"2001","2001","Lung and Bronchus","22030","North Dakota","38",385,639062,60.2
,"2001","2001","Lung and Bronchus","22030","Ohio","39",9220,11387404,81.0
,"2001","2001","Lung and Bronchus","22030","Oklahoma","40",3098,3467100,89.4
,"2001","2001","Lung and Bronchus","22030","Oregon","41",2560,3467937,73.8
,"2001","2001","Lung and Bronchus","22030","Pennsylvania","42",10341,12298970,84.1
,"2001","2001","Lung and Bronchus","22030","Rhode Island","44",832,1057142,78.7
,"2001","2001","Lung and Bronchus","22030","South Carolina","45",3107,4064995,76.4
,"2001","2001","Lung and Bronchus","22030","South Dakota","46",486,757972,64.1
,"2001","2001","Lung and Bronchus","22030","Tennessee","47",4083,5750789,71.0
,"2001","2001","Lung and Bronchus","22030","Texas","48",12376,21319622,58.0
,"2001","2001","Lung and Bronchus","22030","Utah","49",508,2283715,22.2
,"2001","2001","Lung and Bronchus","22030","Vermont","50",412,612223,67.3
,"2001","2001","Lung and Bronchus","22030","Virginia","51",4109,7198362,57.1
,"2001","2001","Lung and Bronchus","22030","Washington","53",3978,5985722,66.5
,"2001","2001","Lung and Bronchus","22030","West Virginia","54",2028,1801481,112.6
,"2001","2001","Lung and Bronchus","22030","Wisconsin","55",3589,5406835,66.4
,"2001","2001","Lung and Bronchus","22030","Wyoming","56",245,494657,49.5
,"2001","2001","Lung and Bronchus","22030","Puerto Rico","72",Missing,Missing,Missing
,"2002","2002","Lung and Bronchus","22030","Alabama","01",3627,4480089,81.0
,"2002","2002","Lung and Bronchus","22030","Alaska","02",289,642337,45.0
,"2002","2002","Lung and Bronchus","22030","Arizona","04",3252,5396255,60.3
,"2002","2002","Lung and Bronchus","22030","Arkansas","05",2452,2705927,90.6
,"2002","2002","Lung and Bronchus","22030","California","06",17472,34871843,50.1
,"2002","2002","Lung and Bronchus","22030","Colorado","08",2067,4490406,46.0
,"2002","2002","Lung and Bronchus","22030","Connecticut","09",2628,3458749,76.0
,"2002","2002","Lung and Bronchus","22030","Delaware","10",622,806169,77.2
,"2002","2002","Lung and Bronchus","22030","District of Columbia","11",378,573158,66.0
,"2002","2002","Lung and Bronchus","22030","Florida","12",16040,16689370,96.1
,"2002","2002","Lung and Bronchus","22030","Georgia","13",5515,8508256,64.8
,"2002","2002","Lung and Bronchus","22030","Hawaii","15",687,1239613,55.4
,"2002","2002","Lung and Bronchus","22030","Idaho","16",682,1340372,50.9
,"2002","2002","Lung and Bronchus","22030","Illinois","17",9046,12525556,72.2
,"2002","2002","Lung and Bronchus","22030","Indiana","18",5078,6155967,82.5
,"2002","2002","Lung and Bronchus","22030","Iowa","19",2231,2934234,76.0
,"2002","2002","Lung and Bronchus","22030","Kansas","20",1728,2713535,63.7
,"2002","2002","Lung and Bronchus","22030","Kentucky","21",4303,4089875,105.2
,"2002","2002","Lung and Bronchus","22030","Louisiana","22",3315,4497267,73.7
,"2002","2002","Lung and Bronchus","22030","Maine","23",1184,1295960,91.4
,"2002","2002","Lung and Bronchus","22030","Maryland","24",3613,5440389,66.4
,"2002","2002","Lung and Bronchus","22030","Massachusetts","25",4826,6417206,75.2
,"2002","2002","Lung and Bronchus","22030","Michigan","26",7418,10015710,74.1
,"2002","2002","Lung and Bronchus","22030","Minnesota","27",2821,5018935,56.2
,"2002","2002","Lung and Bronchus","22030","Mississippi","28",Missing,Missing,Missing
,"2002","2002","Lung and Bronchus","22030","Missouri","29",4871,5674825,85.8
,"2002","2002","Lung and Bronchus","22030","Montana","30",668,911667,73.3
,"2002","2002","Lung and Bronchus","22030","Nebraska","31",1134,1728292,65.6
,"2002","2002","Lung and Bronchus","22030","Nevada","32",1640,2173791,75.4
,"2002","2002","Lung and Bronchus","22030","New Hampshire","33",891,1269089,70.2
,"2002","2002","Lung and Bronchus","22030","New Jersey","34",6127,8552643,71.6
,"2002","2002","Lung and Bronchus","22030","New Mexico","35",903,1855309,48.7
,"2002","2002","Lung and Bronchus","22030","New York","36",13033,19137800,68.1
