AGE_GROUP,STATE_NAME,STATE_FIPS,BENE_YES,BENE_NO,TOTAL_BENE,BENE_YES_PCT
_70-74,Maine,23,1224,132,1356,0.9026548673
_70-74,Maryland,24,4213,606,4819,0.8742477692
_70-74,Massachusetts,25,5791,624,6415,0.9027279813
_70-74,Michigan,26,7458,1138,8596,0.8676128432
_70-74,Minnesota,27,2327,190,2517,0.9245133095
_70-74,Mississippi,28,1503,310,1813,0.8290126862
_70-74,Missouri,29,3366,534,3900,0.8630769231
_70-74,Montana,30,684,76,760,0.9
_70-74,Nebraska,31,1256,163,1419,0.8851303735
_70-74,Nevada,32,1441,298,1739,0.8286371478
_70-74,"New Hampshire",33,1295,136,1431,0.9049615653
_70-74,"New Jersey",34,7089,1108,8197,0.8648285958
_70-74,"New Mexico",35,844,151,995,0.848241206
_70-74,"New York",36,11683,1684,13367,0.8740181043
_70-74,"North Carolina",37,6639,1023,7662,0.8664839468
_70-74,"North Dakota",38,393,37,430,0.9139534884
_70-74,Ohio,39,7306,1089,8395,0.8702799285
_70-74,Oklahoma,40,2213,403,2616,0.8459480122
_70-74,Oregon,41,2245,289,2534,0.8859510655
_70-74,Pennsylvania,42,8164,1159,9323,0.8756837928
_70-74,"Rhode Island",44,530,58,588,0.9013605442
_70-74,"South Carolina",45,4230,723,4953,0.8540278619
_70-74,"South Dakota",46,596,73,669,0.8908819133
_70-74,Tennessee,47,4206,748,4954,0.8490109003
_70-74,Texas,48,10936,2148,13084,0.8358300214
_70-74,Utah,49,1059,180,1239,0.8547215496
_70-74,Vermont,50,742,68,810,0.9160493827
_70-74,Virginia,51,5073,725,5798,0.8749568817
_70-74,Washington,53,3629,473,4102,0.8846903949
_70-74,"West Virginia",54,1446,236,1682,0.8596908442
_70-74,Wisconsin,55,3358,326,3684,0.9115092291
_70-74,Wyoming,56,405,50,455,0.8901098901
_75-79,Alabama,1,3086,538,3624,0.8515452539
_75-79,Alaska,2,601,81,682,0.8812316716
_75-79,Arizona,4,4586,789,5375,0.8532093023
_75-79,Arkansas,5,1499,299,1798,0.8337041157
_75-79,California,6,17242,2826,20068,0.8591787921
_75-79,Colorado,8,2610,400,3010,0.8671096346
_75-79,Connecticut,9,3882,446,4328,0.8969500924
_75-79,Delaware,10,1440,211,1651,0.8721986675
_75-79,"District of Columbia",11,287,47,334,0.8592814371
_75-79,Florida,12,17527,3090,20617,0.8501236843
_75-79,Georgia,13,5366,1006,6372,0.8421217828
_75-79,Hawaii,15,740,98,838,0.8830548926
_75-79,Idaho,16,1001,161,1162,0.8614457831
_75-79,Illinois,17,9475,1449,10924,0.8673562798
_75-79,Indiana,18,5040,772,5812,0.8671713696
_75-79,Iowa,19,1935,236,2171,0.8912943344
_75-79,Kansas,20,1468,227,1695,0.8660766962
_75-79,Kentucky,21,3187,462,3649,0.8733899699
_75-79,Louisiana,22,2075,404,2479,0.8370310609
_75-79,Maine,23,1485,161,1646,0.9021871203
_75-79,Maryland,24,4627,664,5291,0.8745038745
_75-79,Massachusetts,25,6337,694,7031,0.9012942682
_75-79,Michigan,26,8929,1263,10192,0.8760792779
_75-79,Minnesota,27,2723,253,2976,0.9149865591
_75-79,Mississippi,28,1525,319,1844,0.8270065076
_75-79,Missouri,29,3867,597,4464,0.8662634409
_75-79,Montana,30,702,108,810,0.8666666667
_75-79,Nebraska,31,1240,194,1434,0.8647140865
_75-79,Nevada,32,1644,344,1988,0.8269617706
_75-79,"New Hampshire",33,1334,145,1479,0.9019607843
_75-79,"New Jersey",34,8338,1327,9665,0.8627004656
_75-79,"New Mexico",35,862,143,1005,0.8577114428
_75-79,"New York",36,13279,1737,15016,0.8843233884
_75-79,"North Carolina",37,7794,1091,8885,0.8772087788
_75-79,"North Dakota",38,382,41,423,0.9030732861
_75-79,Ohio,39,7492,1067,8559,0.8753359037
_75-79,Oklahoma,40,2369,407,2776,0.8533861671
_75-79,Oregon,41,2334,321,2655,0.8790960452
_75-79,Pennsylvania,42,8027,1145,9172,0.8751635412
_75-79,"Rhode Island",44,621,67,688,0.9026162791
_75-79,"South Carolina",45,4369,690,5059,0.863609409
_75-79,"South Dakota",46,530,59,589,0.8998302207
_75-79,Tennessee,47,4294,828,5122,0.8383443967
_75-79,Texas,48,13252,2438,15690,0.8446144041
_75-79,Utah,49,1154,203,1357,0.8504053058
_75-79,Vermont,50,852,91,943,0.9034994698
_75-79,Virginia,51,5685,800,6485,0.8766383963
_75-79,Washington,53,3967,495,4462,0.8890632004
_75-79,"West Virginia",54,1312,245,1557,0.8426461143
_75-79,Wisconsin,55,3297,326,3623,0.910019321
_75-79,Wyoming,56,413,49,462,0.8939393939
_80-84,Alabama,1,2584,436,3020,0.8556291391
_80-84,Alaska,2,413,59,472,0.875
_80-84,Arizona,4,3591,658,4249,0.8451400329
_80-84,Arkansas,5,1200,247,1447,0.8293020041
_80-84,California,6,15637,2497,18134,0.8623028565
_80-84,Colorado,8,2024,343,2367,0.8550908323
_80-84,Connecticut,9,3440,444,3884,0.885684861
_80-84,Delaware,10,1209,151,1360,0.8889705882
_80-84,"District of Columbia",11,238,40,278,0.8561151079
_80-84,Florida,12,14638,2793,17431,0.839768229
_80-84,Georgia,13,4351,797,5148,0.8451825952
_80-84,Hawaii,15,550,59,609,0.9031198686
_80-84,Idaho,16,821,142,963,0.8525441329
_80-84,Illinois,17,8088,1204,9292,0.8704261731
_80-84,Indiana,18,4097,661,4758,0.8610760824
_80-84,Iowa,19,1862,214,2076,0.8969171484
_80-84,Kansas,20,1242,198,1440,0.8625
_80-84,Kentucky,21,2580,441,3021,0.8540218471
_80-84,Louisiana,22,1702,340,2042,0.833496572
_80-84,Maine,23,1275,128,1403,0.908766928
_80-84,Maryland,24,3692,590,4282,0.8622139187
_80-84,Massachusetts,25,5283,550,5833,0.9057088977
_80-84,Michigan,26,7643,1144,8787,0.8698076704
_80-84,Minnesota,27,2293,227,2520,0.9099206349
_80-84,Mississippi,28,1277,294,1571,0.8128580522
_80-84,Missouri,29,3185,549,3734,0.8529726834
_80-84,Montana,30,538,67,605,0.8892561983
_80-84,Nebraska,31,997,145,1142,0.8730297723
_80-84,Nevada,32,1315,237,1552,0.8472938144
_80-84,"New Hampshire",33,1038,128,1166,0.8902229846
_80-84,"New Jersey",34,7263,1139,8402,0.8644370388
_80-84,"New Mexico",35,737,130,867,0.8500576701
_80-84,"New York",36,12287,1698,13985,0.8785841974
_80-84,"North Carolina",37,5928,865,6793,0.8726630355
_80-84,"North Dakota",38,341,41,382,0.8926701571
_80-84,Ohio,39,6204,1038,7242,0.8566694283
_80-84,Oklahoma,40,2019,363,2382,0.8476070529
_80-84,Oregon,41,1878,291,2169,0.8658367911
_80-84,Pennsylvania,42,6690,981,7671,0.8721157607
_80-84,"Rhode Island",44,464,68,532,0.8721804511
_80-84,"South Carolina",45,3292,645,3937,0.8361696723
_80-84,"South Dakota",46,453,48,501,0.9041916168
_80-84,Tennessee,47,3486,631,4117,0.8467330581
_80-84,Texas,48,11574,2228,13802,0.8385741197
_80-84,Utah,49,961,186,1147,0.8378378378
_80-84,Vermont,50,666,81,747,0.8915662651
_80-84,Virginia,51,4625,735,5360,0.8628731343
_80-84,Washington,53,3533,460,3993,0.8847983972
_80-84,"West Virginia",54,1066,183,1249,0.8534827862
_80-84,Wisconsin,55,2495,291,2786,0.8955491744
_80-84,Wyoming,56,301,46,347,0.8674351585
_85+,Alabama,1,2455,402,2857,0.8592929646
_85+,Alaska,2,356,58,414,0.8599033816
_85+,Arizona,4,3130,534,3664,0.8542576419
_85+,Arkansas,5,1172,199,1371,0.8548504741
_85+,California,6,18575,2948,21523,0.8630302467
_85+,Colorado,8,2057,300,2357,0.8727195588
_85+,Connecticut,9,4438,592,5030,0.882306163
_85+,Delaware,10,1097,168,1265,0.8671936759
