income_group,state_name,state_fips,bene_yes,bene_no,total_bene,bene_yes_pct,bene_yes_pct_lcl,bene_yes_pct_ucl,age_adjusted_pct,age_adjusted_pct_lcl,age_adjusted_pct_ucl
"$200,000 or more",Hawaii,15,58,61,119,47.5126599646258,36.5691719738362,58.4561479554154,47.1125556161944,26.0468166689503,68.1782945634385
"Don’t know/Not sure/Missing",Hawaii,15,83,130,213,39.4544429144715,29.9351968380661,48.973688990877,.,.,.
"Less than $15,000",Idaho,16,16,63,79,23.8672197352832,10.769488366792,36.9649511037745,.,.,.
"$15,000 to < $25,000",Idaho,16,52,102,154,25.8029192874661,17.8581860416897,33.7476525332425,26.3852524140978,12.1719608461385,40.5985439820571
"$25,000 to < $35,000",Idaho,16,70,164,234,28.6662520125759,21.3614203706197,35.971083654532,.,.,.
"$35,000 to < $50,000",Idaho,16,81,130,211,38.0011221963482,30.2298666952102,45.7723776974863,36.2888006736606,19.2203855838592,53.3572157634621
"$50,000 to < $75,000",Idaho,16,145,145,290,48.8500479468953,42.0971037605031,55.6029921332874,50.5906699336008,26.0262201350187,75.155119732183
"$75,000 to < $100,000",Idaho,16,111,104,215,48.8490003113133,40.9459809361738,56.7520196864528,47.2517142346581,32.0833934442124,62.4200350251038
"$100,000 to < $200,000",Idaho,16,187,150,337,52.3586757630129,45.9013568206243,58.8159947054015,56.5371197210266,35.7214130174204,77.3528264246328
"$200,000 or more",Idaho,16,39,19,58,62.634127583299,47.7653388078846,77.5029163587135,64.345987612765,39.4394495031464,89.2525257223836
"Don’t know/Not sure/Missing",Idaho,16,103,177,280,30.4593007826475,24.0370523409142,36.8815492243809,31.2396540966093,14.8298983240825,47.6494098691361
"Less than $15,000",Illinois,17,33,72,105,30.0357606075523,18.6567953766148,41.4147258384898,37.8437346419731,18.0982971617933,57.589172122153
"$15,000 to < $25,000",Illinois,17,38,105,143,23.6508753569268,14.626975086088,32.6747756277656,.,.,.
"$25,000 to < $35,000",Illinois,17,54,85,139,38.8768741252392,25.3162106378944,52.437537612584,.,.,.
"$35,000 to < $50,000",Illinois,17,35,64,99,35.0229277896347,24.0433729013183,46.0024826779511,.,.,.
"$50,000 to < $75,000",Illinois,17,76,85,161,40.3396420407565,31.1688465879448,49.5104374935681,.,.,.
"$75,000 to < $100,000",Illinois,17,83,72,155,47.7177309335265,37.9200333998744,57.5154284671786,45.9216036323878,28.9828498761916,62.860357388584
"$100,000 to < $200,000",Illinois,17,141,106,247,53.6910906763089,46.2175433080087,61.164638044609,48.400351529527,25.9967090050789,70.803994053975
"$200,000 or more",Illinois,17,71,29,100,65.33997361131,54.7364468034424,75.9435004191777,63.6605996872097,46.1268499032336,81.1943494711858
"Don’t know/Not sure/Missing",Illinois,17,42,79,121,36.6807702729026,25.4962742781331,47.865266267672,.,.,.
"Less than $15,000",Indiana,18,50,120,170,30.6027838906912,21.6968475819166,39.5087201994659,.,.,.
"$15,000 to < $25,000",Indiana,18,99,161,260,38.7435014206291,31.3810801668006,46.1059226744576,37.2855943208095,19.241002122938,55.330186518681
"$25,000 to < $35,000",Indiana,18,110,167,277,37.7344654940027,31.3126257175104,44.1563052704951,34.0381192579988,21.942456667632,46.1337818483655
"$35,000 to < $50,000",Indiana,18,114,181,295,34.9434129661095,28.6233529916799,41.2634729405391,35.4234290678287,17.5086683674496,53.3381897682078
"$50,000 to < $75,000",Indiana,18,193,204,397,46.8890427378523,41.2049032075107,52.5731822681939,46.8743724714115,31.8655497298183,61.8831952130048
"$75,000 to < $100,000",Indiana,18,190,151,341,49.4432596506889,43.1512250135602,55.7352942878177,45.1306864080115,30.4664456487571,59.7949271672659
"$100,000 to < $200,000",Indiana,18,310,230,540,55.9820591856075,51.3412554446199,60.6228629265951,53.8125489553669,36.3658869252142,71.2592109855196
"$200,000 or more",Indiana,18,77,40,117,63.1424656610607,52.4170186549425,73.8679126671788,59.0950788705518,36.0132068168213,82.1769509242824
"Don’t know/Not sure/Missing",Indiana,18,164,204,368,38.6607474201414,32.6723528994616,44.6491419408212,39.7106166582303,24.5073365113195,54.913896805141
"Less than $15,000",Iowa,19,44,78,122,39.069895440281,27.5777334063686,50.5620574741934,38.0511751659054,16.3394205669005,59.7629297649103
"$15,000 to < $25,000",Iowa,19,66,136,202,32.7505380095163,24.1130328680046,41.388043151028,.,.,.
"$25,000 to < $35,000",Iowa,19,88,154,242,40.8042873025996,32.995819779154,48.6127548260451,40.3898936816388,19.5187354002696,61.261051963008
"$35,000 to < $50,000",Iowa,19,124,157,281,41.9151547857514,34.3678581109908,49.462451460512,42.2506796202944,23.1534427878827,61.3479164527061
"$50,000 to < $75,000",Iowa,19,152,202,354,41.9667585115428,35.4005810575357,48.5329359655499,43.3766307999463,30.7661925459234,55.9870690539692
"$75,000 to < $100,000",Iowa,19,180,146,326,56.840078859028,49.8784263982649,63.801731319791,54.183457624695,34.2292597091948,74.1376555401952
"$100,000 to < $200,000",Iowa,19,241,188,429,56.133886755931,50.580034629538,61.687738882324,55.4869539713278,36.0379601405275,74.9359478021282
"$200,000 or more",Iowa,19,75,29,104,74.4146522955744,64.3145592354651,84.5147453556837,79.1543081862901,66.4052402323162,91.9033761402641
"Don’t know/Not sure/Missing",Iowa,19,120,184,304,40.4176928374999,33.3723848066503,47.4630008683495,36.9241752791026,22.2884833028401,51.559867255365
"Less than $15,000",Kansas,20,35,100,135,23.0738679428603,14.2446839293426,31.9030519563781,27.5697117866762,14.2675156112259,40.8719079621264
"$15,000 to < $25,000",Kansas,20,49,141,190,26.6905983141024,18.2511129068105,35.1300837213942,.,.,.
"$25,000 to < $35,000",Kansas,20,98,211,309,33.3857625563306,26.3985243434872,40.3730007691739,30.9827422138577,17.7881521512261,44.1773322764894
"$35,000 to < $50,000",Kansas,20,153,191,344,42.5606673998519,35.519966366704,49.6013684329997,38.4728338648392,23.032927323986,53.9127404056924
"$50,000 to < $75,000",Kansas,20,239,245,484,46.9607303345107,41.1487960948174,52.772664574204,42.0265207414119,29.1801229713499,54.8729185114739
"$75,000 to < $100,000",Kansas,20,243,191,434,53.6154818367433,47.2553421075674,59.9756215659193,52.2865703129099,35.9177060263188,68.655434599501
"$100,000 to < $200,000",Kansas,20,320,237,557,60.3025726894078,55.297119785937,65.3080255928786,57.1001620844708,38.983421851002,75.2169023179396
"$200,000 or more",Kansas,20,66,31,97,69.6131918659322,58.5068519309596,80.7195318009048,60.9365420318531,47.3144204182463,74.5586636454598
"Don’t know/Not sure/Missing",Kansas,20,119,170,289,37.9499280327374,30.6705010441935,45.2293550212813,39.8028491116545,21.2928115486352,58.3128866746738
"Less than $15,000",Kentucky,21,20,64,84,20.7179996498812,13.7874867149984,27.648512584764,28.8488016291623,16.1198995219612,41.5777037363633
"$15,000 to < $25,000",Kentucky,21,44,75,119,36.4415235315954,24.7194418573932,48.1636052057975,33.4264877473346,19.9885005148039,46.8644749798653
"$25,000 to < $35,000",Kentucky,21,62,80,142,36.1061478146919,27.0122638817727,45.2000317476111,40.0461027556531,25.0596811474019,55.0325243639042
"$35,000 to < $50,000",Kentucky,21,58,77,135,46.5911883799993,34.9888860443987,58.1934907155999,44.4311900566359,21.5670248419507,67.2953552713211
"$50,000 to < $75,000",Kentucky,21,79,80,159,40.2331318404661,29.9798836181314,50.4863800628008,37.1455664462544,21.8249457364128,52.4661871560959
"$75,000 to < $100,000",Kentucky,21,72,48,120,59.6153199693484,48.7087520993369,70.5218878393599,65.4672030330806,53.0703995700253,77.8640064961359
"$100,000 to < $200,000",Kentucky,21,104,75,179,59.9717351241166,50.0180885370993,69.9253817111339,53.8043621404006,38.3819267437861,69.2267975370151
"$200,000 or more",Kentucky,21,23,17,40,51.3437729297993,28.8374179874116,73.8501278721869,.,.,.
"Don’t know/Not sure/Missing",Kentucky,21,89,162,251,32.6656169661443,24.6465712440286,40.68466268826,33.5266054833188,15.9809614523577,51.0722495142799
"Less than $15,000",Louisiana,22,36,100,136,26.4427534159362,17.4033411385974,35.4821656932749,.,.,.
