age_group,state_name,state_fips,bene_yes,bene_no,total_bene,bene_yes_pct,bene_yes_pct_lcl,bene_yes_pct_ucl,age_adjusted_pct,age_adjusted_pct_lcl,age_adjusted_pct_ucl
_40_44,California,6,167,145,312,47.7381884063121,39.4262775044627,56.0500993081616,.,.,.
_45_49,California,6,139,112,251,49.2663491623073,40.4332295615785,58.0994687630361,.,.,.
_50_54,California,6,175,136,311,54.4363229368539,46.2196199555177,62.6530259181902,.,.,.
_55_59,California,6,167,167,334,52.3910804926063,43.7859903963727,60.9961705888399,.,.,.
_60_65,California,6,214,213,427,48.0130210511432,41.0156161976514,55.0104259046349,.,.,.
_21_24,Colorado,8,45,96,141,30.3927251787517,22.3478551109003,38.4375952466031,.,.,.
_25_29,Colorado,8,111,127,238,44.0433124378769,37.3672742767099,50.7193505990439,.,.,.
_30_34,Colorado,8,152,129,281,52.7776276078812,46.3672687039997,59.1879865117627,.,.,.
_35_39,Colorado,8,153,185,338,45.2338902705449,39.058770110703,51.4090104303868,.,.,.
_40_44,Colorado,8,189,149,338,53.8685756434495,48.1803617491459,59.5567895377531,.,.,.
_45_49,Colorado,8,177,141,318,55.6361508800324,49.4225955989129,61.8497061611518,.,.,.
_50_54,Colorado,8,189,153,342,53.9893524860231,48.4955421021185,59.4831628699276,.,.,.
_55_59,Colorado,8,153,167,320,48.1252424210764,41.3643183123197,54.8861665298331,.,.,.
_60_65,Colorado,8,227,268,495,46.3937563937794,40.7063898113798,52.081122976179,.,.,.
_21_24,Connecticut,9,40,84,124,27.8031224599681,18.0192038446254,37.5870410753107,.,.,.
_25_29,Connecticut,9,69,112,181,36.9220654760772,28.5666227652314,45.277508186923,.,.,.
_30_34,Connecticut,9,104,139,243,42.2876509681804,34.144447493588,50.4308544427728,.,.,.
_35_39,Connecticut,9,149,136,285,51.4753453737507,43.2128744247162,59.7378163227853,.,.,.
_40_44,Connecticut,9,161,95,256,62.4803488387017,54.1829839762385,70.777713701165,.,.,.
_45_49,Connecticut,9,182,99,281,63.7561660756544,56.2415700275948,71.2707621237139,.,.,.
_50_54,Connecticut,9,222,145,367,63.3632517735218,56.5695000633669,70.1570034836767,.,.,.
_55_59,Connecticut,9,257,127,384,65.3235921075189,58.6124051450595,72.0347790699783,.,.,.
_60_65,Connecticut,9,341,258,599,57.1397205019215,51.3973462854057,62.8820947184374,.,.,.
_21_24,Delaware,10,14,31,45,28.4789173286835,12.1167700225858,44.8410646347811,.,.,.
_25_29,Delaware,10,22,43,65,31.13163785536,15.7673177953079,46.495957915412,.,.,.
_30_34,Delaware,10,34,65,99,35.6148495874058,23.4079951956304,47.8217039791812,.,.,.
_35_39,Delaware,10,55,50,105,54.7130312504795,42.5753821590492,66.8506803419097,.,.,.
_40_44,Delaware,10,67,44,111,53.2747258840465,40.1177073639093,66.4317444041838,.,.,.
_45_49,Delaware,10,57,57,114,52.6509194644322,37.7922919067951,67.5095470220692,.,.,.
_50_54,Delaware,10,87,68,155,57.9361545175268,48.5716979988815,67.3006110361722,.,.,.
_55_59,Delaware,10,88,75,163,49.2400168347114,38.98500088809,59.4950327813327,.,.,.
_60_65,Delaware,10,125,129,254,48.1927621646227,40.0219830518902,56.3635412773553,.,.,.
_21_24,"District of Columbia",11,15,36,51,26.7441156532682,13.4361593948697,40.0520719116667,.,.,.
_25_29,"District of Columbia",11,53,44,97,51.2657030932594,40.16083363283,62.3705725536888,.,.,.
_30_34,"District of Columbia",11,65,61,126,52.352163108965,43.2623385637583,61.4419876541718,.,.,.
_35_39,"District of Columbia",11,76,72,148,41.8930206903663,31.6140887083,52.1719526724327,.,.,.
_40_44,"District of Columbia",11,72,46,118,62.3362505515977,52.4053655220707,72.2671355811246,.,.,.
_45_49,"District of Columbia",11,62,24,86,71.5108181990919,60.2773350917429,82.7443013064409,.,.,.
_50_54,"District of Columbia",11,68,42,110,55.347552155318,42.534390306761,68.1607140038751,.,.,.
_55_59,"District of Columbia",11,49,51,100,50.6445826582343,38.3141848867321,62.9749804297365,.,.,.
_60_65,"District of Columbia",11,78,71,149,55.589849042677,45.310852841588,65.868845243766,.,.,.
_21_24,Florida,12,40,107,147,20.0230557873223,11.755351656913,28.2907599177315,.,.,.
