AGE_GROUP,STATE_NAME,STATE_FIPS,BENE_N,TOTAL_N,PER_100K
_85+,"North Dakota",38,39,17006,229.33082441491237
_85+,Ohio,39,890,181717,489.7725584287656
_85+,Oklahoma,40,227,65909,344.4142681576113
_85+,Oregon,41,74,51040,144.9843260188088
_85+,Pennsylvania,42,636,214061,297.11157100078947
_85+,"Rhode Island",44,42,16045,261.7637893424743
_85+,"South Carolina",45,225,86982,258.67420845692214
_85+,"South Dakota",46,60,20413,293.9303385097732
_85+,Tennessee,47,435,100429,433.14182158539865
_85+,Texas,48,1204,347256,346.7182712465731
_85+,Utah,49,36,30931,116.388089618829
_85+,Vermont,50,30,15334,195.6436676666232
_85+,Virginia,51,414,146286,283.0072597514458
_85+,Washington,53,187,111306,168.005318671051
_85+,"West Virginia",54,125,33106,377.57506192231017
_85+,Wisconsin,55,215,96637,222.48207208419137
_85+,Wyoming,56,11,10860,101.28913443830571
