Notes,Year,Year Code,Leading Cancer Sites,Leading Cancer Sites Code,States and Puerto Rico,States and Puerto Rico Code,Deaths,Population,Crude Rate
,2002,2002,Lung and Bronchus,22030,Connecticut,09,1847,3458749,53.4
,2002,2002,Lung and Bronchus,22030,Delaware,10,473,806169,58.7
,2002,2002,Lung and Bronchus,22030,District of Columbia,11,326,573158,56.9
,2002,2002,Lung and Bronchus,22030,Florida,12,11847,16689370,71
,2002,2002,Lung and Bronchus,22030,Georgia,13,4186,8508256,49.2
,2002,2002,Lung and Bronchus,22030,Hawaii,15,424,1239613,34.2
,2002,2002,Lung and Bronchus,22030,Idaho,16,531,1340372,39.6
,2002,2002,Lung and Bronchus,22030,Illinois,17,6847,12525556,54.7
,2002,2002,Lung and Bronchus,22030,Indiana,18,3968,6155967,64.5
,2002,2002,Lung and Bronchus,22030,Iowa,19,1732,2934234,59
,2002,2002,Lung and Bronchus,22030,Kansas,20,1479,2713535,54.5
,2002,2002,Lung and Bronchus,22030,Kentucky,21,3347,4089875,81.8
,2002,2002,Lung and Bronchus,22030,Louisiana,22,2837,4497267,63.1
,2002,2002,Lung and Bronchus,22030,Maine,23,948,1295960,73.2
,2002,2002,Lung and Bronchus,22030,Maryland,24,2967,5440389,54.5
,2002,2002,Lung and Bronchus,22030,Massachusetts,25,3762,6417206,58.6
,2002,2002,Lung and Bronchus,22030,Michigan,26,5713,10015710,57
,2002,2002,Lung and Bronchus,22030,Minnesota,27,2326,5018935,46.3
,2002,2002,Lung and Bronchus,22030,Mississippi,28,1900,2858681,66.5
,2002,2002,Lung and Bronchus,22030,Missouri,29,3792,5674825,66.8
,2002,2002,Lung and Bronchus,22030,Montana,30,531,911667,58.2
,2002,2002,Lung and Bronchus,22030,Nebraska,31,889,1728292,51.4
,2002,2002,Lung and Bronchus,22030,Nevada,32,1154,2173791,53.1
,2002,2002,Lung and Bronchus,22030,New Hampshire,33,702,1269089,55.3
,2002,2002,Lung and Bronchus,22030,New Jersey,34,4558,8552643,53.3
,2002,2002,Lung and Bronchus,22030,New Mexico,35,699,1855309,37.7
,2002,2002,Lung and Bronchus,22030,New York,36,9615,19137800,50.2
,2002,2002,Lung and Bronchus,22030,North Carolina,37,4868,8326201,58.5
,2002,2002,Lung and Bronchus,22030,North Dakota,38,304,638168,47.6
,2002,2002,Lung and Bronchus,22030,Ohio,39,7490,11407889,65.7
,2002,2002,Lung and Bronchus,22030,Oklahoma,40,2397,3489080,68.7
,2002,2002,Lung and Bronchus,22030,Oregon,41,2057,3513424,58.5
,2002,2002,Lung and Bronchus,22030,Pennsylvania,42,8096,12331031,65.7
,2002,2002,Lung and Bronchus,22030,Rhode Island,44,695,1065995,65.2
,2002,2002,Lung and Bronchus,22030,South Carolina,45,2483,4107795,60.4
,2002,2002,Lung and Bronchus,22030,South Dakota,46,399,760020,52.5
,2002,2002,Lung and Bronchus,22030,Tennessee,47,4080,5795918,70.4
,2002,2002,Lung and Bronchus,22030,Texas,48,9797,21690325,45.2
,2002,2002,Lung and Bronchus,22030,Utah,49,400,2324815,17.2
,2002,2002,Lung and Bronchus,22030,Vermont,50,318,615442,51.7
,2002,2002,Lung and Bronchus,22030,Virginia,51,3920,7286873,53.8
,2002,2002,Lung and Bronchus,22030,Washington,53,3084,6052349,51
,2002,2002,Lung and Bronchus,22030,West Virginia,54,1522,1805414,84.3
,2002,2002,Lung and Bronchus,22030,Wisconsin,55,2803,5445162,51.5
,2002,2002,Lung and Bronchus,22030,Wyoming,56,242,500017,48.4
,2003,2003,Lung and Bronchus,22030,Alabama,01,3107,4503491,69
,2003,2003,Lung and Bronchus,22030,Alaska,02,214,648414,33
,2003,2003,Lung and Bronchus,22030,Arizona,04,2719,5510364,49.3
,2003,2003,Lung and Bronchus,22030,Arkansas,05,2018,2724816,74.1
,2003,2003,Lung and Bronchus,22030,California,06,13640,35253159,38.7
,2003,2003,Lung and Bronchus,22030,Colorado,08,1545,4528732,34.1
,2003,2003,Lung and Bronchus,22030,Connecticut,09,1889,3484336,54.2
,2003,2003,Lung and Bronchus,22030,Delaware,10,539,818003,65.9
,2003,2003,Lung and Bronchus,22030,District of Columbia,11,284,568502,50
,2003,2003,Lung and Bronchus,22030,Florida,12,11915,17004085,70.1
,2003,2003,Lung and Bronchus,22030,Georgia,13,4261,8622793,49.4
,2003,2003,Lung and Bronchus,22030,Hawaii,15,508,1251154,40.6
,2003,2003,Lung and Bronchus,22030,Idaho,16,590,1363380,43.3
,2003,2003,Lung and Bronchus,22030,Illinois,17,6854,12556006,54.6
,2003,2003,Lung and Bronchus,22030,Indiana,18,4074,6196638,65.7
,2003,2003,Lung and Bronchus,22030,Iowa,19,1765,2941999,60
,2003,2003,Lung and Bronchus,22030,Kansas,20,1515,2723004,55.6
,2003,2003,Lung and Bronchus,22030,Kentucky,21,3330,4117170,80.9
,2003,2003,Lung and Bronchus,22030,Louisiana,22,2855,4521042,63.1
,2003,2003,Lung and Bronchus,22030,Maine,23,951,1306513,72.8
,2003,2003,Lung and Bronchus,22030,Maryland,24,3015,5496269,54.9
,2003,2003,Lung and Bronchus,22030,Massachusetts,25,3760,6422565,58.5
,2003,2003,Lung and Bronchus,22030,Michigan,26,5711,10041152,56.9
,2003,2003,Lung and Bronchus,22030,Minnesota,27,2283,5053572,45.2
,2003,2003,Lung and Bronchus,22030,Mississippi,28,1897,2868312,66.1
,2003,2003,Lung and Bronchus,22030,Missouri,29,3786,5709403,66.3
,2003,2003,Lung and Bronchus,22030,Montana,30,535,919630,58.2
,2003,2003,Lung and Bronchus,22030,Nebraska,31,877,1738643,50.4
,2003,2003,Lung and Bronchus,22030,Nevada,32,1324,2248850,58.9
,2003,2003,Lung and Bronchus,22030,New Hampshire,33,679,1279840,53.1
,2003,2003,Lung and Bronchus,22030,New Jersey,34,4648,8601402,54
,2003,2003,Lung and Bronchus,22030,New Mexico,35,725,1877574,38.6
,2003,2003,Lung and Bronchus,22030,New York,36,9453,19175939,49.3
,2003,2003,Lung and Bronchus,22030,North Carolina,37,4848,8422501,57.6
,2003,2003,Lung and Bronchus,22030,North Dakota,38,316,638817,49.5
,2003,2003,Lung and Bronchus,22030,Ohio,39,7411,11434788,64.8
,2003,2003,Lung and Bronchus,22030,Oklahoma,40,2312,3504892,66
,2003,2003,Lung and Bronchus,22030,Oregon,41,2062,3547376,58.1
,2003,2003,Lung and Bronchus,22030,Pennsylvania,42,7949,12374658,64.2
,2003,2003,Lung and Bronchus,22030,Rhode Island,44,644,1071342,60.1
,2003,2003,Lung and Bronchus,22030,South Carolina,45,2625,4150297,63.2
,2003,2003,Lung and Bronchus,22030,South Dakota,46,405,763729,53
,2003,2003,Lung and Bronchus,22030,Tennessee,47,4045,5847812,69.2
,2003,2003,Lung and Bronchus,22030,Texas,48,9725,22030931,44.1
,2003,2003,Lung and Bronchus,22030,Utah,49,412,2360137,17.5
,2003,2003,Lung and Bronchus,22030,Vermont,50,320,617858,51.8
,2003,2003,Lung and Bronchus,22030,Virginia,51,4024,7366977,54.6
,2003,2003,Lung and Bronchus,22030,Washington,53,3188,6104115,52.2
,2003,2003,Lung and Bronchus,22030,West Virginia,54,1468,1812295,81
,2003,2003,Lung and Bronchus,22030,Wisconsin,55,2725,5479203,49.7
,2003,2003,Lung and Bronchus,22030,Wyoming,56,245,503453,48.7
,2004,2004,Lung and Bronchus,22030,Alabama,01,3051,4530729,67.3
,2004,2004,Lung and Bronchus,22030,Alaska,02,229,659286,34.7
,2004,2004,Lung and Bronchus,22030,Arizona,04,2687,5652404,47.5
,2004,2004,Lung and Bronchus,22030,Arkansas,05,2100,2749686,76.4
,2004,2004,Lung and Bronchus,22030,California,06,13399,35574576,37.7
,2004,2004,Lung and Bronchus,22030,Colorado,08,1501,4575013,32.8
,2004,2004,Lung and Bronchus,22030,Connecticut,09,1927,3496094,55.1
,2004,2004,Lung and Bronchus,22030,Delaware,10,583,830803,70.2
,2004,2004,Lung and Bronchus,22030,District of Columbia,11,283,567754,49.8
,2004,2004,Lung and Bronchus,22030,Florida,12,12065,17415318,69.3
,2004,2004,Lung and Bronchus,22030,Georgia,13,4313,8769252,49.2
,2004,2004,Lung and Bronchus,22030,Hawaii,15,523,1273569,41.1
,2004,2004,Lung and Bronchus,22030,Idaho,16,535,1391802,38.4
,2004,2004,Lung and Bronchus,22030,Illinois,17,6804,12589773,54
,2004,2004,Lung and Bronchus,22030,Indiana,18,3825,6233007,61.4
,2004,2004,Lung and Bronchus,22030,Iowa,19,1823,2953635,61.7
,2004,2004,Lung and Bronchus,22030,Kansas,20,1544,2734373,56.5
,2004,2004,Lung and Bronchus,22030,Kentucky,21,3314,4146101,79.9
,2004,2004,Lung and Bronchus,22030,Louisiana,22,2916,4552238,64.1
,2004,2004,Lung and Bronchus,22030,Maine,23,951,1313688,72.4
,2004,2004,Lung and Bronchus,22030,Maryland,24,2845,5546935,51.3
,2004,2004,Lung and Bronchus,22030,Massachusetts,25,3612,6412281,56.3
