Notes,Year,Year Code,Leading Cancer Sites,Leading Cancer Sites Code,States and Puerto Rico,States and Puerto Rico Code,Deaths,Population,Crude Rate
,2002,2002,Cervix Uteri,27010,Kentucky,21,54,2087223,2.6
,2002,2002,Cervix Uteri,27010,Louisiana,22,70,2315524,3
,2002,2002,Cervix Uteri,27010,Maine,23,17,664226,2.6
,2002,2002,Cervix Uteri,27010,Maryland,24,73,2815197,2.6
,2002,2002,Cervix Uteri,27010,Massachusetts,25,56,3319436,1.7
,2002,2002,Cervix Uteri,27010,Michigan,26,115,5100171,2.3
,2002,2002,Cervix Uteri,27010,Minnesota,27,35,2531205,1.4
,2002,2002,Cervix Uteri,27010,Mississippi,28,62,1475412,4.2
,2002,2002,Cervix Uteri,27010,Missouri,29,85,2910476,2.9
,2002,2002,Cervix Uteri,27010,Nebraska,31,25,874803,2.9
,2002,2002,Cervix Uteri,27010,Nevada,32,28,1069764,2.6
,2002,2002,Cervix Uteri,27010,New Hampshire,33,16,643680,2.5
,2002,2002,Cervix Uteri,27010,New Jersey,34,116,4398801,2.6
,2002,2002,Cervix Uteri,27010,New Mexico,35,20,941856,2.1
,2002,2002,Cervix Uteri,27010,New York,36,294,9902927,3
,2002,2002,Cervix Uteri,27010,North Carolina,37,112,4250179,2.6
,2002,2002,Cervix Uteri,27010,Ohio,39,183,5859385,3.1
,2002,2002,Cervix Uteri,27010,Oklahoma,40,53,1769080,3
,2002,2002,Cervix Uteri,27010,Oregon,41,45,1771126,2.5
,2002,2002,Cervix Uteri,27010,Pennsylvania,42,185,6363832,2.9
,2002,2002,Cervix Uteri,27010,Rhode Island,44,18,553090,3.3
,2002,2002,Cervix Uteri,27010,South Carolina,45,66,2111069,3.1
,2002,2002,Cervix Uteri,27010,Tennessee,47,97,2971873,3.3
,2002,2002,Cervix Uteri,27010,Texas,48,329,10914653,3
,2002,2002,Cervix Uteri,27010,Virginia,51,89,3713695,2.4
,2002,2002,Cervix Uteri,27010,Washington,53,46,3036742,1.5
,2002,2002,Cervix Uteri,27010,West Virginia,54,35,923841,3.8
,2002,2002,Cervix Uteri,27010,Wisconsin,55,49,2751697,1.8
,2003,2003,Cervix Uteri,27010,Alabama,01,74,2324069,3.2
,2003,2003,Cervix Uteri,27010,Arizona,04,64,2764077,2.3
,2003,2003,Cervix Uteri,27010,Arkansas,05,50,1391523,3.6
,2003,2003,Cervix Uteri,27010,California,06,396,17709509,2.2
,2003,2003,Cervix Uteri,27010,Colorado,08,39,2253214,1.7
,2003,2003,Cervix Uteri,27010,Connecticut,09,37,1793468,2.1
,2003,2003,Cervix Uteri,27010,Florida,12,277,8697573,3.2
,2003,2003,Cervix Uteri,27010,Georgia,13,116,4394952,2.6
,2003,2003,Cervix Uteri,27010,Illinois,17,185,6402859,2.9
,2003,2003,Cervix Uteri,27010,Indiana,18,93,3152366,3
,2003,2003,Cervix Uteri,27010,Iowa,19,48,1493907,3.2
,2003,2003,Cervix Uteri,27010,Kansas,20,36,1377415,2.6
,2003,2003,Cervix Uteri,27010,Kentucky,21,88,2102308,4.2
,2003,2003,Cervix Uteri,27010,Louisiana,22,66,2327153,2.8
,2003,2003,Cervix Uteri,27010,Maryland,24,63,2843847,2.2
,2003,2003,Cervix Uteri,27010,Massachusetts,25,48,3320817,1.4
,2003,2003,Cervix Uteri,27010,Michigan,26,104,5110521,2
,2003,2003,Cervix Uteri,27010,Minnesota,27,48,2546999,1.9
,2003,2003,Cervix Uteri,27010,Mississippi,28,57,1479611,3.9
,2003,2003,Cervix Uteri,27010,Missouri,29,89,2926556,3
,2003,2003,Cervix Uteri,27010,Nevada,32,25,1108135,2.3
,2003,2003,Cervix Uteri,27010,New Hampshire,33,17,648513,2.6
,2003,2003,Cervix Uteri,27010,New Jersey,34,136,4421964,3.1
,2003,2003,Cervix Uteri,27010,New Mexico,35,23,952303,2.4
,2003,2003,Cervix Uteri,27010,New York,36,293,9917810,3
,2003,2003,Cervix Uteri,27010,North Carolina,37,104,4313901,2.4
,2003,2003,Cervix Uteri,27010,Ohio,39,165,5868535,2.8
,2003,2003,Cervix Uteri,27010,Oklahoma,40,55,1777723,3.1
,2003,2003,Cervix Uteri,27010,Oregon,41,43,1788805,2.4
,2003,2003,Cervix Uteri,27010,Pennsylvania,42,155,6377894,2.4
,2003,2003,Cervix Uteri,27010,South Carolina,45,72,2133967,3.4
,2003,2003,Cervix Uteri,27010,Tennessee,47,93,3000983,3.1
,2003,2003,Cervix Uteri,27010,Texas,48,341,11095953,3.1
,2003,2003,Cervix Uteri,27010,Utah,49,20,1175867,1.7
,2003,2003,Cervix Uteri,27010,Virginia,51,101,3757780,2.7
,2003,2003,Cervix Uteri,27010,Washington,53,63,3065739,2.1
,2003,2003,Cervix Uteri,27010,West Virginia,54,43,925835,4.6
,2003,2003,Cervix Uteri,27010,Wisconsin,55,57,2766901,2.1
,2004,2004,Cervix Uteri,27010,Alabama,01,76,2337857,3.3
,2004,2004,Cervix Uteri,27010,Arizona,04,65,2835606,2.3
,2004,2004,Cervix Uteri,27010,Arkansas,05,56,1403048,4
,2004,2004,Cervix Uteri,27010,California,06,415,17871415,2.3
,2004,2004,Cervix Uteri,27010,Colorado,08,36,2274511,1.6
,2004,2004,Cervix Uteri,27010,Connecticut,09,37,1798078,2.1
,2004,2004,Cervix Uteri,27010,Florida,12,251,8902447,2.8
,2004,2004,Cervix Uteri,27010,Georgia,13,125,4463524,2.8
,2004,2004,Cervix Uteri,27010,Illinois,17,196,6414209,3.1
,2004,2004,Cervix Uteri,27010,Indiana,18,86,3168952,2.7
,2004,2004,Cervix Uteri,27010,Iowa,19,36,1498888,2.4
,2004,2004,Cervix Uteri,27010,Kansas,20,27,1382396,2
,2004,2004,Cervix Uteri,27010,Kentucky,21,45,2112051,2.1
,2004,2004,Cervix Uteri,27010,Louisiana,22,69,2338753,3
,2004,2004,Cervix Uteri,27010,Maine,23,17,671862,2.5
,2004,2004,Cervix Uteri,27010,Maryland,24,77,2870043,2.7
,2004,2004,Cervix Uteri,27010,Massachusetts,25,64,3314634,1.9
,2004,2004,Cervix Uteri,27010,Michigan,26,118,5117929,2.3
,2004,2004,Cervix Uteri,27010,Minnesota,27,52,2564037,2
,2004,2004,Cervix Uteri,27010,Mississippi,28,56,1490115,3.8
,2004,2004,Cervix Uteri,27010,Missouri,29,85,2942685,2.9
,2004,2004,Cervix Uteri,27010,Nebraska,31,23,883984,2.6
,2004,2004,Cervix Uteri,27010,Nevada,32,33,1156586,2.9
,2004,2004,Cervix Uteri,27010,New Hampshire,33,17,653845,2.6
,2004,2004,Cervix Uteri,27010,New Jersey,34,131,4436964,3
,2004,2004,Cervix Uteri,27010,New Mexico,35,27,964738,2.8
,2004,2004,Cervix Uteri,27010,New York,36,270,9913527,2.7
,2004,2004,Cervix Uteri,27010,North Carolina,37,111,4376070,2.5
,2004,2004,Cervix Uteri,27010,Ohio,39,148,5874411,2.5
,2004,2004,Cervix Uteri,27010,Oklahoma,40,46,1784671,2.6
,2004,2004,Cervix Uteri,27010,Oregon,41,29,1800377,1.6
,2004,2004,Cervix Uteri,27010,Pennsylvania,42,169,6390749,2.6
,2004,2004,Cervix Uteri,27010,South Carolina,45,54,2162305,2.5
,2004,2004,Cervix Uteri,27010,Tennessee,47,97,3027931,3.2
,2004,2004,Cervix Uteri,27010,Texas,48,367,11278402,3.3
,2004,2004,Cervix Uteri,27010,Virginia,51,76,3814310,2
,2004,2004,Cervix Uteri,27010,Washington,53,57,3107815,1.8
,2004,2004,Cervix Uteri,27010,West Virginia,54,33,927027,3.6
,2004,2004,Cervix Uteri,27010,Wisconsin,55,63,2782678,2.3
,2005,2005,Cervix Uteri,27010,Alabama,01,92,2354514,3.9
,2005,2005,Cervix Uteri,27010,Arizona,04,67,2930811,2.3
,2005,2005,Cervix Uteri,27010,Arkansas,05,52,1418295,3.7
,2005,2005,Cervix Uteri,27010,California,06,411,17996230,2.3
,2005,2005,Cervix Uteri,27010,Colorado,08,42,2308238,1.8
,2005,2005,Cervix Uteri,27010,Connecticut,09,36,1802068,2
,2005,2005,Cervix Uteri,27010,Florida,12,294,9117950,3.2
,2005,2005,Cervix Uteri,27010,Georgia,13,117,4555263,2.6
,2005,2005,Cervix Uteri,27010,Illinois,17,183,6423831,2.8
,2005,2005,Cervix Uteri,27010,Indiana,18,87,3191481,2.7
,2005,2005,Cervix Uteri,27010,Iowa,19,33,1503019,2.2
,2005,2005,Cervix Uteri,27010,Kansas,20,38,1387958,2.7
,2005,2005,Cervix Uteri,27010,Kentucky,21,70,2129658,3.3
,2005,2005,Cervix Uteri,27010,Louisiana,22,78,2263201,3.4
,2005,2005,Cervix Uteri,27010,Maine,23,16,674104,2.4
,2005,2005,Cervix Uteri,27010,Maryland,24,62,2891761,2.1
,2005,2005,Cervix Uteri,27010,Massachusetts,25,61,3309010,1.8
,2005,2005,Cervix Uteri,27010,Michigan,26,123,5114320,2.4
,2005,2005,Cervix Uteri,27010,Minnesota,27,48,2579546,1.9
,2005,2005,Cervix Uteri,27010,Mississippi,28,59,1482601,4
,2005,2005,Cervix Uteri,27010,Missouri,29,79,2962870,2.7
,2005,2005,Cervix Uteri,27010,Nevada,32,35,1198846,2.9
,2005,2005,Cervix Uteri,27010,New Hampshire,33,17,657932,2.6
,2005,2005,Cervix Uteri,27010,New Jersey,34,132,4443545,3
,2005,2005,Cervix Uteri,27010,New Mexico,35,29,978520,3
,2005,2005,Cervix Uteri,27010,New York,36,284,9887467,2.9
,2005,2005,Cervix Uteri,27010,North Carolina,37,138,4457189,3.1
,2005,2005,Cervix Uteri,27010,Ohio,39,135,5876703,2.3
,2005,2005,Cervix Uteri,27010,Oklahoma,40,50,1796475,2.8
,2005,2005,Cervix Uteri,27010,Oregon,41,40,1823447,2.2
,2005,2005,Cervix Uteri,27010,Pennsylvania,42,158,6405053,2.5
,2005,2005,Cervix Uteri,27010,South Carolina,45,64,2192345,2.9
,2005,2005,Cervix Uteri,27010,Tennessee,47,108,3068439,3.5
,2005,2005,Cervix Uteri,27010,Texas,48,321,11467895,2.8
,2005,2005,Cervix Uteri,27010,Virginia,51,81,3863646,2.1
,2005,2005,Cervix Uteri,27010,Washington,53,63,3145396,2
,2005,2005,Cervix Uteri,27010,West Virginia,54,35,927690,3.8
,2005,2005,Cervix Uteri,27010,Wisconsin,55,61,2797061,2.2
,2005,2005,Cervix Uteri,27010,Puerto Rico,72,50,1986644,2.5
,2006,2006,Cervix Uteri,27010,Alabama,01,72,2385480,3
,2006,2006,Cervix Uteri,27010,Arizona,04,56,3026134,1.9
,2006,2006,Cervix Uteri,27010,Arkansas,05,47,1438428,3.3
,2006,2006,Cervix Uteri,27010,California,06,460,18097471,2.5
,2006,2006,Cervix Uteri,27010,Colorado,08,52,2352960,2.2
,2006,2006,Cervix Uteri,27010,Connecticut,09,38,1807675,2.1
,2006,2006,Cervix Uteri,27010,Florida,12,303,9280080,3.3
,2006,2006,Cervix Uteri,27010,Georgia,13,123,4670606,2.6
,2006,2006,Cervix Uteri,27010,Hawaii,15,18,652351,2.8
,2006,2006,Cervix Uteri,27010,Illinois,17,173,6440022,2.7
,2006,2006,Cervix Uteri,27010,Indiana,18,85,3218203,2.6
,2006,2006,Cervix Uteri,27010,Iowa,19,40,1511124,2.6
,2006,2006,Cervix Uteri,27010,Kansas,20,34,1394092,2.4
,2006,2006,Cervix Uteri,27010,Kentucky,21,53,2149096,2.5
,2006,2006,Cervix Uteri,27010,Louisiana,22,79,2204072,3.6
,2006,2006,Cervix Uteri,27010,Maryland,24,69,2907963,2.4
,2006,2006,Cervix Uteri,27010,Massachusetts,25,50,3311185,1.5
,2006,2006,Cervix Uteri,27010,Michigan,26,101,5106621,2
,2006,2006,Cervix Uteri,27010,Minnesota,27,45,2600951,1.7
,2006,2006,Cervix Uteri,27010,Mississippi,28,73,1496313,4.9
,2006,2006,Cervix Uteri,27010,Missouri,29,92,2987563,3.1
,2006,2006,Cervix Uteri,27010,Nebraska,31,16,894687,1.8
,2006,2006,Cervix Uteri,27010,Nevada,32,41,1243993,3.3
,2006,2006,Cervix Uteri,27010,New Hampshire,33,17,662773,2.6
,2006,2006,Cervix Uteri,27010,New Jersey,34,148,4448099,3.3
,2006,2006,Cervix Uteri,27010,New Mexico,35,29,993969,2.9
,2006,2006,Cervix Uteri,27010,New York,36,281,9871401,2.8
,2006,2006,Cervix Uteri,27010,North Carolina,37,107,4563152,2.3
,2006,2006,Cervix Uteri,27010,Ohio,39,170,5883067,2.9
,2006,2006,Cervix Uteri,27010,Oklahoma,40,56,1818693,3.1
,2006,2006,Cervix Uteri,27010,Oregon,41,37,1853117,2
,2006,2006,Cervix Uteri,27010,Pennsylvania,42,197,6429312,3.1
,2006,2006,Cervix Uteri,27010,South Carolina,45,62,2237655,2.8
,2006,2006,Cervix Uteri,27010,Tennessee,47,79,3121455,2.5
,2006,2006,Cervix Uteri,27010,Texas,48,342,11771243,2.9
,2006,2006,Cervix Uteri,27010,Utah,49,16,1257991,1.3
,2006,2006,Cervix Uteri,27010,Virginia,51,78,3908475,2
,2006,2006,Cervix Uteri,27010,Washington,53,70,3200695,2.2
,2006,2006,Cervix Uteri,27010,West Virginia,54,23,930605,2.5
,2006,2006,Cervix Uteri,27010,Wisconsin,55,56,2812276,2
,2006,2006,Cervix Uteri,27010,Puerto Rico,72,46,1979256,2.3
,2007,2007,Cervix Uteri,27010,Alabama,01,83,2407275,3.4
,2007,2007,Cervix Uteri,27010,Arizona,04,64,3096998,2.1
,2007,2007,Cervix Uteri,27010,Arkansas,05,53,1451358,3.7
,2007,2007,Cervix Uteri,27010,California,06,440,18214926,2.4
,2007,2007,Cervix Uteri,27010,Colorado,08,46,2396433,1.9
,2007,2007,Cervix Uteri,27010,Connecticut,09,29,1811617,1.6
,2007,2007,Cervix Uteri,27010,Florida,12,265,9378587,2.8
,2007,2007,Cervix Uteri,27010,Georgia,13,147,4777572,3.1
,2007,2007,Cervix Uteri,27010,Hawaii,15,16,657185,2.4
,2007,2007,Cervix Uteri,27010,Idaho,16,18,750127,2.4
,2007,2007,Cervix Uteri,27010,Illinois,17,189,6467577,2.9
,2007,2007,Cervix Uteri,27010,Indiana,18,94,3241454,2.9
,2007,2007,Cervix Uteri,27010,Iowa,19,38,1518023,2.5
