state_fips,state_name,sex,age,population
10,Delaware,Male,80+,17048.0
10,Delaware,Male,All,482909.0
11,District of Columbia,All,0-9,76159.0
11,District of Columbia,All,10-19,64579.0
11,District of Columbia,All,20-29,120136.0
11,District of Columbia,All,30-39,138750.0
11,District of Columbia,All,40-49,84138.0
11,District of Columbia,All,50-59,69364.0
11,District of Columbia,All,60-69,60497.0
11,District of Columbia,All,70-79,36807.0
11,District of Columbia,All,80+,20157.0
11,District of Columbia,All,All,670587.0
11,District of Columbia,Female,0-9,38011.0
11,District of Columbia,Female,10-19,32069.0
11,District of Columbia,Female,20-29,65382.0
11,District of Columbia,Female,30-39,71009.0
11,District of Columbia,Female,40-49,41989.0
11,District of Columbia,Female,50-59,33823.0
11,District of Columbia,Female,60-69,32924.0
11,District of Columbia,Female,70-79,21538.0
11,District of Columbia,Female,80+,13045.0
11,District of Columbia,Female,All,349790.0
11,District of Columbia,Male,0-9,38148.0
11,District of Columbia,Male,10-19,32510.0
11,District of Columbia,Male,20-29,54754.0
11,District of Columbia,Male,30-39,67741.0
11,District of Columbia,Male,40-49,42149.0
11,District of Columbia,Male,50-59,35541.0
11,District of Columbia,Male,60-69,27573.0
11,District of Columbia,Male,70-79,15269.0
11,District of Columbia,Male,80+,7112.0
11,District of Columbia,Male,All,320797.0
12,Florida,All,0-9,2244141.0
12,Florida,All,10-19,2507794.0
12,Florida,All,20-29,2659873.0
12,Florida,All,30-39,2749766.0
12,Florida,All,40-49,2642290.0
12,Florida,All,50-59,2868328.0
12,Florida,All,60-69,2765674.0
12,Florida,All,70-79,2050453.0
12,Florida,All,80+,1146210.0
12,Florida,All,All,21634529.0
12,Florida,Female,0-9,1098377.0
12,Florida,Female,10-19,1222233.0
12,Florida,Female,20-29,1303469.0
12,Florida,Female,30-39,1353126.0
12,Florida,Female,40-49,1321664.0
12,Florida,Female,50-59,1460476.0
12,Florida,Female,60-69,1456629.0
12,Florida,Female,70-79,1100323.0
12,Florida,Female,80+,671446.0
12,Florida,Female,All,10987743.0
12,Florida,Male,0-9,1145764.0
12,Florida,Male,10-19,1285561.0
12,Florida,Male,20-29,1356404.0
12,Florida,Male,30-39,1396640.0
12,Florida,Male,40-49,1320626.0
12,Florida,Male,50-59,1407852.0
12,Florida,Male,60-69,1309045.0
12,Florida,Male,70-79,950130.0
12,Florida,Male,80+,474764.0
12,Florida,Male,All,10646786.0
13,Georgia,All,0-9,1315156.0
13,Georgia,All,10-19,1505467.0
13,Georgia,All,20-29,1485937.0
13,Georgia,All,30-39,1450622.0
13,Georgia,All,40-49,1402843.0
13,Georgia,All,50-59,1390207.0
13,Georgia,All,60-69,1158942.0
13,Georgia,All,70-79,695109.0
13,Georgia,All,80+,318042.0
13,Georgia,All,All,10722325.0
13,Georgia,Female,0-9,641914.0
13,Georgia,Female,10-19,737757.0
13,Georgia,Female,20-29,734271.0
13,Georgia,Female,30-39,740349.0
13,Georgia,Female,40-49,717549.0
13,Georgia,Female,50-59,709624.0
13,Georgia,Female,60-69,615483.0
13,Georgia,Female,70-79,383633.0
13,Georgia,Female,80+,197269.0
13,Georgia,Female,All,5477849.0
13,Georgia,Male,0-9,673242.0
13,Georgia,Male,10-19,767710.0
13,Georgia,Male,20-29,751666.0
13,Georgia,Male,30-39,710273.0
13,Georgia,Male,40-49,685294.0
13,Georgia,Male,50-59,680583.0
13,Georgia,Male,60-69,543459.0
13,Georgia,Male,70-79,311476.0
13,Georgia,Male,80+,120773.0
13,Georgia,Male,All,5244476.0
15,Hawaii,All,0-9,169535.0
15,Hawaii,All,10-19,166647.0
15,Hawaii,All,20-29,190382.0
15,Hawaii,All,30-39,199984.0
15,Hawaii,All,40-49,174785.0
15,Hawaii,All,50-59,176129.0
15,Hawaii,All,60-69,181225.0
15,Hawaii,All,70-79,120194.0
15,Hawaii,All,80+,71708.0
15,Hawaii,All,All,1450589.0
15,Hawaii,Female,0-9,81262.0
15,Hawaii,Female,10-19,80643.0
15,Hawaii,Female,20-29,86967.0
15,Hawaii,Female,30-39,96775.0
15,Hawaii,Female,40-49,85882.0
15,Hawaii,Female,50-59,86881.0
15,Hawaii,Female,60-69,93913.0
15,Hawaii,Female,70-79,61937.0
15,Hawaii,Female,80+,44269.0
15,Hawaii,Female,All,718529.0
15,Hawaii,Male,0-9,88273.0
15,Hawaii,Male,10-19,86004.0
15,Hawaii,Male,20-29,103415.0
15,Hawaii,Male,30-39,103209.0
15,Hawaii,Male,40-49,88903.0
15,Hawaii,Male,50-59,89248.0
15,Hawaii,Male,60-69,87312.0
15,Hawaii,Male,70-79,58257.0
15,Hawaii,Male,80+,27439.0
15,Hawaii,Male,All,732060.0
16,Idaho,All,0-9,237976.0
16,Idaho,All,10-19,277984.0
16,Idaho,All,20-29,246427.0
16,Idaho,All,30-39,238884.0
16,Idaho,All,40-49,224832.0
16,Idaho,All,50-59,213297.0
16,Idaho,All,60-69,214001.0
16,Idaho,All,70-79,137827.0
16,Idaho,All,80+,62881.0
16,Idaho,All,All,1854109.0
16,Idaho,Female,0-9,116212.0
16,Idaho,Female,10-19,137542.0
16,Idaho,Female,20-29,118382.0
16,Idaho,Female,30-39,117342.0
16,Idaho,Female,40-49,109424.0
16,Idaho,Female,50-59,105643.0
16,Idaho,Female,60-69,109034.0
16,Idaho,Female,70-79,71074.0
16,Idaho,Female,80+,35728.0
16,Idaho,Female,All,920381.0
16,Idaho,Male,0-9,121764.0
16,Idaho,Male,10-19,140442.0
16,Idaho,Male,20-29,128045.0
16,Idaho,Male,30-39,121542.0
16,Idaho,Male,40-49,115408.0
16,Idaho,Male,50-59,107654.0
