state_fips,state_name,age,population,population_pct,time_period
02,Alaska,40-44,49197.0,7.0,2011
02,Alaska,40-49,103691.0,14.8,2011
02,Alaska,40-64,242069.0,34.5,2011
02,Alaska,45-49,54494.0,7.8,2011
02,Alaska,45-54,110271.0,15.7,2011
02,Alaska,45-64,192872.0,27.5,2011
02,Alaska,50-54,55777.0,8.0,2011
02,Alaska,50-59,105440.0,15.0,2011
02,Alaska,55-59,49663.0,7.1,2011
02,Alaska,55-64,82601.0,11.8,2011
02,Alaska,60-64,32938.0,4.7,2011
02,Alaska,60-69,53269.0,7.6,2011
02,Alaska,65+,52681.0,7.5,2011
02,Alaska,65-69,20331.0,2.9,2011
02,Alaska,65-74,33611.0,4.8,2011
02,Alaska,70-74,13280.0,1.9,2011
02,Alaska,70-79,21912.0,3.1,2011
02,Alaska,75-79,8632.0,1.2,2011
02,Alaska,75-84,14829.0,2.1,2011
02,Alaska,80+,10438.0,1.5,2011
02,Alaska,80-84,6197.0,0.9,2011
02,Alaska,85+,4241.0,0.6,2011
02,Alaska,All,700703.0,100.0,2011
02,Alaska,0-14,150290.0,22.0,2009
02,Alaska,0-17,183165.0,26.8,2009
02,Alaska,0-9,100412.0,14.7,2009
02,Alaska,10-19,104101.0,15.2,2009
02,Alaska,15+,532852.0,78.0,2009
02,Alaska,15-24,113794.0,16.7,2009
02,Alaska,18+,499977.0,73.2,2009
02,Alaska,18-19,21348.0,3.1,2009
02,Alaska,18-24,80919.0,11.8,2009
02,Alaska,18-39,222960.0,32.6,2009
02,Alaska,18-44,274199.0,40.1,2009
02,Alaska,20-24,59571.0,8.7,2009
02,Alaska,20-29,112777.0,16.5,2009
02,Alaska,25-29,53206.0,7.8,2009
02,Alaska,25-34,97084.0,14.2,2009
02,Alaska,30-34,43878.0,6.4,2009
02,Alaska,30-39,88835.0,13.0,2009
02,Alaska,35-39,44957.0,6.6,2009
02,Alaska,35-44,96196.0,14.1,2009
02,Alaska,40-44,51239.0,7.5,2009
02,Alaska,40-49,106034.0,15.5,2009
02,Alaska,40-64,229381.0,33.6,2009
02,Alaska,45-49,54795.0,8.0,2009
02,Alaska,45-54,106926.0,15.7,2009
02,Alaska,45-64,178142.0,26.1,2009
02,Alaska,50-54,52131.0,7.6,2009
02,Alaska,50-59,95366.0,14.0,2009
02,Alaska,55-59,43235.0,6.3,2009
02,Alaska,55-64,71216.0,10.4,2009
02,Alaska,60-64,27981.0,4.1,2009
02,Alaska,60-69,45231.0,6.6,2009
02,Alaska,65+,47636.0,7.0,2009
02,Alaska,65-69,17250.0,2.5,2009
02,Alaska,65-74,29685.0,4.3,2009
02,Alaska,70-74,12435.0,1.8,2009
02,Alaska,70-79,20752.0,3.0,2009
02,Alaska,75-79,8317.0,1.2,2009
02,Alaska,75-84,13707.0,2.0,2009
02,Alaska,80+,9634.0,1.4,2009
02,Alaska,80-84,5390.0,0.8,2009
02,Alaska,85+,4244.0,0.6,2009
02,Alaska,All,683142.0,100.0,2009
02,Alaska,0-14,154935.0,21.8,2012
02,Alaska,0-17,186626.0,26.2,2012
02,Alaska,0-9,103733.0,14.6,2012
02,Alaska,10-19,103361.0,14.5,2012
02,Alaska,15+,556204.0,78.2,2012
02,Alaska,15-24,108661.0,15.3,2012
02,Alaska,18+,524513.0,73.8,2012
02,Alaska,18-19,20468.0,2.9,2012
02,Alaska,18-24,76970.0,10.8,2012
02,Alaska,18-39,224264.0,31.5,2012
02,Alaska,18-44,273068.0,38.4,2012
02,Alaska,20-24,56502.0,7.9,2012
02,Alaska,20-29,111310.0,15.7,2012
02,Alaska,25-29,54808.0,7.7,2012
02,Alaska,25-34,102535.0,14.4,2012
02,Alaska,30-34,47727.0,6.7,2012
02,Alaska,30-39,92486.0,13.0,2012
02,Alaska,35-39,44759.0,6.3,2012
02,Alaska,35-44,93563.0,13.2,2012
02,Alaska,40-44,48804.0,6.9,2012
02,Alaska,40-49,102093.0,14.4,2012
02,Alaska,40-64,244477.0,34.4,2012
02,Alaska,45-49,53289.0,7.5,2012
02,Alaska,45-54,109280.0,15.4,2012
02,Alaska,45-64,195673.0,27.5,2012
02,Alaska,50-54,55991.0,7.9,2012
02,Alaska,50-59,107168.0,15.1,2012
02,Alaska,55-59,51177.0,7.2,2012
02,Alaska,55-64,86393.0,12.1,2012
02,Alaska,60-64,35216.0,5.0,2012
02,Alaska,60-69,56321.0,7.9,2012
02,Alaska,65+,55772.0,7.8,2012
02,Alaska,65-69,21105.0,3.0,2012
02,Alaska,65-74,35849.0,5.0,2012
02,Alaska,70-74,14744.0,2.1,2012
02,Alaska,70-79,23860.0,3.4,2012
02,Alaska,75-79,9116.0,1.3,2012
02,Alaska,75-84,15502.0,2.2,2012
02,Alaska,80+,10807.0,1.5,2012
02,Alaska,80-84,6386.0,0.9,2012
02,Alaska,85+,4421.0,0.6,2012
02,Alaska,All,711139.0,100.0,2012
02,Alaska,0-14,151849.0,22.0,2010
02,Alaska,0-17,185147.0,26.8,2010
02,Alaska,0-9,100841.0,14.6,2010
02,Alaska,10-19,105344.0,15.2,2010
02,Alaska,15+,539340.0,78.0,2010
02,Alaska,15-24,109361.0,15.8,2010
02,Alaska,18+,506042.0,73.2,2010
02,Alaska,18-19,21038.0,3.0,2010
02,Alaska,18-24,76063.0,11.0,2010
02,Alaska,18-39,215454.0,31.2,2010
02,Alaska,18-44,266805.0,38.6,2010
02,Alaska,20-24,55025.0,8.0,2010
02,Alaska,20-29,105411.0,15.3,2010
02,Alaska,25-29,50386.0,7.3,2010
02,Alaska,25-34,94389.0,13.7,2010
02,Alaska,30-34,44003.0,6.4,2010
02,Alaska,30-39,89005.0,12.9,2010
02,Alaska,35-39,45002.0,6.5,2010
02,Alaska,35-44,96353.0,13.9,2010
02,Alaska,40-44,51351.0,7.4,2010
02,Alaska,40-49,107168.0,15.5,2010
02,Alaska,40-64,240434.0,34.8,2010
02,Alaska,45-49,55817.0,8.1,2010
02,Alaska,45-54,110482.0,16.0,2010
02,Alaska,45-64,189083.0,27.4,2010
02,Alaska,50-54,54665.0,7.9,2010
02,Alaska,50-59,102109.0,14.8,2010
02,Alaska,55-59,47444.0,6.9,2010
02,Alaska,55-64,78601.0,11.4,2010
02,Alaska,60-64,31157.0,4.5,2010
02,Alaska,60-69,50384.0,7.3,2010
02,Alaska,65+,50154.0,7.3,2010
02,Alaska,65-69,19227.0,2.8,2010
02,Alaska,65-74,32019.0,4.6,2010
02,Alaska,70-74,12792.0,1.9,2010
02,Alaska,70-79,21071.0,3.0,2010
02,Alaska,75-79,8279.0,1.2,2010
02,Alaska,75-84,14049.0,2.0,2010
02,Alaska,80+,9856.0,1.4,2010
02,Alaska,80-84,5770.0,0.8,2010
02,Alaska,85+,4086.0,0.6,2010
02,Alaska,All,691189.0,100.0,2010
04,Arizona,0-14,1345964.0,20.3,2015
04,Arizona,0-17,1617289.0,24.3,2015
04,Arizona,0-9,889469.0,13.4,2015
04,Arizona,10-19,912838.0,13.7,2015
04,Arizona,15+,5295964.0,79.7,2015
04,Arizona,15-24,934660.0,14.1,2015
04,Arizona,18+,5024639.0,75.7,2015
04,Arizona,18-19,185018.0,2.8,2015
04,Arizona,18-24,663335.0,10.0,2015
04,Arizona,18-39,1958708.0,29.5,2015
04,Arizona,18-44,2382920.0,35.9,2015
04,Arizona,20-24,478317.0,7.2,2015
04,Arizona,20-29,925790.0,13.9,2015
04,Arizona,25-29,447473.0,6.7,2015
04,Arizona,25-34,886173.0,13.3,2015
04,Arizona,30-34,438700.0,6.6,2015
04,Arizona,30-39,847900.0,12.8,2015
04,Arizona,35-39,409200.0,6.2,2015
04,Arizona,35-44,833412.0,12.5,2015
04,Arizona,40-44,424212.0,6.4,2015
04,Arizona,40-49,836123.0,12.6,2015
04,Arizona,40-64,2045856.0,30.8,2015
04,Arizona,45-49,411911.0,6.2,2015
04,Arizona,45-54,840625.0,12.7,2015
04,Arizona,45-64,1621644.0,24.4,2015
04,Arizona,50-54,428714.0,6.5,2015
04,Arizona,50-59,831095.0,12.5,2015
04,Arizona,55-59,402381.0,6.1,2015
04,Arizona,55-64,781019.0,11.8,2015
04,Arizona,60-64,378638.0,5.7,2015
04,Arizona,60-69,708897.0,10.7,2015
04,Arizona,65+,1020075.0,15.4,2015
04,Arizona,65-69,330259.0,5.0,2015
04,Arizona,65-74,588977.0,8.9,2015
04,Arizona,70-74,258718.0,3.9,2015
04,Arizona,70-79,443141.0,6.7,2015
04,Arizona,75-79,184423.0,2.8,2015
04,Arizona,75-84,312535.0,4.7,2015
04,Arizona,80+,246675.0,3.7,2015
04,Arizona,80-84,128112.0,1.9,2015
04,Arizona,85+,118563.0,1.8,2015
04,Arizona,All,6641928.0,100.0,2015
04,Arizona,0-14,1352209.0,21.3,2011
