state_fips,state_name,sex,population,population_pct,time_period
23,Maine,All,1340825.0,100.0,2020
23,Maine,All,1330158.0,100.0,2017
23,Maine,All,1366949.0,100.0,2022
24,Maryland,All,5887776.0,100.0,2014
24,Maryland,All,5785496.0,100.0,2012
24,Maryland,All,5834299.0,100.0,2013
24,Maryland,All,5637418.0,100.0,2009
24,Maryland,All,5736545.0,100.0,2011
24,Maryland,All,5696423.0,100.0,2010
24,Maryland,All,6003435.0,100.0,2018
24,Maryland,All,6148545.0,100.0,2021
24,Maryland,All,5959902.0,100.0,2016
24,Maryland,All,6018848.0,100.0,2019
24,Maryland,All,5930538.0,100.0,2015
24,Maryland,All,6037624.0,100.0,2020
24,Maryland,All,5996079.0,100.0,2017
24,Maryland,All,6161707.0,100.0,2022
25,Massachusetts,All,6657291.0,100.0,2014
25,Massachusetts,All,6560595.0,100.0,2012
25,Massachusetts,All,6605058.0,100.0,2013
25,Massachusetts,All,6511176.0,100.0,2009
25,Massachusetts,All,6512227.0,100.0,2011
25,Massachusetts,All,6477096.0,100.0,2010
25,Massachusetts,All,6830193.0,100.0,2018
25,Massachusetts,All,6991852.0,100.0,2021
25,Massachusetts,All,6742143.0,100.0,2016
25,Massachusetts,All,6850553.0,100.0,2019
25,Massachusetts,All,6705586.0,100.0,2015
25,Massachusetts,All,6873003.0,100.0,2020
25,Massachusetts,All,6789319.0,100.0,2017
25,Massachusetts,All,6984205.0,100.0,2022
26,Michigan,All,9889024.0,100.0,2014
26,Michigan,All,9897264.0,100.0,2012
26,Michigan,All,9886095.0,100.0,2013
26,Michigan,All,10039208.0,100.0,2009
26,Michigan,All,9920621.0,100.0,2011
26,Michigan,All,9952687.0,100.0,2010
26,Michigan,All,9957488.0,100.0,2018
26,Michigan,All,10062512.0,100.0,2021
26,Michigan,All,9909600.0,100.0,2016
26,Michigan,All,9965265.0,100.0,2019
26,Michigan,All,9900571.0,100.0,2015
26,Michigan,All,9973907.0,100.0,2020
26,Michigan,All,9925568.0,100.0,2017
26,Michigan,All,10057921.0,100.0,2022
27,Minnesota,All,5383661.0,100.0,2014
27,Minnesota,All,5313081.0,100.0,2012
27,Minnesota,All,5347740.0,100.0,2013
27,Minnesota,All,5188581.0,100.0,2009
27,Minnesota,All,5278190.0,100.0,2011
27,Minnesota,All,5241914.0,100.0,2010
27,Minnesota,All,5527358.0,100.0,2018
27,Minnesota,All,5670472.0,100.0,2021
27,Minnesota,All,5450868.0,100.0,2016
27,Minnesota,All,5563378.0,100.0,2019
27,Minnesota,All,5419171.0,100.0,2015
27,Minnesota,All,5600166.0,100.0,2020
27,Minnesota,All,5490726.0,100.0,2017
27,Minnesota,All,5695292.0,100.0,2022
28,Mississippi,All,2984345.0,100.0,2014
28,Mississippi,All,2967620.0,100.0,2012
28,Mississippi,All,2976872.0,100.0,2013
28,Mississippi,All,2922240.0,100.0,2009
28,Mississippi,All,2956700.0,100.0,2011
28,Mississippi,All,2941991.0,100.0,2010
28,Mississippi,All,2988762.0,100.0,2018
28,Mississippi,All,2967023.0,100.0,2021
28,Mississippi,All,2989192.0,100.0,2016
28,Mississippi,All,2984418.0,100.0,2019
28,Mississippi,All,2988081.0,100.0,2015
28,Mississippi,All,2981835.0,100.0,2020
28,Mississippi,All,2986220.0,100.0,2017
28,Mississippi,All,2958846.0,100.0,2022
29,Missouri,All,6028076.0,100.0,2014
29,Missouri,All,5982413.0,100.0,2012
29,Missouri,All,6007182.0,100.0,2013
29,Missouri,All,5904382.0,100.0,2009
29,Missouri,All,5955802.0,100.0,2011
29,Missouri,All,5922314.0,100.0,2010
29,Missouri,All,6090062.0,100.0,2018
29,Missouri,All,6141534.0,100.0,2021
29,Missouri,All,6059651.0,100.0,2016
29,Missouri,All,6104910.0,100.0,2019
29,Missouri,All,6045448.0,100.0,2015
29,Missouri,All,6124160.0,100.0,2020
29,Missouri,All,6075300.0,100.0,2017
29,Missouri,All,6154422.0,100.0,2022
30,Montana,All,1006370.0,100.0,2014
30,Montana,All,990785.0,100.0,2012
30,Montana,All,998554.0,100.0,2013
30,Montana,All,956257.0,100.0,2009
30,Montana,All,982854.0,100.0,2011
30,Montana,All,973739.0,100.0,2010
30,Montana,All,1041732.0,100.0,2018
30,Montana,All,1077978.0,100.0,2021
30,Montana,All,1023391.0,100.0,2016
30,Montana,All,1050649.0,100.0,2019
30,Montana,All,1014699.0,100.0,2015
30,Montana,All,1061705.0,100.0,2020
30,Montana,All,1029862.0,100.0,2017
30,Montana,All,1091840.0,100.0,2022
31,Nebraska,All,1855617.0,100.0,2014
31,Nebraska,All,1827306.0,100.0,2012
31,Nebraska,All,1841625.0,100.0,2013
31,Nebraska,All,1772124.0,100.0,2009
31,Nebraska,All,1813061.0,100.0,2011
31,Nebraska,All,1799125.0,100.0,2010
31,Nebraska,All,1904760.0,100.0,2018
31,Nebraska,All,1951480.0,100.0,2021
31,Nebraska,All,1881259.0,100.0,2016
31,Nebraska,All,1914571.0,100.0,2019
31,Nebraska,All,1869365.0,100.0,2015
31,Nebraska,All,1923826.0,100.0,2020
31,Nebraska,All,1893921.0,100.0,2017
31,Nebraska,All,1958939.0,100.0,2022
32,Nevada,All,2761584.0,100.0,2014
32,Nevada,All,2704204.0,100.0,2012
32,Nevada,All,2730066.0,100.0,2013
32,Nevada,All,2545763.0,100.0,2009
32,Nevada,All,2673396.0,100.0,2011
32,Nevada,All,2633331.0,100.0,2010
32,Nevada,All,2922849.0,100.0,2018
32,Nevada,All,3059238.0,100.0,2021
32,Nevada,All,2839172.0,100.0,2016
32,Nevada,All,2972382.0,100.0,2019
32,Nevada,All,2798636.0,100.0,2015
32,Nevada,All,3030281.0,100.0,2020
32,Nevada,All,2887725.0,100.0,2017
32,Nevada,All,3104817.0,100.0,2022
33,New Hampshire,All,1321069.0,100.0,2014
33,New Hampshire,All,1317474.0,100.0,2012
33,New Hampshire,All,1319171.0,100.0,2013
33,New Hampshire,All,1315419.0,100.0,2009
33,New Hampshire,All,1315911.0,100.0,2011
33,New Hampshire,All,1313939.0,100.0,2010
