state_fips,state_name,sex,age,population,time_period
02,Alaska,All,70-79,31912.0,2018
02,Alaska,All,80+,13621.0,2018
02,Alaska,All,All,738516.0,2018
02,Alaska,All,0-9,104061.0,2021
02,Alaska,All,10-19,96728.0,2021
02,Alaska,All,20-29,109998.0,2021
02,Alaska,All,30-39,109750.0,2021
02,Alaska,All,40-49,87470.0,2021
02,Alaska,All,50-59,91615.0,2021
02,Alaska,All,60-69,83288.0,2021
02,Alaska,All,70-79,37819.0,2021
02,Alaska,All,80+,15222.0,2021
02,Alaska,All,All,735951.0,2021
02,Alaska,All,0-9,106091.0,2017
02,Alaska,All,10-19,98474.0,2017
02,Alaska,All,20-29,120514.0,2017
02,Alaska,All,30-39,104586.0,2017
02,Alaska,All,40-49,89380.0,2017
02,Alaska,All,50-59,102473.0,2017
02,Alaska,All,60-69,74039.0,2017
02,Alaska,All,70-79,30175.0,2017
02,Alaska,All,80+,12833.0,2017
02,Alaska,All,All,738565.0,2017
02,Alaska,All,0-9,106741.0,2016
02,Alaska,All,10-19,99926.0,2016
02,Alaska,All,20-29,120674.0,2016
02,Alaska,All,30-39,102008.0,2016
02,Alaska,All,40-49,91539.0,2016
02,Alaska,All,50-59,104569.0,2016
02,Alaska,All,60-69,70473.0,2016
02,Alaska,All,70-79,28422.0,2016
02,Alaska,All,80+,12503.0,2016
02,Alaska,All,All,736855.0,2016
02,Alaska,All,0-9,101021.0,2022
02,Alaska,All,10-19,96682.0,2022
02,Alaska,All,20-29,108834.0,2022
02,Alaska,All,30-39,110529.0,2022
02,Alaska,All,40-49,88341.0,2022
02,Alaska,All,50-59,89719.0,2022
02,Alaska,All,60-69,84044.0,2022
02,Alaska,All,70-79,39766.0,2022
02,Alaska,All,80+,15885.0,2022
02,Alaska,All,All,734821.0,2022
04,Arizona,All,0-9,905908.0,2011
04,Arizona,All,10-19,902393.0,2011
04,Arizona,All,20-29,888645.0,2011
04,Arizona,All,30-39,830303.0,2011
04,Arizona,All,40-49,834293.0,2011
04,Arizona,All,50-59,775602.0,2011
04,Arizona,All,60-69,608612.0,2011
04,Arizona,All,70-79,375904.0,2011
04,Arizona,All,80+,215713.0,2011
04,Arizona,All,All,6337373.0,2011
04,Arizona,All,0-9,903340.0,2010
04,Arizona,All,10-19,892953.0,2010
04,Arizona,All,20-29,879549.0,2010
04,Arizona,All,30-39,826017.0,2010
04,Arizona,All,40-49,832117.0,2010
04,Arizona,All,50-59,758152.0,2010
04,Arizona,All,60-69,579712.0,2010
04,Arizona,All,70-79,365590.0,2010
04,Arizona,All,80+,209386.0,2010
04,Arizona,All,All,6246816.0,2010
04,Arizona,All,0-9,899094.0,2013
04,Arizona,All,10-19,907881.0,2013
04,Arizona,All,20-29,901746.0,2013
04,Arizona,All,30-39,832733.0,2013
04,Arizona,All,40-49,838728.0,2013
04,Arizona,All,50-59,805412.0,2013
04,Arizona,All,60-69,659809.0,2013
04,Arizona,All,70-79,403222.0,2013
04,Arizona,All,80+,231078.0,2013
04,Arizona,All,All,6479703.0,2013
04,Arizona,All,0-9,894568.0,2014
04,Arizona,All,10-19,910714.0,2014
04,Arizona,All,20-29,913628.0,2014
04,Arizona,All,30-39,841117.0,2014
04,Arizona,All,40-49,835692.0,2014
04,Arizona,All,50-59,820691.0,2014
04,Arizona,All,60-69,685005.0,2014
04,Arizona,All,70-79,420468.0,2014
04,Arizona,All,80+,239633.0,2014
04,Arizona,All,All,6561516.0,2014
04,Arizona,All,0-9,889469.0,2015
04,Arizona,All,10-19,912838.0,2015
04,Arizona,All,20-29,925790.0,2015
04,Arizona,All,30-39,847900.0,2015
04,Arizona,All,40-49,836123.0,2015
04,Arizona,All,50-59,831095.0,2015
04,Arizona,All,60-69,708897.0,2015
04,Arizona,All,70-79,443141.0,2015
04,Arizona,All,80+,246675.0,2015
04,Arizona,All,All,6641928.0,2015
04,Arizona,All,0-9,953919.0,2009
04,Arizona,All,10-19,882035.0,2009
04,Arizona,All,20-29,906607.0,2009
04,Arizona,All,30-39,870798.0,2009
04,Arizona,All,40-49,856501.0,2009
04,Arizona,All,50-59,738747.0,2009
04,Arizona,All,60-69,535974.0,2009
04,Arizona,All,70-79,361456.0,2009
04,Arizona,All,80+,218828.0,2009
04,Arizona,All,All,6324865.0,2009
04,Arizona,All,0-9,904096.0,2012
04,Arizona,All,10-19,906052.0,2012
04,Arizona,All,20-29,895806.0,2012
04,Arizona,All,30-39,829536.0,2012
04,Arizona,All,40-49,837653.0,2012
04,Arizona,All,50-59,792122.0,2012
04,Arizona,All,60-69,635179.0,2012
04,Arizona,All,70-79,386034.0,2012
04,Arizona,All,80+,224501.0,2012
04,Arizona,All,All,6410979.0,2012
04,Arizona,All,0-9,876083.0,2020
04,Arizona,All,10-19,960774.0,2020
04,Arizona,All,20-29,1004465.0,2020
04,Arizona,All,30-39,926172.0,2020
04,Arizona,All,40-49,858891.0,2020
04,Arizona,All,50-59,857485.0,2020
04,Arizona,All,60-69,827539.0,2020
04,Arizona,All,70-79,570682.0,2020
04,Arizona,All,80+,291973.0,2020
04,Arizona,All,All,7174064.0,2020
04,Arizona,All,0-9,884538.0,2019
04,Arizona,All,10-19,945084.0,2019
04,Arizona,All,20-29,989506.0,2019
04,Arizona,All,30-39,907227.0,2019
04,Arizona,All,40-49,848131.0,2019
04,Arizona,All,50-59,849886.0,2019
04,Arizona,All,60-69,805376.0,2019
04,Arizona,All,70-79,544130.0,2019
04,Arizona,All,80+,276421.0,2019
04,Arizona,All,All,7050299.0,2019
04,Arizona,All,0-9,888934.0,2018
04,Arizona,All,10-19,935464.0,2018
04,Arizona,All,20-29,976714.0,2018
04,Arizona,All,30-39,891258.0,2018
04,Arizona,All,40-49,841502.0,2018
04,Arizona,All,50-59,845665.0,2018
04,Arizona,All,60-69,784429.0,2018
04,Arizona,All,70-79,515608.0,2018
04,Arizona,All,80+,267111.0,2018
04,Arizona,All,All,6946685.0,2018
04,Arizona,All,0-9,852827.0,2021
04,Arizona,All,10-19,956513.0,2021
04,Arizona,All,20-29,974479.0,2021
04,Arizona,All,30-39,922209.0,2021
04,Arizona,All,40-49,852927.0,2021
04,Arizona,All,50-59,849677.0,2021
04,Arizona,All,60-69,819915.0,2021
04,Arizona,All,70-79,572422.0,2021
04,Arizona,All,80+,278234.0,2021
04,Arizona,All,All,7079203.0,2021
04,Arizona,All,0-9,889642.0,2017
04,Arizona,All,10-19,920632.0,2017
04,Arizona,All,20-29,952510.0,2017
04,Arizona,All,30-39,870474.0,2017
04,Arizona,All,40-49,834521.0,2017
04,Arizona,All,50-59,839479.0,2017
04,Arizona,All,60-69,758925.0,2017
04,Arizona,All,70-79,486411.0,2017
04,Arizona,All,80+,257352.0,2017
04,Arizona,All,All,6809946.0,2017
04,Arizona,All,0-9,892083.0,2016
04,Arizona,All,10-19,912735.0,2016
04,Arizona,All,20-29,939804.0,2016
04,Arizona,All,30-39,857054.0,2016
04,Arizona,All,40-49,833290.0,2016
04,Arizona,All,50-59,834858.0,2016
04,Arizona,All,60-69,737884.0,2016
04,Arizona,All,70-79,466153.0,2016
04,Arizona,All,80+,254716.0,2016
04,Arizona,All,All,6728577.0,2016
04,Arizona,All,0-9,837050.0,2022
04,Arizona,All,10-19,954649.0,2022
04,Arizona,All,20-29,1002986.0,2022
04,Arizona,All,30-39,937684.0,2022
04,Arizona,All,40-49,859861.0,2022
04,Arizona,All,50-59,848059.0,2022
04,Arizona,All,60-69,831071.0,2022
04,Arizona,All,70-79,605361.0,2022
04,Arizona,All,80+,295561.0,2022
04,Arizona,All,All,7172282.0,2022
05,Arkansas,All,0-9,392548.0,2011
05,Arkansas,All,10-19,400185.0,2011
05,Arkansas,All,20-29,391218.0,2011
05,Arkansas,All,30-39,362877.0,2011
05,Arkansas,All,40-49,392093.0,2011
05,Arkansas,All,50-59,379660.0,2011
05,Arkansas,All,60-69,290747.0,2011
05,Arkansas,All,70-79,178971.0,2011
05,Arkansas,All,80+,107629.0,2011
05,Arkansas,All,All,2895928.0,2011
05,Arkansas,All,0-9,391734.0,2010
05,Arkansas,All,10-19,399259.0,2010
05,Arkansas,All,20-29,388549.0,2010
05,Arkansas,All,30-39,360322.0,2010
05,Arkansas,All,40-49,394874.0,2010
05,Arkansas,All,50-59,373992.0,2010
05,Arkansas,All,60-69,281584.0,2010
05,Arkansas,All,70-79,175621.0,2010
05,Arkansas,All,80+,106749.0,2010
05,Arkansas,All,All,2872684.0,2010
05,Arkansas,All,0-9,395603.0,2013
05,Arkansas,All,10-19,397368.0,2013
05,Arkansas,All,20-29,396088.0,2013
05,Arkansas,All,30-39,367331.0,2013
05,Arkansas,All,40-49,385221.0,2013
05,Arkansas,All,50-59,390265.0,2013
05,Arkansas,All,60-69,306827.0,2013
05,Arkansas,All,70-79,185500.0,2013
05,Arkansas,All,80+,109166.0,2013
05,Arkansas,All,All,2933369.0,2013
05,Arkansas,All,0-9,393804.0,2014
05,Arkansas,All,10-19,397445.0,2014
05,Arkansas,All,20-29,397794.0,2014
05,Arkansas,All,30-39,372064.0,2014
05,Arkansas,All,40-49,378301.0,2014
05,Arkansas,All,50-59,391983.0,2014
05,Arkansas,All,60-69,315364.0,2014
05,Arkansas,All,70-79,189876.0,2014
05,Arkansas,All,80+,110405.0,2014
05,Arkansas,All,All,2947036.0,2014
05,Arkansas,All,0-9,392996.0,2015
05,Arkansas,All,10-19,395566.0,2015
05,Arkansas,All,20-29,399668.0,2015
05,Arkansas,All,30-39,372896.0,2015
05,Arkansas,All,40-49,374372.0,2015
05,Arkansas,All,50-59,394722.0,2015
05,Arkansas,All,60-69,321115.0,2015
05,Arkansas,All,70-79,195067.0,2015
05,Arkansas,All,80+,111806.0,2015
05,Arkansas,All,All,2958208.0,2015
05,Arkansas,All,0-9,392714.0,2009
05,Arkansas,All,10-19,389873.0,2009
05,Arkansas,All,20-29,387524.0,2009
05,Arkansas,All,30-39,360627.0,2009
05,Arkansas,All,40-49,395953.0,2009
05,Arkansas,All,50-59,364115.0,2009
05,Arkansas,All,60-69,264207.0,2009
05,Arkansas,All,70-79,173127.0,2009
05,Arkansas,All,80+,110003.0,2009
05,Arkansas,All,All,2838143.0,2009
05,Arkansas,All,0-9,395005.0,2012
05,Arkansas,All,10-19,399179.0,2012
05,Arkansas,All,20-29,393585.0,2012
05,Arkansas,All,30-39,364202.0,2012
05,Arkansas,All,40-49,389549.0,2012
05,Arkansas,All,50-59,385140.0,2012
05,Arkansas,All,60-69,298783.0,2012
05,Arkansas,All,70-79,183495.0,2012
05,Arkansas,All,80+,107434.0,2012
05,Arkansas,All,All,2916372.0,2012
05,Arkansas,All,0-9,382776.0,2020
05,Arkansas,All,10-19,401243.0,2020
05,Arkansas,All,20-29,404690.0,2020
05,Arkansas,All,30-39,380807.0,2020
05,Arkansas,All,40-49,363986.0,2020
05,Arkansas,All,50-59,379989.0,2020
05,Arkansas,All,60-69,355308.0,2020
05,Arkansas,All,70-79,224293.0,2020
05,Arkansas,All,80+,118781.0,2020
05,Arkansas,All,All,3011873.0,2020
05,Arkansas,All,0-9,386510.0,2019
05,Arkansas,All,10-19,398909.0,2019
05,Arkansas,All,20-29,404312.0,2019
05,Arkansas,All,30-39,377654.0,2019
05,Arkansas,All,40-49,362653.0,2019
05,Arkansas,All,50-59,384998.0,2019
05,Arkansas,All,60-69,347810.0,2019
05,Arkansas,All,70-79,220042.0,2019
05,Arkansas,All,80+,116482.0,2019
05,Arkansas,All,All,2999370.0,2019
05,Arkansas,All,0-9,388095.0,2018
05,Arkansas,All,10-19,398863.0,2018
05,Arkansas,All,20-29,404644.0,2018
05,Arkansas,All,30-39,377310.0,2018
05,Arkansas,All,40-49,362549.0,2018
05,Arkansas,All,50-59,389746.0,2018
05,Arkansas,All,60-69,342833.0,2018
05,Arkansas,All,70-79,211530.0,2018
05,Arkansas,All,80+,115101.0,2018
05,Arkansas,All,All,2990671.0,2018
05,Arkansas,All,0-9,380228.0,2021
05,Arkansas,All,10-19,406778.0,2021
05,Arkansas,All,20-29,395081.0,2021
05,Arkansas,All,30-39,384775.0,2021
05,Arkansas,All,40-49,365190.0,2021
05,Arkansas,All,50-59,379154.0,2021
05,Arkansas,All,60-69,355182.0,2021
05,Arkansas,All,70-79,227944.0,2021
05,Arkansas,All,80+,111977.0,2021
05,Arkansas,All,All,3006309.0,2021
05,Arkansas,All,0-9,389771.0,2017
05,Arkansas,All,10-19,397002.0,2017
05,Arkansas,All,20-29,402266.0,2017
05,Arkansas,All,30-39,374405.0,2017
05,Arkansas,All,40-49,366843.0,2017
05,Arkansas,All,50-59,392105.0,2017
05,Arkansas,All,60-69,337130.0,2017
05,Arkansas,All,70-79,204384.0,2017
05,Arkansas,All,80+,114038.0,2017
05,Arkansas,All,All,2977944.0,2017
05,Arkansas,All,0-9,392177.0,2016
05,Arkansas,All,10-19,397185.0,2016
05,Arkansas,All,20-29,399698.0,2016
05,Arkansas,All,30-39,372998.0,2016
05,Arkansas,All,40-49,370157.0,2016
05,Arkansas,All,50-59,395070.0,2016
05,Arkansas,All,60-69,329734.0,2016
05,Arkansas,All,70-79,197985.0,2016
05,Arkansas,All,80+,113468.0,2016
05,Arkansas,All,All,2968472.0,2016
05,Arkansas,All,0-9,375137.0,2022
05,Arkansas,All,10-19,406467.0,2022
05,Arkansas,All,20-29,400796.0,2022
05,Arkansas,All,30-39,387024.0,2022
05,Arkansas,All,40-49,365471.0,2022
05,Arkansas,All,50-59,373812.0,2022
05,Arkansas,All,60-69,357925.0,2022
05,Arkansas,All,70-79,234334.0,2022
05,Arkansas,All,80+,117703.0,2022
05,Arkansas,All,All,3018669.0,2022
06,California,All,0-9,5033174.0,2011
06,California,All,10-19,5395753.0,2011
06,California,All,20-29,5480009.0,2011
06,California,All,30-39,5151172.0,2011
06,California,All,40-49,5312599.0,2011
06,California,All,50-59,4665551.0,2011
06,California,All,60-69,3019404.0,2011
06,California,All,70-79,1720778.0,2011
06,California,All,80+,1190760.0,2011
06,California,All,All,36969200.0,2011
06,California,All,0-9,5028508.0,2010
06,California,All,10-19,5412348.0,2010
06,California,All,20-29,5413588.0,2010
06,California,All,30-39,5160633.0,2010
06,California,All,40-49,5330312.0,2010
06,California,All,50-59,4559748.0,2010
06,California,All,60-69,2873475.0,2010
06,California,All,70-79,1694022.0,2010
06,California,All,80+,1164656.0,2010
06,California,All,All,36637290.0,2010
06,California,All,0-9,5045680.0,2013
06,California,All,10-19,5314852.0,2013
06,California,All,20-29,5623633.0,2013
06,California,All,30-39,5194412.0,2013
06,California,All,40-49,5263293.0,2013
06,California,All,50-59,4856382.0,2013
06,California,All,60-69,3317594.0,2013
06,California,All,70-79,1800719.0,2013
06,California,All,80+,1242616.0,2013
06,California,All,All,37659181.0,2013
06,California,All,0-9,5052494.0,2014
06,California,All,10-19,5261347.0,2014
06,California,All,20-29,5702600.0,2014
06,California,All,30-39,5254123.0,2014
06,California,All,40-49,5246493.0,2014
06,California,All,50-59,4948740.0,2014
06,California,All,60-69,3466828.0,2014
06,California,All,70-79,1866520.0,2014
06,California,All,80+,1267775.0,2014
06,California,All,All,38066920.0,2014
06,California,All,0-9,5047007.0,2015
06,California,All,10-19,5210431.0,2015
06,California,All,20-29,5772241.0,2015
06,California,All,30-39,5307976.0,2015
06,California,All,40-49,5228465.0,2015
06,California,All,50-59,5021229.0,2015
06,California,All,60-69,3605535.0,2015
06,California,All,70-79,1938580.0,2015
06,California,All,80+,1290000.0,2015
06,California,All,All,38421464.0,2015
06,California,All,0-9,5176298.0,2009
06,California,All,10-19,5300468.0,2009
06,California,All,20-29,5334954.0,2009
06,California,All,30-39,5221679.0,2009
06,California,All,40-49,5351842.0,2009
06,California,All,50-59,4398416.0,2009
06,California,All,60-69,2695007.0,2009
06,California,All,70-79,1675261.0,2009
06,California,All,80+,1154602.0,2009
06,California,All,All,36308527.0,2009
06,California,All,0-9,5047595.0,2012
06,California,All,10-19,5365968.0,2012
06,California,All,20-29,5549082.0,2012
06,California,All,30-39,5163953.0,2012
06,California,All,40-49,5291274.0,2012
06,California,All,50-59,4766758.0,2012
06,California,All,60-69,3166849.0,2012
06,California,All,70-79,1754435.0,2012
06,California,All,80+,1219154.0,2012
06,California,All,All,37325068.0,2012
06,California,All,0-9,4840729.0,2020
06,California,All,10-19,5145515.0,2020
06,California,All,20-29,5778672.0,2020
06,California,All,30-39,5634057.0,2020
06,California,All,40-49,5060920.0,2020
06,California,All,50-59,4987445.0,2020
06,California,All,60-69,4119575.0,2020
06,California,All,70-79,2356615.0,2020
06,California,All,80+,1422495.0,2020
06,California,All,All,39346023.0,2020
06,California,All,0-9,4919754.0,2019
06,California,All,10-19,5140633.0,2019
06,California,All,20-29,5830059.0,2019
06,California,All,30-39,5570748.0,2019
06,California,All,40-49,5088145.0,2019
06,California,All,50-59,5011016.0,2019
06,California,All,60-69,4062419.0,2019
06,California,All,70-79,2285972.0,2019
06,California,All,80+,1374751.0,2019
06,California,All,All,39283497.0,2019
06,California,All,0-9,4979998.0,2018
06,California,All,10-19,5140247.0,2018
06,California,All,20-29,5852294.0,2018
06,California,All,30-39,5506378.0,2018
06,California,All,40-49,5117906.0,2018
06,California,All,50-59,5044003.0,2018
06,California,All,60-69,3970746.0,2018
06,California,All,70-79,2188051.0,2018
06,California,All,80+,1349137.0,2018
06,California,All,All,39148760.0,2018
06,California,All,0-9,4784448.0,2021
06,California,All,10-19,5246986.0,2021
06,California,All,20-29,5619059.0,2021
06,California,All,30-39,5722091.0,2021
06,California,All,40-49,5100514.0,2021
06,California,All,50-59,5013433.0,2021
06,California,All,60-69,4189242.0,2021
06,California,All,70-79,2413936.0,2021
06,California,All,80+,1365644.0,2021
06,California,All,All,39455353.0,2021
06,California,All,0-9,5019776.0,2017
06,California,All,10-19,5152529.0,2017
06,California,All,20-29,5849504.0,2017
06,California,All,30-39,5442731.0,2017
06,California,All,40-49,5160830.0,2017
