Notes,Year,Year Code,Leading Cancer Sites,Leading Cancer Sites Code,States and Puerto Rico,States and Puerto Rico Code,Age Groups,Age Groups Code,Count,Population,Crude Rate
,1999,1999,Breast,26000,District of Columbia,11,35-39 years,35-39,19,46507,40.9
,1999,1999,Breast,26000,District of Columbia,11,40-44 years,40-44,29,41649,69.6
,1999,1999,Breast,26000,District of Columbia,11,45-49 years,45-49,44,38725,113.6
,1999,1999,Breast,26000,District of Columbia,11,50-54 years,50-54,61,34514,176.7
,1999,1999,Breast,26000,District of Columbia,11,55-59 years,55-59,55,27011,203.6
,1999,1999,Breast,26000,District of Columbia,11,60-64 years ,60-64,44,21698,202.8
,1999,1999,Breast,26000,District of Columbia,11,65-69 years,65-69,41,18882,217.1
,1999,1999,Breast,26000,District of Columbia,11,70-74 years,70-74,54,17679,305.4
,1999,1999,Breast,26000,District of Columbia,11,75-79 years,75-79,32,14902,214.7
,1999,1999,Breast,26000,District of Columbia,11,80-84 years,80-84,31,9928,312.2
,1999,1999,Breast,26000,District of Columbia,11,85+ years,85+,25,8762,285.3
,1999,1999,Breast,26000,Florida,12,25-29 years,25-29,38,994333,3.8
,1999,1999,Breast,26000,Florida,12,30-34 years,30-34,164,1098372,14.9
,1999,1999,Breast,26000,Florida,12,35-39 years,35-39,384,1260288,30.5
,1999,1999,Breast,26000,Florida,12,40-44 years,40-44,793,1196187,66.3
,1999,1999,Breast,26000,Florida,12,45-49 years,45-49,1087,1049792,103.5
,1999,1999,Breast,26000,Florida,12,50-54 years,50-54,1251,942150,132.8
,1999,1999,Breast,26000,Florida,12,55-59 years,55-59,1302,789129,165
,1999,1999,Breast,26000,Florida,12,60-64 years ,60-64,1431,720321,198.7
,1999,1999,Breast,26000,Florida,12,65-69 years,65-69,1551,732184,211.8
,1999,1999,Breast,26000,Florida,12,70-74 years,70-74,1883,730681,257.7
,1999,1999,Breast,26000,Florida,12,75-79 years,75-79,1761,611578,287.9
,1999,1999,Breast,26000,Florida,12,80-84 years,80-84,1228,400752,306.4
,1999,1999,Breast,26000,Florida,12,85+ years,85+,817,322911,253
,1999,1999,Breast,26000,Georgia,13,25-29 years,25-29,21,638268,3.3
,1999,1999,Breast,26000,Georgia,13,30-34 years,30-34,82,656082,12.5
,1999,1999,Breast,26000,Georgia,13,35-39 years,35-39,204,693333,29.4
,1999,1999,Breast,26000,Georgia,13,40-44 years,40-44,362,642115,56.4
,1999,1999,Breast,26000,Georgia,13,45-49 years,45-49,525,559425,93.8
,1999,1999,Breast,26000,Georgia,13,50-54 years,50-54,614,487139,126
,1999,1999,Breast,26000,Georgia,13,55-59 years,55-59,571,362385,157.6
,1999,1999,Breast,26000,Georgia,13,60-64 years ,60-64,502,280449,179
,1999,1999,Breast,26000,Georgia,13,65-69 years,65-69,523,233760,223.7
,1999,1999,Breast,26000,Georgia,13,70-74 years,70-74,496,197516,251.1
,1999,1999,Breast,26000,Georgia,13,75-79 years,75-79,388,157765,245.9
,1999,1999,Breast,26000,Georgia,13,80-84 years,80-84,271,103380,262.1
,1999,1999,Breast,26000,Georgia,13,85+ years,85+,213,86409,246.5
,1999,1999,Breast,26000,Hawaii,15,35-39 years,35-39,29,97285,29.8
,1999,1999,Breast,26000,Hawaii,15,40-44 years,40-44,70,95723,73.1
,1999,1999,Breast,26000,Hawaii,15,45-49 years,45-49,98,89327,109.7
,1999,1999,Breast,26000,Hawaii,15,50-54 years,50-54,103,77930,132.2
,1999,1999,Breast,26000,Hawaii,15,55-59 years,55-59,107,57934,184.7
,1999,1999,Breast,26000,Hawaii,15,60-64 years ,60-64,86,45708,188.2
,1999,1999,Breast,26000,Hawaii,15,65-69 years,65-69,103,43010,239.5
,1999,1999,Breast,26000,Hawaii,15,70-74 years,70-74,128,42452,301.5
,1999,1999,Breast,26000,Hawaii,15,75-79 years,75-79,74,34556,214.1
,1999,1999,Breast,26000,Hawaii,15,80-84 years,80-84,36,21518,167.3
,1999,1999,Breast,26000,Hawaii,15,85+ years,85+,36,16908,212.9
,1999,1999,Breast,26000,Idaho,16,35-39 years,35-39,21,95958,21.9
,1999,1999,Breast,26000,Idaho,16,40-44 years,40-44,54,97538,55.4
,1999,1999,Breast,26000,Idaho,16,45-49 years,45-49,83,90083,92.1
,1999,1999,Breast,26000,Idaho,16,50-54 years,50-54,92,74530,123.4
,1999,1999,Breast,26000,Idaho,16,55-59 years,55-59,95,58108,163.5
,1999,1999,Breast,26000,Idaho,16,60-64 years ,60-64,85,46544,182.6
,1999,1999,Breast,26000,Idaho,16,65-69 years,65-69,95,39821,238.6
,1999,1999,Breast,26000,Idaho,16,70-74 years,70-74,87,35543,244.8
,1999,1999,Breast,26000,Idaho,16,75-79 years,75-79,78,30157,258.6
,1999,1999,Breast,26000,Idaho,16,80-84 years,80-84,62,21095,293.9
,1999,1999,Breast,26000,Idaho,16,85+ years,85+,57,17544,324.9
,1999,1999,Breast,26000,Illinois,17,25-29 years,25-29,38,897285,4.2
,1999,1999,Breast,26000,Illinois,17,30-34 years,30-34,123,928426,13.2
,1999,1999,Breast,26000,Illinois,17,35-39 years,35-39,329,1009780,32.6
,1999,1999,Breast,26000,Illinois,17,40-44 years,40-44,619,977421,63.3
,1999,1999,Breast,26000,Illinois,17,45-49 years,45-49,876,857556,102.2
,1999,1999,Breast,26000,Illinois,17,50-54 years,50-54,1022,726545,140.7
,1999,1999,Breast,26000,Illinois,17,55-59 years,55-59,1020,567540,179.7
,1999,1999,Breast,26000,Illinois,17,60-64 years ,60-64,912,461748,197.5
,1999,1999,Breast,26000,Illinois,17,65-69 years,65-69,943,400609,235.4
,1999,1999,Breast,26000,Illinois,17,70-74 years,70-74,1015,377467,268.9
,1999,1999,Breast,26000,Illinois,17,75-79 years,75-79,940,315497,297.9
,1999,1999,Breast,26000,Illinois,17,80-84 years,80-84,668,217871,306.6
,1999,1999,Breast,26000,Illinois,17,85+ years,85+,625,188400,331.7
,1999,1999,Breast,26000,Indiana,18,25-29 years,25-29,20,417385,4.8
,1999,1999,Breast,26000,Indiana,18,30-34 years,30-34,66,419558,15.7
,1999,1999,Breast,26000,Indiana,18,35-39 years,35-39,182,482834,37.7
,1999,1999,Breast,26000,Indiana,18,40-44 years,40-44,259,479433,54
,1999,1999,Breast,26000,Indiana,18,45-49 years,45-49,401,429304,93.4
,1999,1999,Breast,26000,Indiana,18,50-54 years,50-54,477,366436,130.2
,1999,1999,Breast,26000,Indiana,18,55-59 years,55-59,454,288461,157.4
,1999,1999,Breast,26000,Indiana,18,60-64 years ,60-64,428,234501,182.5
,1999,1999,Breast,26000,Indiana,18,65-69 years,65-69,500,204460,244.5
