Notes,Year,Year Code,Leading Cancer Sites,Leading Cancer Sites Code,States,States Code,Count,Population,Crude Rate
,2003,2003,Breast,26000,Maine,23,1085,1306513,83
,2003,2003,Breast,26000,Maryland,24,4174,5496269,75.9
,2003,2003,Breast,26000,Massachusetts,25,4898,6422565,76.3
,2003,2003,Breast,26000,Michigan,26,7057,10041152,70.3
,2003,2003,Breast,26000,Minnesota,27,3425,5053572,67.8
,2003,2003,Breast,26000,Mississippi,28,1690,2868312,58.9
,2003,2003,Breast,26000,Missouri,29,4080,5709403,71.5
,2003,2003,Breast,26000,Montana,30,700,919630,76.1
,2003,2003,Breast,26000,Nebraska,31,1196,1738643,68.8
,2003,2003,Breast,26000,Nevada,32,1294,2248850,57.5
,2003,2003,Breast,26000,New Hampshire,33,912,1279840,71.3
,2003,2003,Breast,26000,New Jersey,34,6444,8601402,74.9
,2003,2003,Breast,26000,New Mexico,35,1080,1877574,57.5
,2003,2003,Breast,26000,New York,36,14147,19175939,73.8
,2003,2003,Breast,26000,North Carolina,37,5567,8422501,66.1
,2003,2003,Breast,26000,North Dakota,38,452,638817,70.8
,2003,2003,Breast,26000,Ohio,39,8131,11434788,71.1
,2003,2003,Breast,26000,Oklahoma,40,2630,3504892,75
,2003,2003,Breast,26000,Oregon,41,2634,3547376,74.3
,2003,2003,Breast,26000,Pennsylvania,42,9647,12374658,78
,2003,2003,Breast,26000,Rhode Island,44,790,1071342,73.7
,2003,2003,Breast,26000,South Carolina,45,2913,4150297,70.2
,2003,2003,Breast,26000,South Dakota,46,558,763729,73.1
,2003,2003,Breast,26000,Tennessee,47,3860,5847812,66
,2003,2003,Breast,26000,Texas,48,12503,22030931,56.8
,2003,2003,Breast,26000,Utah,49,1029,2360137,43.6
,2003,2003,Breast,26000,Vermont,50,477,617858,77.2
,2003,2003,Breast,26000,Virginia,51,4881,7366977,66.3
,2003,2003,Breast,26000,Washington,53,4468,6104115,73.2
,2003,2003,Breast,26000,West Virginia,54,1349,1812295,74.4
,2003,2003,Breast,26000,Wisconsin,55,3875,5479203,70.7
,2003,2003,Breast,26000,Wyoming,56,342,503453,67.9
,2004,2004,Breast,26000,Alabama,1,2957,4530729,65.3
,2004,2004,Breast,26000,Alaska,2,342,659286,51.9
,2004,2004,Breast,26000,Arizona,4,3519,5652404,62.3
,2004,2004,Breast,26000,Arkansas,5,1758,2749686,63.9
,2004,2004,Breast,26000,California,6,21489,35574576,60.4
,2004,2004,Breast,26000,Colorado,8,2695,4575013,58.9
,2004,2004,Breast,26000,Connecticut,9,2858,3496094,81.7
,2004,2004,Breast,26000,Delaware,10,573,830803,69
,2004,2004,Breast,26000,District of Columbia,11,406,567754,71.5
,2004,2004,Breast,26000,Florida,12,12932,17415318,74.3
,2004,2004,Breast,26000,Georgia,13,5426,8769252,61.9
,2004,2004,Breast,26000,Hawaii,15,889,1273569,69.8
