AGE_GROUP,STATE_NAME,STATE_FIPS,BENE_N,TOTAL_N,PER_100K
_75-79,Connecticut,9,1043,85474,1220.2541123616538
_75-79,Delaware,10,410,34655,1183.0904631366325
_75-79,"District of Columbia",11,201,11639,1726.9524873270898
_75-79,Florida,12,7966,556837,1430.5802236561149
_75-79,Georgia,13,2880,207482,1388.072218312914
_75-79,Hawaii,15,317,26783,1183.586603442482
_75-79,Idaho,16,607,41983,1445.8233094347713
_75-79,Illinois,17,5280,322251,1638.4743569453624
_75-79,Indiana,18,2512,162310,1547.655720534779
_75-79,Iowa,19,1334,86609,1540.2556316318166
_75-79,Kansas,20,1472,74271,1981.9310363398904
_75-79,Kentucky,21,1830,110862,1650.7008713535747
_75-79,Louisiana,22,1568,96360,1627.231216272312
_75-79,Maine,23,743,41134,1806.2916322263823
_75-79,Maryland,24,2359,153636,1535.4474211773284
_75-79,Massachusetts,25,3227,170096,1897.1639544727682
_75-79,Michigan,26,4167,252843,1648.058281225899
_75-79,Minnesota,27,1635,96510,1694.1249611439227
_75-79,Mississippi,28,1251,81799,1529.3585496155208
_75-79,Missouri,29,2175,151102,1439.4250241558682
_75-79,Montana,30,386,33002,1169.6260832676808
_75-79,Nebraska,31,739,49878,1481.615140943903
_75-79,Nevada,32,1054,68304,1543.101428906067
_75-79,"New Hampshire",33,839,45152,1858.1679659815734
_75-79,"New Jersey",34,3350,229780,1457.9162677343545
_75-79,"New Mexico",35,764,49199,1552.8770909977845
_75-79,"New York",36,5710,374049,1526.537966950854
_75-79,"North Carolina",37,3451,271070,1273.1028885527724
_75-79,"North Dakota",38,521,18843,2764.9525022554794
_75-79,Ohio,39,4689,249107,1882.323660113927
_75-79,Oklahoma,40,2098,102300,2050.830889540567
_75-79,Oregon,41,1317,87404,1506.7960276417555
_75-79,Pennsylvania,42,4188,266705,1570.2742730732457
_75-79,"Rhode Island",44,421,22277,1889.841540602415
_75-79,"South Carolina",45,2080,154561,1345.7469866266392
_75-79,"South Dakota",46,413,25097,1645.6150137466632
_75-79,Tennessee,47,2845,162132,1754.743048873757
_75-79,Texas,48,7505,535238,1402.1799648007054
_75-79,Utah,49,514,46245,1111.4715104335603
_75-79,Vermont,50,489,22350,2187.9194630872485
_75-79,Virginia,51,3442,214667,1603.4136592955601
_75-79,Washington,53,2522,166971,1510.4419330302867
_75-79,"West Virginia",54,1235,49643,2487.762625143525
_75-79,Wisconsin,55,1863,127851,1457.1649811108243
_75-79,Wyoming,56,248,17388,1426.2709914883828
_80-84,Alabama,1,1625,83498,1946.1543989077582
_80-84,Alaska,2,203,8392,2418.970448045758
_80-84,Arizona,4,1739,101678,1710.3011467574106
_80-84,Arkansas,5,1219,56617,2153.0635674797322
_80-84,California,6,7932,422674,1876.6235917042447
_80-84,Colorado,8,873,59613,1464.4456746011776
_80-84,Connecticut,9,1062,59949,1771.5057799129258
_80-84,Delaware,10,330,21216,1555.4298642533936
_80-84,"District of Columbia",11,169,7671,2203.1025941858948
_80-84,Florida,12,7367,369625,1993.1011159959419
_80-84,Georgia,13,2466,130567,1888.6855024623374
_80-84,Hawaii,15,240,15864,1512.8593040847202
_80-84,Idaho,16,494,26755,1846.3838534853296
_80-84,Illinois,17,4600,217131,2118.5367358875515
_80-84,Indiana,18,2177,109360,1990.67300658376
_80-84,Iowa,19,1274,62281,2045.5676691125705
_80-84,Kansas,20,1314,50999,2576.5211082570245
_80-84,Kentucky,21,1708,73848,2312.8588451955366
_80-84,Louisiana,22,1298,63078,2057.7697453945907
_80-84,Maine,23,731,28108,2600.683079550306
_80-84,Maryland,24,1943,101240,1919.2018964836032
_80-84,Massachusetts,25,2880,112011,2571.1760452098456
_80-84,Michigan,26,3581,174819,2048.4043496416293
_80-84,Minnesota,27,1532,70646,2168.558729439742
_80-84,Mississippi,28,1000,54442,1836.8171632195733
_80-84,Missouri,29,1863,99407,1874.1134930135704
_80-84,Montana,30,357,21177,1685.7911885536196
_80-84,Nebraska,31,674,34697,1942.5310545580307
_80-84,Nevada,32,811,39337,2061.6722169967206
_80-84,"New Hampshire",33,705,28119,2507.2015363277496
_80-84,"New Jersey",34,2939,156795,1874.4220160081634
_80-84,"New Mexico",35,662,30564,2165.946865593509
_80-84,"New York",36,5715,260958,2190.007587427862
_80-84,"North Carolina",37,2860,167553,1706.9225856893042
_80-84,"North Dakota",38,463,13231,3499.357569344721
_80-84,Ohio,39,4100,168432,2434.216775909566
_80-84,Oklahoma,40,1726,66728,2586.62030931543
_80-84,Oregon,41,1070,52952,2020.6979906330262
_80-84,Pennsylvania,42,3603,175798,2049.5113710053583
_80-84,"Rhode Island",44,383,13241,2892.530775621177
_80-84,"South Carolina",45,1614,92655,1741.9459284442287
_80-84,"South Dakota",46,384,16979,2261.617291948878
_80-84,Tennessee,47,2407,101937,2361.262348313174
_80-84,Texas,48,6426,344552,1865.0305324014953
_80-84,Utah,49,461,30611,1505.9945771128025
_80-84,Vermont,50,424,13991,3030.5196197555574
_80-84,Virginia,51,2904,140538,2066.3450454681297
_80-84,Washington,53,2144,108881,1969.122252734637
_80-84,"West Virginia",54,1070,33245,3218.5291021206194
_80-84,Wisconsin,55,1631,83819,1945.8595306553407
_80-84,Wyoming,56,214,11187,1912.9346562974881
_85+,Alabama,1,2080,80668,2578.469777359052
_85+,Alaska,2,261,7167,3641.6910841356216
_85+,Arizona,4,2245,90093,2491.8695126147427
_85+,Arkansas,5,1569,55347,2834.841996856198
_85+,California,6,13448,465981,2885.954577547153
_85+,Colorado,8,1222,60498,2019.90148434659
_85+,Connecticut,9,2140,78609,2722.3345927311125
_85+,Delaware,10,454,20909,2171.3137883208187
_85+,"District of Columbia",11,287,9222,3112.1231836911734
_85+,Florida,12,12012,392486,3060.491329627044
_85+,Georgia,13,3186,125247,2543.7735035569713
_85+,Hawaii,15,470,20899,2248.9114311689555
_85+,Idaho,16,694,25580,2713.0570758405006
_85+,Illinois,17,7594,242503,3131.507651451735
_85+,Indiana,18,3166,118037,2682.209815566305
_85+,Iowa,19,2062,73997,2786.5994567347325
_85+,Kansas,20,2223,60133,3696.8054146641607
_85+,Kentucky,21,2192,72322,3030.889632476978
_85+,Louisiana,22,1863,63459,2935.753793788115
_85+,Maine,23,1282,31639,4051.9611871424504
_85+,Maryland,24,2854,110822,2575.300933027738
_85+,Massachusetts,25,5053,133728,3778.565446279014
_85+,Michigan,26,5934,194716,3047.515355697529
_85+,Minnesota,27,2442,86757,2814.758463294028
_85+,Mississippi,28,1235,52010,2374.5433570467217
_85+,Missouri,29,2780,103461,2687.002831984999
_85+,Montana,30,421,21309,1975.6910225726217
_85+,Nebraska,31,1131,41034,2756.2509138762975
_85+,Nevada,32,890,31980,2782.989368355222
_85+,"New Hampshire",33,1080,30730,3514.480963228116
_85+,"New Jersey",34,5435,186346,2916.6174750195873
_85+,"New Mexico",35,849,29852,2844.03055071687
_85+,"New York",36,10612,328337,3232.045124369169
_85+,"North Carolina",37,3894,168972,2304.523826432782
_85+,"North Dakota",38,793,17006,4663.060096436552
_85+,Ohio,39,5976,181717,3288.6301226632622
_85+,Oklahoma,40,2271,65909,3445.659925048172
_85+,Oregon,41,1604,51040,3142.6332288401254
_85+,Pennsylvania,42,6004,214061,2804.807975296761
_85+,"Rhode Island",44,708,16045,4412.589591773139
_85+,"South Carolina",45,2172,86982,2497.0683589708215
_85+,"South Dakota",46,617,20413,3022.5836476755007
_85+,Tennessee,47,3129,100429,3115.633930438419
_85+,Texas,48,9459,347256,2723.927016379847
_85+,Utah,49,572,30931,1849.2774239436164
_85+,Vermont,50,648,15334,4225.903221599061
_85+,Virginia,51,4281,146286,2926.4591280095156
_85+,Washington,53,3108,111306,2792.3023017627083
_85+,"West Virginia",54,1403,33106,4237.902495016009
_85+,Wisconsin,55,2708,96637,2802.2393079255357
_85+,Wyoming,56,272,10860,2504.6040515653776
