Notes,Year,Year Code,Leading Cancer Sites,Leading Cancer Sites Code,States,States Code,Age Groups,Age Groups Code,Count,Population,Crude Rate
,1999,1999,Cervix Uteri,27010,Minnesota,27,40-44 years,40-44,19,200812,9.5
,1999,1999,Cervix Uteri,27010,Minnesota,27,45-49 years,45-49,21,176504,11.9
,1999,1999,Cervix Uteri,27010,Minnesota,27,55-59 years,55-59,16,111416,14.4
,1999,1999,Cervix Uteri,27010,Missouri,29,30-34 years,30-34,26,190122,13.7
,1999,1999,Cervix Uteri,27010,Missouri,29,35-39 years,35-39,29,226350,12.8
,1999,1999,Cervix Uteri,27010,Missouri,29,40-44 years,40-44,36,221817,16.2
,1999,1999,Cervix Uteri,27010,Missouri,29,45-49 years,45-49,37,197689,18.7
,1999,1999,Cervix Uteri,27010,Missouri,29,50-54 years,50-54,23,171836,13.4
,1999,1999,Cervix Uteri,27010,Missouri,29,55-59 years,55-59,23,141417,16.3
,1999,1999,Cervix Uteri,27010,Missouri,29,60-64 years ,60-64,26,118593,21.9
,1999,1999,Cervix Uteri,27010,Missouri,29,65-69 years,65-69,17,110731,15.4
,1999,1999,Cervix Uteri,27010,New Jersey,34,25-29 years,25-29,20,274353,7.3
,1999,1999,Cervix Uteri,27010,New Jersey,34,30-34 years,30-34,45,331258,13.6
,1999,1999,Cervix Uteri,27010,New Jersey,34,35-39 years,35-39,65,370291,17.6
,1999,1999,Cervix Uteri,27010,New Jersey,34,40-44 years,40-44,57,354841,16.1
,1999,1999,Cervix Uteri,27010,New Jersey,34,45-49 years,45-49,54,307297,17.6
,1999,1999,Cervix Uteri,27010,New Jersey,34,50-54 years,50-54,61,276145,22.1
,1999,1999,Cervix Uteri,27010,New Jersey,34,55-59 years,55-59,41,215229,19
,1999,1999,Cervix Uteri,27010,New Jersey,34,60-64 years ,60-64,31,173309,17.9
,1999,1999,Cervix Uteri,27010,New Jersey,34,65-69 years,65-69,23,161967,14.2
,1999,1999,Cervix Uteri,27010,New Jersey,34,70-74 years,70-74,32,161468,19.8
,1999,1999,Cervix Uteri,27010,New Jersey,34,75-79 years,75-79,26,143041,18.2
,1999,1999,Cervix Uteri,27010,New Jersey,34,80-84 years,80-84,16,102699,15.6
,1999,1999,Cervix Uteri,27010,New York,36,25-29 years,25-29,41,680520,6
,1999,1999,Cervix Uteri,27010,New York,36,30-34 years,30-34,74,745879,9.9
,1999,1999,Cervix Uteri,27010,New York,36,35-39 years,35-39,126,801120,15.7
,1999,1999,Cervix Uteri,27010,New York,36,40-44 years,40-44,130,762229,17.1
,1999,1999,Cervix Uteri,27010,New York,36,45-49 years,45-49,122,682291,17.9
,1999,1999,Cervix Uteri,27010,New York,36,50-54 years,50-54,95,614943,15.4
,1999,1999,Cervix Uteri,27010,New York,36,55-59 years,55-59,98,485263,20.2
,1999,1999,Cervix Uteri,27010,New York,36,60-64 years ,60-64,84,403835,20.8
,1999,1999,Cervix Uteri,27010,New York,36,65-69 years,65-69,61,360502,16.9
,1999,1999,Cervix Uteri,27010,New York,36,70-74 years,70-74,61,352733,17.3
,1999,1999,Cervix Uteri,27010,New York,36,75-79 years,75-79,58,304492,19
,1999,1999,Cervix Uteri,27010,New York,36,80-84 years,80-84,38,220096,17.3
,1999,1999,Cervix Uteri,27010,New York,36,85+ years,85+,40,219824,18.2
,1999,1999,Cervix Uteri,27010,North Carolina,37,25-29 years,25-29,22,301053,7.3
