Notes,Year,Year Code,Leading Cancer Sites,Leading Cancer Sites Code,States,States Code,Count,Population,Crude Rate
,2002,2002,Cervix Uteri,27010,Illinois,17,606,6387897,9.5
,2002,2002,Cervix Uteri,27010,Indiana,18,284,3133342,9.1
,2002,2002,Cervix Uteri,27010,Iowa,19,119,1491450,8
,2002,2002,Cervix Uteri,27010,Kansas,20,96,1371898,7
,2002,2002,Cervix Uteri,27010,Kentucky,21,226,2087223,10.8
,2002,2002,Cervix Uteri,27010,Louisiana,22,232,2315524,10
,2002,2002,Cervix Uteri,27010,Maine,23,51,664226,7.7
,2002,2002,Cervix Uteri,27010,Maryland,24,248,2815197,8.8
,2002,2002,Cervix Uteri,27010,Massachusetts,25,233,3319436,7
,2002,2002,Cervix Uteri,27010,Michigan,26,415,5100171,8.1
,2002,2002,Cervix Uteri,27010,Minnesota,27,171,2531205,6.8
,2002,2002,Cervix Uteri,27010,Missouri,29,256,2910476,8.8
,2002,2002,Cervix Uteri,27010,Montana,30,40,456712,8.8
,2002,2002,Cervix Uteri,27010,Nebraska,31,78,874803,8.9
,2002,2002,Cervix Uteri,27010,Nevada,32,103,1069764,9.6
,2002,2002,Cervix Uteri,27010,New Hampshire,33,54,643680,8.4
,2002,2002,Cervix Uteri,27010,New Jersey,34,434,4398801,9.9
,2002,2002,Cervix Uteri,27010,New Mexico,35,80,941856,8.5
,2002,2002,Cervix Uteri,27010,New York,36,938,9902927,9.5
,2002,2002,Cervix Uteri,27010,North Carolina,37,343,4250179,8.1
,2002,2002,Cervix Uteri,27010,North Dakota,38,25,319017,7.8
,2002,2002,Cervix Uteri,27010,Ohio,39,487,5859385,8.3
,2002,2002,Cervix Uteri,27010,Oklahoma,40,163,1769080,9.2
,2002,2002,Cervix Uteri,27010,Oregon,41,131,1771126,7.4
,2002,2002,Cervix Uteri,27010,Pennsylvania,42,559,6363832,8.8
,2002,2002,Cervix Uteri,27010,Rhode Island,44,36,553090,6.5
,2002,2002,Cervix Uteri,27010,South Carolina,45,227,2111069,10.8
,2002,2002,Cervix Uteri,27010,South Dakota,46,27,382328,7.1
,2002,2002,Cervix Uteri,27010,Tennessee,47,249,2971873,8.4
,2002,2002,Cervix Uteri,27010,Texas,48,1086,10914653,9.9
,2002,2002,Cervix Uteri,27010,Utah,49,68,1158853,5.9
,2002,2002,Cervix Uteri,27010,Vermont,50,29,312959,9.3
,2002,2002,Cervix Uteri,27010,Virginia,51,284,3713695,7.6
,2002,2002,Cervix Uteri,27010,Washington,53,218,3036742,7.2
,2002,2002,Cervix Uteri,27010,West Virginia,54,97,923841,10.5
,2002,2002,Cervix Uteri,27010,Wisconsin,55,189,2751697,6.9
,2002,2002,Cervix Uteri,27010,Wyoming,56,21,247785,8.5
,2003,2003,Cervix Uteri,27010,Alabama,1,204,2324069,8.8
,2003,2003,Cervix Uteri,27010,Alaska,2,18,313034,5.8
,2003,2003,Cervix Uteri,27010,Arizona,4,200,2764077,7.2
,2003,2003,Cervix Uteri,27010,Arkansas,5,143,1391523,10.3
,2003,2003,Cervix Uteri,27010,California,6,1450,17709509,8.2
,2003,2003,Cervix Uteri,27010,Colorado,8,164,2253214,7.3
,2003,2003,Cervix Uteri,27010,Connecticut,9,130,1793468,7.2
,2003,2003,Cervix Uteri,27010,Delaware,10,26,420802,6.2
,2003,2003,Cervix Uteri,27010,District of Columbia,11,51,300607,17
,2003,2003,Cervix Uteri,27010,Florida,12,880,8697573,10.1
,2003,2003,Cervix Uteri,27010,Georgia,13,440,4394952,10
,2003,2003,Cervix Uteri,27010,Hawaii,15,58,623753,9.3
,2003,2003,Cervix Uteri,27010,Idaho,16,43,679877,6.3
,2003,2003,Cervix Uteri,27010,Illinois,17,624,6402859,9.7
,2003,2003,Cervix Uteri,27010,Indiana,18,266,3152366,8.4
,2003,2003,Cervix Uteri,27010,Iowa,19,116,1493907,7.8
,2003,2003,Cervix Uteri,27010,Kansas,20,110,1377415,8
,2003,2003,Cervix Uteri,27010,Kentucky,21,196,2102308,9.3
,2003,2003,Cervix Uteri,27010,Louisiana,22,214,2327153,9.2
,2003,2003,Cervix Uteri,27010,Maine,23,55,668680,8.2
,2003,2003,Cervix Uteri,27010,Maryland,24,273,2843847,9.6
,2003,2003,Cervix Uteri,27010,Massachusetts,25,182,3320817,5.5
,2003,2003,Cervix Uteri,27010,Michigan,26,416,5110521,8.1
,2003,2003,Cervix Uteri,27010,Minnesota,27,172,2546999,6.8
,2003,2003,Cervix Uteri,27010,Mississippi,28,129,1479611,8.7
,2003,2003,Cervix Uteri,27010,Missouri,29,245,2926556,8.4
,2003,2003,Cervix Uteri,27010,Montana,30,31,460116,6.7
,2003,2003,Cervix Uteri,27010,Nebraska,31,68,879362,7.7
,2003,2003,Cervix Uteri,27010,Nevada,32,108,1108135,9.7
,2003,2003,Cervix Uteri,27010,New Hampshire,33,47,648513,7.2
,2003,2003,Cervix Uteri,27010,New Jersey,34,457,4421964,10.3
,2003,2003,Cervix Uteri,27010,New Mexico,35,72,952303,7.6
,2003,2003,Cervix Uteri,27010,New York,36,947,9917810,9.5
,2003,2003,Cervix Uteri,27010,North Carolina,37,331,4313901,7.7
,2003,2003,Cervix Uteri,27010,North Dakota,38,18,318896,5.6
,2003,2003,Cervix Uteri,27010,Ohio,39,512,5868535,8.7
,2003,2003,Cervix Uteri,27010,Oklahoma,40,166,1777723,9.3
,2003,2003,Cervix Uteri,27010,Oregon,41,116,1788805,6.5
,2003,2003,Cervix Uteri,27010,Pennsylvania,42,518,6377894,8.1
,2003,2003,Cervix Uteri,27010,Rhode Island,44,38,555590,6.8
,2003,2003,Cervix Uteri,27010,South Carolina,45,187,2133967,8.8
,2003,2003,Cervix Uteri,27010,South Dakota,46,18,383633,4.7
,2003,2003,Cervix Uteri,27010,Tennessee,47,254,3000983,8.5
,2003,2003,Cervix Uteri,27010,Texas,48,1146,11095953,10.3
