state_name,state_fips,bene_yes,bene_no,total_bene,bene_yes_pct,bene_yes_pct_lcl,bene_yes_pct_ucl,age_adjusted_pct,age_adjusted_pct_lcl,age_adjusted_pct_ucl
Louisiana,22,1109,249,1358,82.0376194242356,79.5173941612205,84.5578446872507,82.6812045087304,78.5982061263907,86.7642028910702
Maine,23,2427,552,2979,81.5973655939221,79.65106926326,83.5436619245842,81.7899674937781,78.6833573921479,84.8965775954083
Maryland,24,3210,745,3955,83.1754275357284,81.4339217444807,84.916933326976,83.3015447147358,80.5041675199692,86.0989219095023
Massachusetts,25,1999,337,2336,84.942845430378,82.8918671795845,86.9938236811715,84.9868635136754,81.5253048260133,88.4484222013375
Michigan,26,1975,525,2500,77.6970245468235,75.6099287260905,79.7841203675566,78.3462122223181,75.076657646731,81.6157667979051
Minnesota,27,3078,754,3832,79.586907145176,77.7906497589867,81.3831645313653,79.8390049468401,76.8968113586264,82.7811985350539
Mississippi,28,739,240,979,73.1011594260459,69.2347950526922,76.9675237993997,73.4604338889378,67.1053920572111,79.8154757206645
Missouri,29,1275,390,1665,74.985968014335,72.0601633026692,77.9117727260009,76.0670162496676,71.6178576522638,80.5161748470715
Montana,30,1209,387,1596,74.6516193898539,71.9229398747935,77.3802989049141,74.9275953426826,70.5053671313078,79.3498235540574
Nebraska,31,1307,414,1721,76.8242645251352,74.2091650239589,79.4393640263116,77.1371482846671,73.0010816625623,81.2732149067719
Nevada,32,508,199,707,70.511267804966,65.3678726113947,75.6546629985372,70.8381031650538,62.5989991236332,79.0772072064744
"New Hampshire",33,1510,354,1864,80.8137566431892,78.540696609368,83.0868166770105,80.8818460502254,77.3024659644994,84.4612261359514
"New Jersey",34,1229,361,1590,76.2625147375282,73.1584137058183,79.366615769238,76.4559464785904,71.4608697675052,81.4510231896757
"New Mexico",35,857,364,1221,69.40142427055,65.6625743930212,73.1402741480787,68.9981182418392,62.956741197229,75.0394952864495
"New York",36,3134,754,3888,79.215212800277,77.08409088973,81.3463347108239,79.0231028237203,75.4675009899149,82.5787046575256
"North Carolina",37,800,189,989,79.062726287058,75.1899496097367,82.9355029643794,79.024905332114,72.3011582542694,85.7486524099586
"North Dakota",38,722,183,905,80.2443122878752,77.2647774534847,83.2238471222657,80.3682551173589,75.6651761510664,85.0713340836515
Ohio,39,2991,914,3905,75.5901129951715,73.548680794238,77.631545196105,75.8480408786917,72.595723187406,79.1003585699775
Oklahoma,40,882,368,1250,69.3304368397195,66.33136618103,72.329507498409,68.9913404647518,64.1063786477794,73.8763022817242
Oregon,41,996,272,1268,78.0295330962684,75.0468460231382,81.0122201693986,78.1148100895585,73.3144842401067,82.9151359390103
Pennsylvania,42,827,202,1029,75.685840784143,71.7841406901117,79.5875408781742,75.4507000382128,69.4422322454739,81.4591678309516
"Rhode Island",44,1280,217,1497,86.0037105742459,83.8062517213599,88.2011694271319,85.9369036091501,82.401839175617,89.4719680426832
"South Carolina",45,1975,507,2482,79.6611406849306,77.6977910445286,81.6244903253325,79.7349465208505,76.5907198712177,82.8791731704833
"South Dakota",46,1363,375,1738,72.7933740772909,65.2083092640731,80.3784388905086,74.9524869273926,65.3425771736508,84.5623966811344
Tennessee,47,897,283,1180,75.1201690171498,71.7427892058698,78.4975488284297,75.4420977479208,69.9269723392334,80.9572231566081
Texas,48,2111,713,2824,73.7640195252036,70.7257961475512,76.802242902856,75.031530472981,70.4917749563558,79.5712859896061
Utah,49,1300,477,1777,74.580291919737,71.9780199344624,77.1825639050116,75.559221006395,71.6406401532451,79.4778018595448
Vermont,50,1769,494,2263,75.6281064945926,73.1406080003034,78.1156049888818,75.1142344030294,70.8404397733064,79.3880290327523
Virginia,51,2092,538,2630,77.3824485750997,75.029884100437,79.7350130497624,77.9529812405719,74.467183698203,81.4387787829408
Washington,53,4577,1480,6057,75.3734048565413,73.8919793082508,76.8548304048317,75.6633964463102,73.3058245381073,78.020968354513
"West Virginia",54,1071,305,1376,76.1340409334619,73.4042075401219,78.863874326802,76.5351357768254,72.1686042361132,80.9016673175376
Wisconsin,55,2247,490,2737,82.1031640029091,80.2061635447448,84.0001644610734,82.3684318338564,79.3196174549236,85.4172462127893
Wyoming,56,706,337,1043,65.1591337478252,61.7973455085332,68.5209219871173,65.6357158445036,60.1923185351114,71.0791131538959
