state_fips,state_name,population,age,race_category_id,race,race_includes_hispanic,race_and_ethnicity
00,United States,89,55-59,API_NH,"Asian, Native Hawaiian, and Pacific Islander",False,"Asian, Native Hawaiian, and Pacific Islander (Non-Hispanic)"
00,United States,1332,55-59,BLACK_NH,Black or African American,False,Black or African American (Non-Hispanic)
00,United States,142,55-59,HISP,Hispanic or Latino,True,Hispanic or Latino
00,United States,48,55-59,MULTI_NH,Two or more races,False,Two or more races (Non-Hispanic)
00,United States,6711,55-59,WHITE_NH,White,False,White (Non-Hispanic)
00,United States,47,60-64,AIAN_NH,American Indian and Alaska Native,False,American Indian and Alaska Native (Non-Hispanic)
00,United States,7318,60-64,ALL,All,,All
00,United States,73,60-64,API_NH,"Asian, Native Hawaiian, and Pacific Islander",False,"Asian, Native Hawaiian, and Pacific Islander (Non-Hispanic)"
00,United States,1268,60-64,BLACK_NH,Black or African American,False,Black or African American (Non-Hispanic)
00,United States,102,60-64,HISP,Hispanic or Latino,True,Hispanic or Latino
00,United States,72,60-64,MULTI_NH,Two or more races,False,Two or more races (Non-Hispanic)
00,United States,5762,60-64,WHITE_NH,White,False,White (Non-Hispanic)
00,United States,133,65+,AIAN_NH,American Indian and Alaska Native,False,American Indian and Alaska Native (Non-Hispanic)
00,United States,19326,65+,ALL,All,,All
00,United States,159,65+,API_NH,"Asian, Native Hawaiian, and Pacific Islander",False,"Asian, Native Hawaiian, and Pacific Islander (Non-Hispanic)"
00,United States,2527,65+,BLACK_NH,Black or African American,False,Black or African American (Non-Hispanic)
00,United States,245,65+,HISP,Hispanic or Latino,True,Hispanic or Latino
00,United States,133,65+,MULTI_NH,Two or more races,False,Two or more races (Non-Hispanic)
00,United States,16133,65+,WHITE_NH,White,False,White (Non-Hispanic)
00,United States,593,All,AIAN_NH,American Indian and Alaska Native,False,American Indian and Alaska Native (Non-Hispanic)
00,United States,118665,All,ALL,All,,All
00,United States,1486,All,API_NH,"Asian, Native Hawaiian, and Pacific Islander",False,"Asian, Native Hawaiian, and Pacific Islander (Non-Hispanic)"
00,United States,22241,All,BLACK_NH,Black or African American,False,Black or African American (Non-Hispanic)
00,United States,3627,All,HISP,Hispanic or Latino,True,Hispanic or Latino
00,United States,2265,All,MULTI_NH,Two or more races,False,Two or more races (Non-Hispanic)
00,United States,88666,All,WHITE_NH,White,False,White (Non-Hispanic)
