"Notes","Year","Year Code","Leading Cancer Sites","Leading Cancer Sites Code","States and Puerto Rico","States and Puerto Rico Code",Count,Population,Crude Rate
,"2000","2000","Colon and Rectum","21041-21052","Utah","49",686,2244502,30.6
,"2000","2000","Colon and Rectum","21041-21052","Vermont","50",345,609618,56.6
,"2000","2000","Colon and Rectum","21041-21052","Virginia","51",3416,7105817,48.1
,"2000","2000","Colon and Rectum","21041-21052","Washington","53",2827,5910512,47.8
,"2000","2000","Colon and Rectum","21041-21052","West Virginia","54",1316,1807021,72.8
,"2000","2000","Colon and Rectum","21041-21052","Wisconsin","55",3263,5373999,60.7
,"2000","2000","Colon and Rectum","21041-21052","Wyoming","56",226,494300,45.7
,"2000","2000","Colon and Rectum","21041-21052","Puerto Rico","72",Missing,Missing,Missing
,"2001","2001","Colon and Rectum","21041-21052","Alabama","01",2337,4467634,52.3
,"2001","2001","Colon and Rectum","21041-21052","Alaska","02",239,633714,37.7
,"2001","2001","Colon and Rectum","21041-21052","Arizona","04",2487,5273477,47.2
,"2001","2001","Colon and Rectum","21041-21052","Arkansas","05",1499,2691571,55.7
,"2001","2001","Colon and Rectum","21041-21052","California","06",14593,34479458,42.3
,"2001","2001","Colon and Rectum","21041-21052","Colorado","08",1706,4425687,38.5
,"2001","2001","Colon and Rectum","21041-21052","Connecticut","09",2216,3432835,64.6
,"2001","2001","Colon and Rectum","21041-21052","Delaware","10",480,795699,60.3
,"2001","2001","Colon and Rectum","21041-21052","District of Columbia","11",321,574504,55.9
,"2001","2001","Colon and Rectum","21041-21052","Florida","12",11819,16356966,72.3
,"2001","2001","Colon and Rectum","21041-21052","Georgia","13",3553,8377038,42.4
,"2001","2001","Colon and Rectum","21041-21052","Hawaii","15",685,1225948,55.9
,"2001","2001","Colon and Rectum","21041-21052","Idaho","16",555,1319962,42.0
,"2001","2001","Colon and Rectum","21041-21052","Illinois","17",7091,12488445,56.8
,"2001","2001","Colon and Rectum","21041-21052","Indiana","18",3595,6127760,58.7
,"2001","2001","Colon and Rectum","21041-21052","Iowa","19",2151,2931997,73.4
,"2001","2001","Colon and Rectum","21041-21052","Kansas","20",1487,2702162,55.0
,"2001","2001","Colon and Rectum","21041-21052","Kentucky","21",2619,4068132,64.4
,"2001","2001","Colon and Rectum","21041-21052","Louisiana","22",2522,4477875,56.3
,"2001","2001","Colon and Rectum","21041-21052","Maine","23",815,1285692,63.4
,"2001","2001","Colon and Rectum","21041-21052","Maryland","24",2821,5374691,52.5
,"2001","2001","Colon and Rectum","21041-21052","Massachusetts","25",4135,6397634,64.6
,"2001","2001","Colon and Rectum","21041-21052","Michigan","26",5516,9991120,55.2
,"2001","2001","Colon and Rectum","21041-21052","Minnesota","27",2498,4982796,50.1
,"2001","2001","Colon and Rectum","21041-21052","Mississippi","28",Missing,Missing,Missing
,"2001","2001","Colon and Rectum","21041-21052","Missouri","29",3564,5641142,63.2
,"2001","2001","Colon and Rectum","21041-21052","Montana","30",548,906961,60.4
,"2001","2001","Colon and Rectum","21041-21052","Nebraska","31",1078,1719836,62.7
,"2001","2001","Colon and Rectum","21041-21052","Nevada","32",999,2098399,47.6
,"2001","2001","Colon and Rectum","21041-21052","New Hampshire","33",725,1255517,57.7
,"2001","2001","Colon and Rectum","21041-21052","New Jersey","34",5609,8492671,66.0
,"2001","2001","Colon and Rectum","21041-21052","New Mexico","35",758,1831690,41.4
,"2001","2001","Colon and Rectum","21041-21052","New York","36",11455,19082838,60.0
,"2001","2001","Colon and Rectum","21041-21052","North Carolina","37",3970,8210122,48.4
,"2001","2001","Colon and Rectum","21041-21052","North Dakota","38",424,639062,66.3
,"2001","2001","Colon and Rectum","21041-21052","Ohio","39",6762,11387404,59.4
,"2001","2001","Colon and Rectum","21041-21052","Oklahoma","40",1958,3467100,56.5
,"2001","2001","Colon and Rectum","21041-21052","Oregon","41",1771,3467937,51.1
,"2001","2001","Colon and Rectum","21041-21052","Pennsylvania","42",9197,12298970,74.8
,"2001","2001","Colon and Rectum","21041-21052","Rhode Island","44",721,1057142,68.2
,"2001","2001","Colon and Rectum","21041-21052","South Carolina","45",2188,4064995,53.8
,"2001","2001","Colon and Rectum","21041-21052","South Dakota","46",483,757972,63.7
,"2001","2001","Colon and Rectum","21041-21052","Tennessee","47",2753,5750789,47.9
,"2001","2001","Colon and Rectum","21041-21052","Texas","48",9013,21319622,42.3
,"2001","2001","Colon and Rectum","21041-21052","Utah","49",628,2283715,27.5
,"2001","2001","Colon and Rectum","21041-21052","Vermont","50",350,612223,57.2
,"2001","2001","Colon and Rectum","21041-21052","Virginia","51",3355,7198362,46.6
,"2001","2001","Colon and Rectum","21041-21052","Washington","53",2852,5985722,47.6
,"2001","2001","Colon and Rectum","21041-21052","West Virginia","54",1372,1801481,76.2
,"2001","2001","Colon and Rectum","21041-21052","Wisconsin","55",3143,5406835,58.1
,"2001","2001","Colon and Rectum","21041-21052","Wyoming","56",229,494657,46.3
,"2001","2001","Colon and Rectum","21041-21052","Puerto Rico","72",Missing,Missing,Missing
,"2002","2002","Colon and Rectum","21041-21052","Alabama","01",2356,4480089,52.6
,"2002","2002","Colon and Rectum","21041-21052","Alaska","02",215,642337,33.5
,"2002","2002","Colon and Rectum","21041-21052","Arizona","04",2440,5396255,45.2
,"2002","2002","Colon and Rectum","21041-21052","Arkansas","05",1466,2705927,54.2
,"2002","2002","Colon and Rectum","21041-21052","California","06",14546,34871843,41.7
,"2002","2002","Colon and Rectum","21041-21052","Colorado","08",1703,4490406,37.9
,"2002","2002","Colon and Rectum","21041-21052","Connecticut","09",2267,3458749,65.5
,"2002","2002","Colon and Rectum","21041-21052","Delaware","10",446,806169,55.3
,"2002","2002","Colon and Rectum","21041-21052","District of Columbia","11",304,573158,53.0
,"2002","2002","Colon and Rectum","21041-21052","Florida","12",11326,16689370,67.9
,"2002","2002","Colon and Rectum","21041-21052","Georgia","13",3766,8508256,44.3
,"2002","2002","Colon and Rectum","21041-21052","Hawaii","15",736,1239613,59.4
,"2002","2002","Colon and Rectum","21041-21052","Idaho","16",552,1340372,41.2
,"2002","2002","Colon and Rectum","21041-21052","Illinois","17",7287,12525556,58.2
,"2002","2002","Colon and Rectum","21041-21052","Indiana","18",3592,6155967,58.3
,"2002","2002","Colon and Rectum","21041-21052","Iowa","19",2088,2934234,71.2
,"2002","2002","Colon and Rectum","21041-21052","Kansas","20",1425,2713535,52.5
,"2002","2002","Colon and Rectum","21041-21052","Kentucky","21",2502,4089875,61.2
,"2002","2002","Colon and Rectum","21041-21052","Louisiana","22",2548,4497267,56.7
,"2002","2002","Colon and Rectum","21041-21052","Maine","23",945,1295960,72.9
,"2002","2002","Colon and Rectum","21041-21052","Maryland","24",2719,5440389,50.0
,"2002","2002","Colon and Rectum","21041-21052","Massachusetts","25",4034,6417206,62.9
,"2002","2002","Colon and Rectum","21041-21052","Michigan","26",5531,10015710,55.2
,"2002","2002","Colon and Rectum","21041-21052","Minnesota","27",2533,5018935,50.5
,"2002","2002","Colon and Rectum","21041-21052","Mississippi","28",Missing,Missing,Missing
,"2002","2002","Colon and Rectum","21041-21052","Missouri","29",3302,5674825,58.2
,"2002","2002","Colon and Rectum","21041-21052","Montana","30",518,911667,56.8
,"2002","2002","Colon and Rectum","21041-21052","Nebraska","31",1061,1728292,61.4
,"2002","2002","Colon and Rectum","21041-21052","Nevada","32",1062,2173791,48.9
,"2002","2002","Colon and Rectum","21041-21052","New Hampshire","33",727,1269089,57.3
,"2002","2002","Colon and Rectum","21041-21052","New Jersey","34",5517,8552643,64.5
,"2002","2002","Colon and Rectum","21041-21052","New Mexico","35",770,1855309,41.5
,"2002","2002","Colon and Rectum","21041-21052","New York","36",11324,19137800,59.2
,"2002","2002","Colon and Rectum","21041-21052","North Carolina","37",4110,8326201,49.4
,"2002","2002","Colon and Rectum","21041-21052","North Dakota","38",396,638168,62.1
,"2002","2002","Colon and Rectum","21041-21052","Ohio","39",6686,11407889,58.6
,"2002","2002","Colon and Rectum","21041-21052","Oklahoma","40",1932,3489080,55.4
,"2002","2002","Colon and Rectum","21041-21052","Oregon","41",1765,3513424,50.2
,"2002","2002","Colon and Rectum","21041-21052","Pennsylvania","42",8681,12331031,70.4
,"2002","2002","Colon and Rectum","21041-21052","Rhode Island","44",725,1065995,68.0
,"2002","2002","Colon and Rectum","21041-21052","South Carolina","45",2282,4107795,55.6
,"2002","2002","Colon and Rectum","21041-21052","South Dakota","46",553,760020,72.8
,"2002","2002","Colon and Rectum","21041-21052","Tennessee","47",2748,5795918,47.4
,"2002","2002","Colon and Rectum","21041-21052","Texas","48",9163,21690325,42.2
,"2002","2002","Colon and Rectum","21041-21052","Utah","49",700,2324815,30.1
