"Notes","Year","Year Code","Leading Cancer Sites","Leading Cancer Sites Code","States","States Code",Count,Population,Crude Rate
,"2002","2002","Breast","26000","Alabama","01",3061,2314370,132.3
,"2002","2002","Breast","26000","Alaska","02",325,309633,105.0
,"2002","2002","Breast","26000","Arizona","04",3506,2704217,129.6
,"2002","2002","Breast","26000","Arkansas","05",1940,1383239,140.3
,"2002","2002","Breast","26000","California","06",22485,17498462,128.5
,"2002","2002","Breast","26000","Colorado","08",2831,2228665,127.0
,"2002","2002","Breast","26000","Connecticut","09",2858,1780500,160.5
,"2002","2002","Breast","26000","Delaware","10",579,414652,139.6
,"2002","2002","Breast","26000","District of Columbia","11",399,303146,131.6
,"2002","2002","Breast","26000","Florida","12",13798,8541734,161.5
,"2002","2002","Breast","26000","Georgia","13",5267,4327934,121.7
,"2002","2002","Breast","26000","Hawaii","15",901,616192,146.2
,"2002","2002","Breast","26000","Idaho","16",905,668686,135.3
,"2002","2002","Breast","26000","Illinois","17",8785,6387897,137.5
,"2002","2002","Breast","26000","Indiana","18",4351,3133342,138.9
,"2002","2002","Breast","26000","Iowa","19",2306,1491450,154.6
,"2002","2002","Breast","26000","Kansas","20",1994,1371898,145.3
,"2002","2002","Breast","26000","Kentucky","21",2821,2087223,135.2
,"2002","2002","Breast","26000","Louisiana","22",2894,2315524,125.0
,"2002","2002","Breast","26000","Maine","23",1047,664226,157.6
,"2002","2002","Breast","26000","Maryland","24",3973,2815197,141.1
,"2002","2002","Breast","26000","Massachusetts","25",5047,3319436,152.0
,"2002","2002","Breast","26000","Michigan","26",7294,5100171,143.0
,"2002","2002","Breast","26000","Minnesota","27",3602,2531205,142.3
,"2002","2002","Breast","26000","Mississippi","28",Missing,Missing,Missing
,"2002","2002","Breast","26000","Missouri","29",4146,2910476,142.5
,"2002","2002","Breast","26000","Montana","30",649,456712,142.1
,"2002","2002","Breast","26000","Nebraska","31",1334,874803,152.5
,"2002","2002","Breast","26000","Nevada","32",1380,1069764,129.0
,"2002","2002","Breast","26000","New Hampshire","33",1010,643680,156.9
,"2002","2002","Breast","26000","New Jersey","34",6524,4398801,148.3
,"2002","2002","Breast","26000","New Mexico","35",1128,941856,119.8
,"2002","2002","Breast","26000","New York","36",13942,9902927,140.8
,"2002","2002","Breast","26000","North Carolina","37",5709,4250179,134.3
,"2002","2002","Breast","26000","North Dakota","38",462,319017,144.8
,"2002","2002","Breast","26000","Ohio","39",8294,5859385,141.6
,"2002","2002","Breast","26000","Oklahoma","40",2543,1769080,143.7
,"2002","2002","Breast","26000","Oregon","41",2808,1771126,158.5
,"2002","2002","Breast","26000","Pennsylvania","42",9871,6363832,155.1
,"2002","2002","Breast","26000","Rhode Island","44",835,553090,151.0
,"2002","2002","Breast","26000","South Carolina","45",2842,2111069,134.6
,"2002","2002","Breast","26000","South Dakota","46",617,382328,161.4
,"2002","2002","Breast","26000","Tennessee","47",3856,2971873,129.7
,"2002","2002","Breast","26000","Texas","48",12940,10914653,118.6
,"2002","2002","Breast","26000","Utah","49",1046,1158853,90.3
,"2002","2002","Breast","26000","Vermont","50",484,312959,154.7
,"2002","2002","Breast","26000","Virginia","51",4896,3713695,131.8
,"2002","2002","Breast","26000","Washington","53",4697,3036742,154.7
