sex_name,state_name,state_fips,bene_yes,bene_no,total_bene,bene_yes_pct,bene_yes_pct_lcl,bene_yes_pct_ucl,age_adjusted_pct,age_adjusted_pct_lcl,age_adjusted_pct_ucl
Female,Maryland,24,3406,1167,4573,73.2781848819427,71.2131444342816,75.3432253296037,64.5879880531469,59.7964422126415,69.3795338936523
Male,Massachusetts,25,1760,675,2435,69.9281848587494,67.168186931366,72.6881827861327,60.4927672418565,54.8219310481437,66.1636034355692
Female,Massachusetts,25,2020,743,2763,71.8539117132043,69.5562549347454,74.1515684916632,62.2606606101288,57.2639327694552,67.2573884508025
Male,Michigan,26,1727,582,2309,70.7326226015383,68.4415805652985,73.0236646377781,59.1215787678961,54.0386367910751,64.2045207447171
Female,Michigan,26,2138,710,2848,71.6228493334234,69.45771992634,73.7879787405068,60.6260086619034,55.83035732664,65.4216599971667
Male,Minnesota,27,2992,1155,4147,68.4510801233002,66.4702534463108,70.4319068002896,58.4887856212952,54.6053564800759,62.3722147625144
Female,Minnesota,27,3233,1159,4392,70.8862820975656,69.0036032069791,72.768960988152,59.7666399574945,56.1132467521994,63.4200331627896
Male,Mississippi,28,555,342,897,59.7622725944989,55.724823057838,63.7997221311598,53.1180209631306,45.4156982570493,60.8203436692119
Female,Mississippi,28,767,410,1177,65.0024004709725,61.4271183399755,68.5776826019695,56.2020160247952,49.241762778683,63.1622692709075
Male,Missouri,29,1103,570,1673,65.0123135116827,61.872596244238,68.1520307791274,56.2214819070746,49.8928087264824,62.5501550876669
Female,Missouri,29,1330,602,1932,66.7080504727105,63.8000093016905,69.6160916437304,56.9393888103292,50.5683181415947,63.3104594790637
Male,Montana,30,1295,632,1927,64.4222100375364,61.7291651174698,67.115254957603,53.42229475369,47.7022624329878,59.1423270743922
Female,Montana,30,1264,566,1830,66.9359927605258,64.2204921060507,69.6514934150008,55.3207890975691,49.469570866899,61.1720073282392
Male,Nebraska,31,1207,612,1819,63.0564622895795,60.1391086413437,65.9738159378153,54.074791967428,48.1993108801617,59.9502730546943
Female,Nebraska,31,1344,647,1991,65.0789690438776,62.2892435275986,67.8686945601565,55.9724008127283,49.844449869816,62.1003517556406
Male,Nevada,32,525,257,782,62.5355836203417,57.6152385749772,67.4559286657061,54.5342725844142,44.886801395323,64.1817437735053
Female,Nevada,32,519,275,794,59.3429396425748,53.7689508015806,64.916928483569,48.9275747331633,38.6345310104919,59.2206184558347
Male,"New Hampshire",33,1228,381,1609,70.4994624845173,67.4586383412117,73.540286627823,59.2379395535691,52.2313592730124,66.2445198341258
Female,"New Hampshire",33,1573,473,2046,72.6115163270256,69.9992567127729,75.2237759412783,61.5478461717119,55.1367982270781,67.9588941163457
Male,"New Jersey",34,1282,601,1883,64.3187045361134,61.1499720465533,67.4874370256735,55.5914384473825,49.5602317559762,61.6226451387888
Female,"New Jersey",34,1286,592,1878,66.3902588634391,63.2217132256701,69.558804501208,56.5306247719845,50.8156444721224,62.2456050718466
Male,"New Mexico",35,670,371,1041,60.1622972904702,56.0813551075608,64.2432394733796,52.9583622091585,43.68506141192,62.231663006397
Female,"New Mexico",35,862,542,1404,56.8220847044581,53.1429601770073,60.5012092319089,47.3581506540023,39.2890219624956,55.427279345509
Male,"New York",36,2806,1116,3922,67.1420080744307,64.9812824886132,69.3027336602481,59.2856638114691,54.9707856433694,63.6005419795688
Female,"New York",36,3261,1210,4471,70.7144081944614,68.6061304482894,72.8226859406333,60.6974702317377,55.9395199789342,65.4554204845412
Male,"North Carolina",37,667,340,1007,65.6005791043537,61.6860168223686,69.5151413863389,55.0985083750762,48.5026984969821,61.6943182531703
Female,"North Carolina",37,845,345,1190,70.4153147604285,67.082743671202,73.7478858496551,60.5497820983381,53.8225302922647,67.2770339044115
Male,"North Dakota",38,722,337,1059,62.9221458716646,59.5171533442095,66.3271383991197,53.9397426401013,47.1344363757283,60.7450489044742
Female,"North Dakota",38,747,274,1021,70.0055656050844,66.7069167878844,73.3042144222843,57.6263706210471,50.5416680680411,64.7110731740531
Male,Ohio,39,2763,1232,3995,67.1636486295454,64.9890950243619,69.3382022347289,56.4403832131045,51.9912838249143,60.8894826012947
Female,Ohio,39,3177,1389,4566,68.0932412717332,66.0868005740998,70.0996819693666,59.2049959245405,55.0950163526493,63.3149754964317
Male,Oklahoma,40,792,468,1260,59.9137901928535,56.8161302095861,63.011450176121,53.5699178283746,47.4342367510999,59.7055989056493
Female,Oklahoma,40,954,522,1476,62.1580288568901,59.232235290451,65.0838224233292,52.7408269671971,46.9719402244865,58.5097137099076
Male,Oregon,41,850,455,1305,63.9812475399289,60.5356338714279,67.4268612084298,54.0678599900571,48.0236217615017,60.1120982186125
Female,Oregon,41,1048,491,1539,66.6549620103474,63.7651589684115,69.5447650522833,56.8992724108001,50.8156788423482,62.982865979252
Male,Pennsylvania,42,752,329,1081,63.9156864826623,59.4787084670305,68.3526644982942,53.2111316318221,45.242071728867,61.1801915347773
Female,Pennsylvania,42,847,325,1172,69.6145974253736,65.3449757646992,73.8842190860481,59.6383937405572,50.1779336206905,69.098853860424
Male,"Rhode Island",44,1061,302,1363,73.2633506688364,69.8224785180763,76.7042228195966,59.879713176098,52.7179822217866,67.0414441304094
Female,"Rhode Island",44,1323,389,1712,75.1473395711993,72.3031909475408,77.9914881948577,63.3807532662682,56.3205940426395,70.4409124898968
Male,"South Carolina",45,1667,615,2282,68.5114631452755,65.9597004195856,71.0632258709654,56.8976612944278,51.9043035291276,61.891019059728
Female,"South Carolina",45,2154,697,2851,72.6306244201946,70.4404129705343,74.8208358698548,61.4510840936075,56.6635388982556,66.2386292889594
Male,"South Dakota",46,1339,643,1982,65.614866353117,58.8250262058524,72.4047065003817,55.468538171174,43.245073159034,67.6920031833139
Female,"South Dakota",46,1386,662,2048,65.4729819558112,58.6228434191672,72.3231204924553,55.0820287313399,44.8547958134855,65.3092616491944
Male,Tennessee,47,821,420,1241,62.988061398038,59.3534529933076,66.6226698027684,53.5490750173908,46.8252453199955,60.2729047147861
Female,Tennessee,47,912,447,1359,65.4573422022044,61.9257826189516,68.9889017854571,56.0808234305773,49.0024210609611,63.1592258001935
Male,Texas,48,1917,1154,3071,60.2617549231044,57.0897152630704,63.4337945831384,55.0795802171808,49.2952521376889,60.8639082966726
Female,Texas,48,2167,1125,3292,62.440012589485,59.328493367289,65.5515318116809,55.4052287741325,49.6097094753524,61.2007480729125
Male,Utah,49,1423,696,2119,64.7082051911064,62.0469218660716,67.3694885161411,56.548418014489,51.9552947367797,61.1415412921982
