income_group,state_name,state_fips,bene_yes,bene_no,total_bene,bene_yes_pct,bene_yes_pct_lcl,bene_yes_pct_ucl,age_adjusted_pct,age_adjusted_pct_lcl,age_adjusted_pct_ucl
"$200,000 or more",Hawaii,15,177,65,242,70.5063394476572,63.0754884042113,77.9371904911031,60.9405559899745,47.7046318798618,74.1764801000872
"Don’t know/Not sure/Missing",Hawaii,15,256,122,378,64.3043169853772,57.0826275490918,71.5260064216626,45.6967010954953,35.9421482828372,55.4512539081534
"Less than $15,000",Idaho,16,67,50,117,60.019563249256,49.6897529023802,70.3493735961317,55.3969864565466,33.4814921475186,77.3124807655745
"$15,000 to < $25,000",Idaho,16,127,96,223,50.1250676548308,42.3604354986482,57.8896998110135,40.5993387688315,27.3302208435754,53.8684566940877
"$25,000 to < $35,000",Idaho,16,264,137,401,65.1107040356019,59.6243206483178,70.5970874228859,52.3376289192968,40.1485434788897,64.5267143597039
"$35,000 to < $50,000",Idaho,16,241,113,354,68.5982717424293,63.0028348652565,74.1937086196021,56.5268818400581,41.3708429687785,71.6829207113376
"$50,000 to < $75,000",Idaho,16,329,152,481,66.8404855548049,61.875780238085,71.8051908715248,58.6752038871716,49.831313724414,67.5190940499291
"$75,000 to < $100,000",Idaho,16,214,123,337,62.6621478610762,56.6723597931403,68.6519359290122,52.0507988921509,42.6558480515009,61.4457497328008
"$100,000 to < $200,000",Idaho,16,338,185,523,65.0757672938611,60.5434143978069,69.6081201899152,61.1716639866093,53.0077669563307,69.3355610168879
"$200,000 or more",Idaho,16,73,57,130,57.9042091998396,48.9657254190938,66.8426929805853,59.4059004977496,47.8221355834303,70.989665412069
"Don’t know/Not sure/Missing",Idaho,16,317,181,498,62.6244611023346,57.6666108367116,67.5823113679577,52.8634647398147,41.5787642922889,64.1481651873406
"Less than $15,000",Illinois,17,75,68,143,56.3623575499474,46.1337718282684,66.5909432716264,45.8380540966529,28.6467320451278,63.0293761481781
"$15,000 to < $25,000",Illinois,17,106,98,204,55.8351369712665,46.131223764029,65.539050178504,48.851243765047,31.1020223352107,66.6004651948833
"$25,000 to < $35,000",Illinois,17,101,84,185,57.7575992544607,48.6727998098323,66.8423986990891,46.4022697570134,30.9497996027184,61.8547399113085
"$35,000 to < $50,000",Illinois,17,88,58,146,64.6086446073021,55.0944342273023,74.1228549873019,52.1754766982059,34.3312435794648,70.0197098169469
"$50,000 to < $75,000",Illinois,17,186,70,256,72.2698606289498,65.6407805945275,78.8989406633721,61.53553139056,45.0237880399896,78.0472747411303
"$75,000 to < $100,000",Illinois,17,146,70,216,70.8698456334438,63.6066408666647,78.1330504002228,62.1913614977981,44.715972332423,79.6667506631732
"$100,000 to < $200,000",Illinois,17,251,125,376,66.7772595943837,60.7989561714087,72.7555630173586,62.7361129282275,51.9002308877175,73.5719949687376
"$200,000 or more",Illinois,17,96,61,157,64.1500931129194,55.1626987597168,73.137487466122,68.179898394629,54.0339707103029,82.325826078955
"Don’t know/Not sure/Missing",Illinois,17,129,74,203,69.34986226975,61.8506896689455,76.8490348705545,55.3441132333498,37.3218365693696,73.3663898973299
"Less than $15,000",Indiana,18,200,112,312,61.8725435934236,55.3144589269527,68.4306282598946,58.884159087509,46.0201450528119,71.7481731222061
"$15,000 to < $25,000",Indiana,18,318,137,455,68.6217021113102,63.3922072275243,73.851196995096,54.6412703541991,43.1341381320514,66.1484025763467
"$25,000 to < $35,000",Indiana,18,356,140,496,70.9758424521728,66.1164092446914,75.8352756596542,58.7642192117265,46.3488911157818,71.1795473076713
"$35,000 to < $50,000",Indiana,18,425,169,594,70.0643066974736,65.7608814196397,74.3677319753075,55.7707599148839,45.9019693141875,65.6395505155803
"$50,000 to < $75,000",Indiana,18,557,204,761,69.0071248949795,64.9715601660561,73.0426896239031,58.2150966088374,49.6174240708849,66.81276914679
"$75,000 to < $100,000",Indiana,18,397,154,551,69.2233848609441,64.6273162734987,73.8194534483895,60.3055672353752,52.0185659424998,68.5925685282506
"$100,000 to < $200,000",Indiana,18,649,259,908,70.850327529298,67.5563377489341,74.144317309662,66.2081113901109,60.2556865283561,72.1605362518657
"$200,000 or more",Indiana,18,153,55,208,72.8282589662865,65.9318492458372,79.7246686867359,67.1642343176143,55.2541839615071,79.0742846737215
"Don’t know/Not sure/Missing",Indiana,18,620,223,843,70.1285919630742,66.2553569271076,74.0018269990408,56.5925656319492,48.3999872789881,64.7851439849103
"Less than $15,000",Iowa,19,124,66,190,62.0582911159263,52.6353843161345,71.4811979157182,55.8343464479042,39.8265520232738,71.8421408725346
"$15,000 to < $25,000",Iowa,19,234,109,343,67.8172073357614,61.2575954414349,74.376819230088,54.9026953882188,38.6788627625983,71.1265280138394
"$25,000 to < $35,000",Iowa,19,283,142,425,66.2278551035418,60.4673879271198,71.9883222799638,48.60107609177,39.4236632833879,57.7784889001521
"$35,000 to < $50,000",Iowa,19,401,159,560,70.7202250273133,66.0220603239383,75.4183897306883,55.4689893614912,46.7301561568466,64.2078225661359
"$50,000 to < $75,000",Iowa,19,553,208,761,69.2141397535604,65.1509849722373,73.2772945348834,57.127104475441,48.6281455513676,65.6260633995144
"$75,000 to < $100,000",Iowa,19,469,160,629,69.5711017031508,65.0112338083004,74.1309695980012,59.8747906284953,51.072675897772,68.6769053592186
"$100,000 to < $200,000",Iowa,19,538,236,774,65.5116297249858,61.4403599765096,69.5828994734621,60.5631812978115,53.7420151027997,67.3843474928233
"$200,000 or more",Iowa,19,152,50,202,71.5441356184072,64.1057595180149,78.9825117187994,71.779902737224,61.24183218745,82.317973286998
"Don’t know/Not sure/Missing",Iowa,19,390,138,528,72.4481547980442,67.5428174366084,77.3534921594801,61.2527222139033,47.8279320317801,74.6775123960265
"Less than $15,000",Kansas,20,127,91,218,62.0367886240953,53.1504677331083,70.9231095150823,51.5074192775583,38.3827871445682,64.6320514105483
