age_group,state_name,state_fips,bene_yes,bene_no,total_bene,bene_yes_pct,bene_yes_pct_lcl,bene_yes_pct_ucl,age_adjusted_pct,age_adjusted_pct_lcl,age_adjusted_pct_ucl
_45_49,Kentucky,21,92,148,240,38.3470468410862,30.02024730365,46.6738463785224,.,.,.
_50_54,Kentucky,21,191,147,338,54.717153100797,48.0922523401706,61.3420538614234,.,.,.
_55_59,Kentucky,21,224,97,321,72.9541961536468,66.7775483830663,79.1308439242273,.,.,.
_60_64,Kentucky,21,285,102,387,73.8754199347469,67.0905362768929,80.660303592601,.,.,.
_65_69,Kentucky,21,327,69,396,84.5578120583733,79.3665415775164,89.7490825392302,.,.,.
_70_75,Kentucky,21,315,74,389,73.1893054800921,66.0108581759607,80.3677527842235,.,.,.
_45_49,Louisiana,22,90,221,311,28.2273166479699,22.2512221585145,34.2034111374253,.,.,.
_50_54,Louisiana,22,239,162,401,58.6922259895965,52.8042047440009,64.5802472351921,.,.,.
_55_59,Louisiana,22,332,119,451,74.172163944438,69.1024396510432,79.2418882378329,.,.,.
_60_64,Louisiana,22,400,138,538,75.9509948240441,71.4675846506803,80.4344049974079,.,.,.
_65_69,Louisiana,22,429,77,506,84.4405045340578,79.967817857761,88.9131912103547,.,.,.
_70_75,Louisiana,22,521,85,606,86.577769154923,83.0189416457682,90.1365966640778,.,.,.
_45_49,Maine,23,168,366,534,29.5082343060607,24.9314905178118,34.0849780943096,.,.,.
_50_54,Maine,23,443,320,763,57.9245006099898,53.5107522111947,62.338249008785,.,.,.
_55_59,Maine,23,682,193,875,77.9322544924166,74.0969385042957,81.7675704805375,.,.,.
_60_64,Maine,23,911,216,1127,81.2128455844231,78.3123028242179,84.1133883446283,.,.,.
_65_69,Maine,23,1052,184,1236,84.9719700564396,82.314379543705,87.6295605691741,.,.,.
_70_75,Maine,23,1269,243,1512,84.3232567355534,81.5176836476377,87.1288298234691,.,.,.
_45_49,Maryland,24,338,587,925,37.2999612782393,32.8395554177656,41.7603671387129,.,.,.
_50_54,Maryland,24,699,430,1129,62.5542592766542,58.5737111299247,66.5348074233836,.,.,.
_55_59,Maryland,24,1039,306,1345,77.7256956512419,74.0908776880715,81.3605136144124,.,.,.
_60_64,Maryland,24,1201,336,1537,79.4051828466874,76.2809189402535,82.5294467531214,.,.,.
_65_69,Maryland,24,1300,253,1553,85.5897050279191,83.0944725967779,88.0849374590603,.,.,.
_70_75,Maryland,24,1480,281,1761,83.0049622736734,79.8548376539533,86.1550868933935,.,.,.
_45_49,Massachusetts,25,240,475,715,32.3801779960009,27.7062541591691,37.0541018328328,.,.,.
_50_54,Massachusetts,25,447,323,770,58.3034465138443,53.6144346697221,62.9924583579665,.,.,.
_55_59,Massachusetts,25,732,146,878,84.1174667922308,80.9801941614709,87.2547394229907,.,.,.
_60_64,Massachusetts,25,759,174,933,78.9886315948251,75.081297658268,82.8959655313823,.,.,.
_65_69,Massachusetts,25,783,162,945,82.3171702056361,78.6154249177355,86.0189154935367,.,.,.
_70_75,Massachusetts,25,819,138,957,82.7292823440221,79.0304886356987,86.4280760523456,.,.,.
_45_49,Michigan,26,158,371,529,28.3704400771123,23.9211417630458,32.8197383911788,.,.,.
_50_54,Michigan,26,410,238,648,61.3485171244993,56.7911452083324,65.9058890406663,.,.,.
_55_59,Michigan,26,589,155,744,76.4963601872467,72.7969561350558,80.1957642394375,.,.,.
_60_64,Michigan,26,777,195,972,78.7302382086324,75.5316866281945,81.9287897890703,.,.,.
_65_69,Michigan,26,889,180,1069,83.1796939384398,80.4826864318735,85.8767014450062,.,.,.
_70_75,Michigan,26,1042,153,1195,85.7566586328899,83.1497911303428,88.3635261354369,.,.,.
_45_49,Minnesota,27,317,732,1049,27.4141834543711,24.0213465286416,30.8070203801007,.,.,.
_50_54,Minnesota,27,716,504,1220,56.4134965162499,52.783492718132,60.0435003143677,.,.,.
_55_59,Minnesota,27,1053,296,1349,78.7154552779293,75.8315289916881,81.5993815641705,.,.,.
_60_64,Minnesota,27,1307,315,1622,80.0263812153991,77.3614858375344,82.6912765932638,.,.,.
_65_69,Minnesota,27,1414,265,1679,81.704377230871,78.7810870055265,84.6276674562154,.,.,.
_70_75,Minnesota,27,1418,202,1620,86.0536087218765,83.6765556592328,88.4306617845202,.,.,.
_45_49,Mississippi,28,87,233,320,28.2331668165944,22.4146526821717,34.0516809510171,.,.,.
_50_54,Mississippi,28,176,145,321,49.9786843186371,43.4787785111149,56.4785901261594,.,.,.
_55_59,Mississippi,28,251,116,367,67.6184733490532,61.3199090602254,73.9170376378809,.,.,.
_60_64,Mississippi,28,246,101,347,70.090457267534,64.0832910091911,76.0976235258769,.,.,.
_65_69,Mississippi,28,282,74,356,79.6539036634962,73.912455503099,85.3953518238934,.,.,.
