"Notes","Year","Year Code","Leading Cancer Sites","Leading Cancer Sites Code","States and Puerto Rico","States and Puerto Rico Code",Count,Population,Crude Rate
,"2002","2002","Prostate","28010","Oregon","41",2640,1742298,151.5
,"2002","2002","Prostate","28010","Pennsylvania","42",11326,5967199,189.8
,"2002","2002","Prostate","28010","Rhode Island","44",930,512905,181.3
,"2002","2002","Prostate","28010","South Carolina","45",3594,1996726,180.0
,"2002","2002","Prostate","28010","South Dakota","46",745,377692,197.3
,"2002","2002","Prostate","28010","Tennessee","47",3163,2824045,112.0
,"2002","2002","Prostate","28010","Texas","48",13307,10775672,123.5
,"2002","2002","Prostate","28010","Utah","49",1458,1165962,125.0
,"2002","2002","Prostate","28010","Vermont","50",515,302483,170.3
,"2002","2002","Prostate","28010","Virginia","51",5081,3573178,142.2
,"2002","2002","Prostate","28010","Washington","53",4615,3015607,153.0
,"2002","2002","Prostate","28010","West Virginia","54",1471,881573,166.9
,"2002","2002","Prostate","28010","Wisconsin","55",4353,2693465,161.6
,"2002","2002","Prostate","28010","Wyoming","56",406,252232,161.0
,"2002","2002","Prostate","28010","Puerto Rico","72",Missing,Missing,Missing
,"2003","2003","Prostate","28010","Alabama","01",3090,2179422,141.8
,"2003","2003","Prostate","28010","Alaska","02",319,335380,95.1
,"2003","2003","Prostate","28010","Arizona","04",3235,2746287,117.8
,"2003","2003","Prostate","28010","Arkansas","05",2247,1333293,168.5
,"2003","2003","Prostate","28010","California","06",21133,17543650,120.5
,"2003","2003","Prostate","28010","Colorado","08",2871,2275518,126.2
,"2003","2003","Prostate","28010","Connecticut","09",2778,1690868,164.3
,"2003","2003","Prostate","28010","Delaware","10",702,397201,176.7
,"2003","2003","Prostate","28010","District of Columbia","11",482,267895,179.9
,"2003","2003","Prostate","28010","Florida","12",15108,8306512,181.9
,"2003","2003","Prostate","28010","Georgia","13",5039,4227841,119.2
,"2003","2003","Prostate","28010","Hawaii","15",797,627401,127.0
,"2003","2003","Prostate","28010","Idaho","16",1000,683503,146.3
,"2003","2003","Prostate","28010","Illinois","17",8633,6153147,140.3
,"2003","2003","Prostate","28010","Indiana","18",3990,3044272,131.1
,"2003","2003","Prostate","28010","Iowa","19",2098,1448092,144.9
,"2003","2003","Prostate","28010","Kansas","20",1978,1345589,147.0
,"2003","2003","Prostate","28010","Kentucky","21",2717,2014862,134.8
,"2003","2003","Prostate","28010","Louisiana","22",3389,2193889,154.5
,"2003","2003","Prostate","28010","Maine","23",1129,637833,177.0
,"2003","2003","Prostate","28010","Maryland","24",4231,2652422,159.5
,"2003","2003","Prostate","28010","Massachusetts","25",4796,3101748,154.6
,"2003","2003","Prostate","28010","Michigan","26",8416,4930631,170.7
,"2003","2003","Prostate","28010","Minnesota","27",3895,2506573,155.4
,"2003","2003","Prostate","28010","Mississippi","28",2054,1388701,147.9
,"2003","2003","Prostate","28010","Missouri","29",3674,2782847,132.0
,"2003","2003","Prostate","28010","Montana","30",908,459514,197.6
,"2003","2003","Prostate","28010","Nebraska","31",1268,859281,147.6
,"2003","2003","Prostate","28010","Nevada","32",1577,1140715,138.2
,"2003","2003","Prostate","28010","New Hampshire","33",939,631327,148.7
,"2003","2003","Prostate","28010","New Jersey","34",6928,4179438,165.8
,"2003","2003","Prostate","28010","New Mexico","35",1383,925271,149.5
,"2003","2003","Prostate","28010","New York","36",14547,9258129,157.1
,"2003","2003","Prostate","28010","North Carolina","37",5755,4108600,140.1
,"2003","2003","Prostate","28010","North Dakota","38",509,319921,159.1
,"2003","2003","Prostate","28010","Ohio","39",7774,5566253,139.7
,"2003","2003","Prostate","28010","Oklahoma","40",2459,1727169,142.4
,"2003","2003","Prostate","28010","Oregon","41",2480,1758571,141.0
,"2003","2003","Prostate","28010","Pennsylvania","42",10182,5996764,169.8
,"2003","2003","Prostate","28010","Rhode Island","44",777,515752,150.7
,"2003","2003","Prostate","28010","South Carolina","45",3183,2016330,157.9
,"2003","2003","Prostate","28010","South Dakota","46",703,380096,185.0
,"2003","2003","Prostate","28010","Tennessee","47",3311,2846829,116.3
,"2003","2003","Prostate","28010","Texas","48",12815,10934978,117.2
,"2003","2003","Prostate","28010","Utah","49",1514,1184270,127.8
,"2003","2003","Prostate","28010","Vermont","50",478,303652,157.4
,"2003","2003","Prostate","28010","Virginia","51",5048,3609197,139.9
,"2003","2003","Prostate","28010","Washington","53",4460,3038376,146.8
,"2003","2003","Prostate","28010","West Virginia","54",1264,886460,142.6
,"2003","2003","Prostate","28010","Wisconsin","55",4215,2712302,155.4
,"2003","2003","Prostate","28010","Wyoming","56",436,254325,171.4
,"2003","2003","Prostate","28010","Puerto Rico","72",Missing,Missing,Missing
,"2004","2004","Prostate","28010","Alabama","01",3272,2192872,149.2
,"2004","2004","Prostate","28010","Alaska","02",378,341479,110.7
,"2004","2004","Prostate","28010","Arizona","04",3430,2816798,121.8
,"2004","2004","Prostate","28010","Arkansas","05",2096,1346638,155.6
,"2004","2004","Prostate","28010","California","06",22458,17703161,126.9
,"2004","2004","Prostate","28010","Colorado","08",2923,2300502,127.1
,"2004","2004","Prostate","28010","Connecticut","09",2541,1698016,149.6
,"2004","2004","Prostate","28010","Delaware","10",654,403483,162.1
,"2004","2004","Prostate","28010","District of Columbia","11",427,267470,159.6
,"2004","2004","Prostate","28010","Florida","12",14232,8512871,167.2
,"2004","2004","Prostate","28010","Georgia","13",5440,4305728,126.3
,"2004","2004","Prostate","28010","Hawaii","15",850,636705,133.5
,"2004","2004","Prostate","28010","Idaho","16",1038,698616,148.6
,"2004","2004","Prostate","28010","Illinois","17",8519,6175564,137.9
,"2004","2004","Prostate","28010","Indiana","18",3944,3064055,128.7
,"2004","2004","Prostate","28010","Iowa","19",2144,1454747,147.4
,"2004","2004","Prostate","28010","Kansas","20",2094,1351977,154.9
,"2004","2004","Prostate","28010","Kentucky","21",2634,2034050,129.5
,"2004","2004","Prostate","28010","Louisiana","22",3299,2213485,149.0
,"2004","2004","Prostate","28010","Maine","23",1232,641826,192.0
,"2004","2004","Prostate","28010","Maryland","24",3599,2676892,134.4
,"2004","2004","Prostate","28010","Massachusetts","25",4667,3097647,150.7
,"2004","2004","Prostate","28010","Michigan","26",8187,4937386,165.8
,"2004","2004","Prostate","28010","Minnesota","27",4088,2523676,162.0
,"2004","2004","Prostate","28010","Mississippi","28",2039,1398895,145.8
,"2004","2004","Prostate","28010","Missouri","29",3487,2805056,124.3
,"2004","2004","Prostate","28010","Montana","30",926,465009,199.1
,"2004","2004","Prostate","28010","Nebraska","31",1287,865386,148.7
,"2004","2004","Prostate","28010","Nevada","32",1586,1189636,133.3
,"2004","2004","Prostate","28010","New Hampshire","33",1014,636276,159.4
,"2004","2004","Prostate","28010","New Jersey","34",6396,4197597,152.4
