ENTLMT_RSN_CURR,STATE_NAME,STATE_FIPS,BENE_N,TOTAL_N,PER_100K
"Disabled and ESRD",Illinois,17,12,678,1769.9115044247787
"Disabled and ESRD",Indiana,18,.,.,2024.2914979757086
"Disabled and ESRD",Iowa,19,.,.,473.93364928909955
"Disabled and ESRD",Kansas,20,.,.,790.5138339920948
"Disabled and ESRD",Kentucky,21,.,.,1452.7845036319613
"Disabled and ESRD",Louisiana,22,21,728,2884.6153846153848
"Disabled and ESRD",Maine,23,.,.,2127.659574468085
"Disabled and ESRD",Maryland,24,.,.,5235.602094240838
"Disabled and ESRD",Massachusetts,25,.,.,2857.142857142857
"Disabled and ESRD",Michigan,26,.,.,1463.4146341463415
"Disabled and ESRD",Minnesota,27,.,.,471.6981132075471
"Disabled and ESRD",Mississippi,28,19,770,2467.5324675324678
"Disabled and ESRD",Missouri,29,.,.,1405.97539543058
"Disabled and ESRD",Nebraska,31,.,.,1030.9278350515465
"Disabled and ESRD",Nevada,32,.,.,1515.1515151515152
"Disabled and ESRD","New Jersey",34,16,387,4134.3669250646
"Disabled and ESRD","New York",36,43,811,5302.09617755857
"Disabled and ESRD","North Carolina",37,41,1219,3363.4126333059885
"Disabled and ESRD","North Dakota",38,.,.,2325.5813953488373
"Disabled and ESRD",Ohio,39,.,.,1109.5700416088766
"Disabled and ESRD",Oklahoma,40,.,.,557.1030640668524
"Disabled and ESRD",Pennsylvania,42,23,744,3091.3978494623657
"Disabled and ESRD","South Carolina",45,22,706,3116.1473087818695
"Disabled and ESRD",Tennessee,47,15,719,2086.230876216968
"Disabled and ESRD",Texas,48,43,1869,2300.6955591225255
"Disabled and ESRD",Virginia,51,13,582,2233.676975945017
"Disabled and ESRD",Washington,53,.,.,1176.4705882352941
"Disabled and ESRD",Wisconsin,55,.,.,1201.2012012012012
