AGE_GROUP,STATE_NAME,STATE_FIPS,BENE_YES,BENE_NO,TOTAL_BENE,BENE_YES_PCT
_80-84,Delaware,10,.,.,.,0.8571428571
_80-84,"District of Columbia",11,.,0,.,1
_80-84,Florida,12,104,23,127,0.8188976378
_80-84,Georgia,13,53,17,70,0.7571428571
_80-84,Hawaii,15,.,.,.,0.7142857143
_80-84,Idaho,16,.,.,.,0.7777777778
_80-84,Illinois,17,94,19,113,0.8318584071
_80-84,Indiana,18,.,.,.,0.873015873
_80-84,Iowa,19,.,.,.,0.8636363636
_80-84,Kansas,20,.,.,.,0.7222222222
_80-84,Kentucky,21,.,.,.,0.7567567568
_80-84,Louisiana,22,.,.,.,0.75
_80-84,Maine,23,.,.,.,0.7727272727
_80-84,Maryland,24,.,.,.,0.8392857143
_80-84,Massachusetts,25,75,12,87,0.8620689655
_80-84,Michigan,26,.,.,.,0.9285714286
_80-84,Minnesota,27,.,.,.,0.8409090909
_80-84,Mississippi,28,.,.,.,0.6666666667
_80-84,Missouri,29,.,.,.,0.775
_80-84,Montana,30,13,0,13,1
_80-84,Nebraska,31,.,.,.,0.8947368421
_80-84,Nevada,32,.,.,.,0.7222222222
_80-84,"New Hampshire",33,.,.,.,0.88
_80-84,"New Jersey",34,.,.,.,0.8571428571
_80-84,"New Mexico",35,.,.,.,0.95
_80-84,"New York",36,84,20,104,0.8076923077
_80-84,"North Carolina",37,48,19,67,0.7164179104
_80-84,"North Dakota",38,.,.,.,0.7777777778
_80-84,Ohio,39,91,16,107,0.8504672897
_80-84,Oklahoma,40,35,12,47,0.7446808511
_80-84,Oregon,41,.,.,.,0.8
_80-84,Pennsylvania,42,85,18,103,0.8252427184
_80-84,"Rhode Island",44,.,.,.,0.8
_80-84,"South Carolina",45,32,11,43,0.7441860465
_80-84,"South Dakota",46,.,.,.,0.9
_80-84,Tennessee,47,43,15,58,0.7413793103
_80-84,Texas,48,116,18,134,0.8656716418
_80-84,Utah,49,.,.,.,0.6470588235
_80-84,Vermont,50,.,0,.,1
_80-84,Virginia,51,67,11,78,0.858974359
_80-84,Washington,53,.,.,.,0.9038461538
_80-84,"West Virginia",54,.,.,.,0.9
_80-84,Wisconsin,55,.,.,.,0.875
_80-84,Wyoming,56,.,.,.,0.7777777778
_85+,Alabama,1,.,.,.,0.8947368421
_85+,Alaska,2,.,.,.,0.75
_85+,Arizona,4,19,14,33,0.5757575758
_85+,Arkansas,5,.,.,.,0.7037037037
_85+,California,6,122,26,148,0.8243243243
_85+,Colorado,8,.,.,.,0.7
_85+,Connecticut,9,.,.,.,0.962962963
_85+,Delaware,10,.,.,.,0.9166666667
