education_group,state_name,state_fips,bene_yes,bene_no,total_bene,bene_yes_pct,bene_yes_pct_lcl,bene_yes_pct_ucl,age_adjusted_pct,age_adjusted_pct_lcl,age_adjusted_pct_ucl
"Graduated from College or Technical
School",Maryland,24,41,66,107,38.9031977359541,24.6799134023676,53.1264820695406,37.5058395699274,16.2830037114848,58.72867542837
"Don’t know/Not sure/Missing",Maryland,24,.,.,.,.,.,.,.,.,.
"Did not graduate High School",Massachusetts,25,6,14,20,27.2305992844148,12.9033990251404,41.5577995436893,28.6905007874171,16.1227894342861,41.2582121405481
"Graduated High School",Massachusetts,25,36,68,104,40.086371480015,26.0398649769814,54.1328779830487,34.629585029421,19.2540742883308,50.0050957705112
"Attended College or Technical School",Massachusetts,25,43,72,115,45.2235753363307,32.3869233419677,58.0602273306938,43.0768056019872,26.8151975604089,59.3384136435655
"Graduated from College or Technical
School",Massachusetts,25,28,44,72,37.1074836497918,24.890707838668,49.3242594609155,36.2596908790629,21.9742173282758,50.54516442985
"Don’t know/Not sure/Missing",Massachusetts,25,.,.,.,.,.,.,.,.,.
"Did not graduate High School",Michigan,26,17,21,38,38.5755793082251,24.2352072071653,52.9159514092849,32.0782505070221,22.9891751559305,41.1673258581138
"Graduated High School",Michigan,26,48,100,148,31.5472956680631,22.9728528144727,40.1217385216535,32.6497506538241,19.0399386260317,46.2595626816165
"Attended College or Technical School",Michigan,26,49,113,162,28.8450587142337,20.9204667238734,36.7696507045941,24.9197695378827,14.4891738421827,35.3503652335827
"Graduated from College or Technical
School",Michigan,26,28,57,85,32.6943060478872,22.1144852214053,43.2741268743691,33.7280698992587,16.1232484151764,51.332891383341
"Don’t know/Not sure/Missing",Michigan,26,.,.,.,.,.,.,.,.,.
"Did not graduate High School",Minnesota,27,7,24,31,.,.,.,.,.,.
"Graduated High School",Minnesota,27,43,117,160,28.1653430390026,18.9217544938514,37.4089315841539,26.9505623691947,13.4098575353518,40.4912672030377
"Attended College or Technical School",Minnesota,27,69,155,224,30.3232201853477,22.6075171391617,38.0389232315336,32.1152478467393,18.9945452961564,45.2359503973222
"Graduated from College or Technical
School",Minnesota,27,39,74,113,34.2721800344627,23.488376824389,45.0559832445363,30.5104529870272,15.2815481122609,45.7393578617936
"Don’t know/Not sure/Missing",Minnesota,27,.,.,.,.,.,.,.,.,.
"Did not graduate High School",Mississippi,28,9,29,38,18.8527243039378,7.66853172649898,30.0369168813766,.,.,.
"Graduated High School",Mississippi,28,10,51,61,.,.,.,.,.,.
"Attended College or Technical School",Mississippi,28,14,41,55,26.9166695859886,11.500771431574,42.3325677404032,.,.,.
"Graduated from College or Technical
School",Mississippi,28,8,29,37,29.6316327570121,12.5883848859594,46.6748806280648,.,.,.
"Don’t know/Not sure/Missing",Mississippi,28,.,.,.,.,.,.,.,.,.
"Did not graduate High School",Missouri,29,18,33,51,36.4354582164475,21.8071907056448,51.0637257272502,32.5625843620948,13.793175655143,51.3319930690466
"Graduated High School",Missouri,29,34,100,134,25.1713247738713,17.0864647249496,33.2561848227931,22.0060334173166,12.8118974659854,31.2001693686477
"Attended College or Technical School",Missouri,29,35,80,115,35.6834422900299,25.5976170993922,45.7692674806675,33.9587343264777,17.6977636868177,50.2197049661376
"Graduated from College or Technical
School",Missouri,29,28,42,70,34.723493119997,23.6572509461788,45.7897352938152,39.0342688181815,27.5670379330475,50.5014997033155
"Don’t know/Not sure/Missing",Missouri,29,0,1,1,.,.,.,.,.,.
"Did not graduate High School",Montana,30,4,15,19,35.4928858696269,30.0506800480522,40.9350916912016,.,.,.
"Graduated High School",Montana,30,23,69,92,21.6139137119687,11.2715941287615,31.9562332951758,.,.,.
"Attended College or Technical School",Montana,30,27,67,94,27.3509654755996,17.1652722879687,37.5366586632305,24.9304380255964,15.1349437951794,34.7259322560133
"Graduated from College or Technical
School",Montana,30,14,33,47,28.8298642403701,13.1282144855223,44.5315139952178,34.9885262814096,19.1807340110582,50.7963185517611
"Don’t know/Not sure/Missing",Montana,30,.,.,.,.,.,.,.,.,.
"Did not graduate High School",Nebraska,31,9,19,28,.,.,.,.,.,.
"Graduated High School",Nebraska,31,46,90,136,33.6633452119241,23.0366013142257,44.2900891096226,30.944258970992,18.0499660900494,43.8385518519346
"Attended College or Technical School",Nebraska,31,37,74,111,45.1669220324835,33.7335280327233,56.6003160322437,46.073157094284,32.1900248623941,59.9562893261739
"Graduated from College or Technical
School",Nebraska,31,19,32,51,35.6568430766446,20.4958551422102,50.817831011079,35.9301526056503,15.0708597226509,56.7894454886497
"Don’t know/Not sure/Missing",Nebraska,31,0,1,1,.,.,.,.,.,.
"Did not graduate High School",Nevada,32,2,8,10,25.9095037474896,16.4750902183672,35.343917276612,.,.,.
"Graduated High School",Nevada,32,12,30,42,.,.,.,.,.,.
"Attended College or Technical School",Nevada,32,11,28,39,.,.,.,.,.,.
"Graduated from College or Technical
School",Nevada,32,6,26,32,.,.,.,.,.,.
"Don’t know/Not sure/Missing",Nevada,32,.,.,.,.,.,.,.,.,.
"Did not graduate High School","New Hampshire",33,6,12,18,31.7453496024435,11.0814022050541,52.4092969998329,60.9427582537084,39.1233260975811,82.7621904098356
"Graduated High School","New Hampshire",33,21,69,90,17.2566657674974,8.75090797846765,25.7624235565271,25.0575284182583,11.547393766518,38.5676630699985
"Attended College or Technical School","New Hampshire",33,35,49,84,45.7923376036357,33.9567517691299,57.6279234381414,41.4927705348728,29.8461980414801,53.1393430282655
"Graduated from College or Technical
School","New Hampshire",33,20,38,58,28.9004561348865,14.7524537797022,43.0484584900708,.,.,.
"Don’t know/Not sure/Missing","New Hampshire",33,0,1,1,.,.,.,.,.,.
"Did not graduate High School","New Jersey",34,6,16,22,.,.,.,.,.,.
"Graduated High School","New Jersey",34,22,42,64,34.4693387546961,19.7269389365538,49.2117385728384,.,.,.
"Attended College or Technical School","New Jersey",34,12,50,62,33.6234114519136,22.9853239646528,44.2614989391745,.,.,.
"Graduated from College or Technical
School","New Jersey",34,9,32,41,30.2562134743371,14.7936214522577,45.7188054964165,.,.,.
"Don’t know/Not sure/Missing","New Jersey",34,1,0,1,.,.,.,.,.,.
"Did not graduate High School","New Mexico",35,3,14,17,23.6132093794302,14.4317840649075,32.794634693953,17.9901327684404,17.2049931291077,18.775272407773
"Graduated High School","New Mexico",35,9,39,48,11.8313724359681,4.91849800911447,18.7442468628217,11.6557998146624,5.92523242808887,17.3863672012359
"Attended College or Technical School","New Mexico",35,13,40,53,.,.,.,.,.,.
"Graduated from College or Technical
School","New Mexico",35,11,29,40,26.0254767511833,12.5600906605761,39.4908628417904,.,.,.
"Don’t know/Not sure/Missing","New Mexico",35,.,.,.,.,.,.,.,.,.
"Did not graduate High School","New York",36,19,41,60,33.3982133094597,14.7015539673974,52.0948726515221,.,.,.
"Graduated High School","New York",36,91,120,211,41.4498502556757,32.123011150302,50.7766893610494,38.0321954391948,25.8709394819182,50.1934513964715
"Attended College or Technical School","New York",36,60,123,183,24.9569955572882,17.0270857441124,32.8869053704641,24.1146416062157,12.0278604762157,36.2014227362156
"Graduated from College or Technical
School","New York",36,48,103,151,32.1094342180497,22.5363026131142,41.6825658229853,27.5057503098951,16.0770197711442,38.9344808486461
"Don’t know/Not sure/Missing","New York",36,0,1,1,.,.,.,.,.,.
"Did not graduate High School","North Carolina",37,7,11,18,21.2978032061365,8.68871911490681,33.9068872973663,14.3137447686167,7.9710896110969,20.6563999261364
"Graduated High School","North Carolina",37,19,36,55,30.7640438447856,13.8929513163405,47.6351363732306,34.0512876747219,21.1245683664741,46.9780069829696
"Attended College or Technical School","North Carolina",37,23,45,68,30.0658507027446,15.3188530549202,44.8128483505691,.,.,.
"Graduated from College or Technical
School","North Carolina",37,13,27,40,30.1957322624733,13.1291372059568,47.2623273189898,.,.,.
"Don’t know/Not sure/Missing","North Carolina",37,.,.,.,.,.,.,.,.,.
"Did not graduate High School","North Dakota",38,5,7,12,.,.,.,.,.,.
"Graduated High School","North Dakota",38,19,42,61,27.6265992909137,16.622999887181,38.6301986946464,.,.,.
"Attended College or Technical School","North Dakota",38,20,39,59,35.4019977069776,21.4407508373969,49.3632445765583,.,.,.
"Graduated from College or Technical
School","North Dakota",38,15,30,45,32.9742779065234,16.4110488451673,49.5375069678796,.,.,.
"Don’t know/Not sure/Missing","North Dakota",38,.,.,.,.,.,.,.,.,.
"Did not graduate High School",Ohio,39,28,63,91,31.3448538622177,20.5199982644867,42.1697094599487,31.3352909769931,19.5286349623957,43.1419469915905
"Graduated High School",Ohio,39,116,280,396,28.1883264821629,21.4471930188912,34.9294599454346,27.693156779341,18.0829065235378,37.3034070351442
