age_group,state_name,state_fips,bene_yes,bene_no,total_bene,bene_yes_pct,bene_yes_pct_lcl,bene_yes_pct_ucl,age_adjusted_pct,age_adjusted_pct_lcl,age_adjusted_pct_ucl
_65_69,Kansas,20,31,75,106,37.2194520647226,22.0904516791918,52.3484524502534,.,.,.
_70_74,Kansas,20,39,61,100,43.7197631619649,31.4791876485935,55.9603386753363,.,.,.
_75_79,Kansas,20,21,29,50,46.6283220408707,31.6042833378939,61.6523607438476,.,.,.
_50_54,Kentucky,21,9,30,39,20.3491636135899,13.8671256554672,26.8312015717127,.,.,.
_55_59,Kentucky,21,13,33,46,26.82117850418,18.4910155462467,35.1513414621134,.,.,.
_60_64,Kentucky,21,20,30,50,27.1844081691718,15.140513523076,39.2283028152677,.,.,.
_65_69,Kentucky,21,22,30,52,45.9543583082831,29.1558473894602,62.7528692271061,.,.,.
_70_74,Kentucky,21,16,28,44,38.0465776359589,27.9859297169215,48.1072255549964,.,.,.
_75_79,Kentucky,21,6,12,18,.,.,.,.,.,.
_50_54,Louisiana,22,2,22,24,.,.,.,.,.,.
_55_59,Louisiana,22,15,38,53,35.6585506742461,21.0790216650865,50.2380796834056,.,.,.
_60_64,Louisiana,22,21,38,59,35.5678168675162,22.8832721957381,48.2523615392943,.,.,.
_65_69,Louisiana,22,19,42,61,24.0751014198121,14.7470952238716,33.4031076157525,.,.,.
_70_74,Louisiana,22,10,32,42,.,.,.,.,.,.
_75_79,Louisiana,22,8,16,24,.,.,.,.,.,.
_50_54,Maine,23,10,45,55,15.7483940732964,6.63488560744001,24.8619025391528,.,.,.
_55_59,Maine,23,31,59,90,37.1408588326558,27.8650395310418,46.4166781342697,.,.,.
_60_64,Maine,23,40,65,105,42.325592712753,28.7618841463958,55.8893012791102,.,.,.
_65_69,Maine,23,50,63,113,47.3645245705365,34.4333143724797,60.2957347685933,.,.,.
_70_74,Maine,23,36,45,81,45.3920882874431,31.3007501002535,59.4834264746326,.,.,.
_75_79,Maine,23,22,34,56,40.6556139259048,26.0722307151384,55.2389971366712,.,.,.
_50_54,Maryland,24,9,39,48,.,.,.,.,.,.
_55_59,Maryland,24,27,56,83,32.0267713552252,18.4121343708414,45.641408339609,.,.,.
_60_64,Maryland,24,43,83,126,33.6508372603298,21.138055467818,46.1636190528416,.,.,.
_65_69,Maryland,24,43,82,125,33.2882522111878,18.5890147951608,47.9874896272148,.,.,.
_70_74,Maryland,24,30,58,88,31.5790335781132,16.5662050730792,46.5918620831471,.,.,.
_75_79,Maryland,24,15,32,47,.,.,.,.,.,.
_50_54,Massachusetts,25,1,16,17,.,.,.,.,.,.
_55_59,Massachusetts,25,14,42,56,.,.,.,.,.,.
_60_64,Massachusetts,25,24,41,65,42.568071817766,22.361870482446,62.7742731530861,.,.,.
_65_69,Massachusetts,25,37,47,84,44.3330396037086,28.3138895155961,60.352189691821,.,.,.
_70_74,Massachusetts,25,30,30,60,56.9065785241124,42.038518987558,71.7746380606669,.,.,.
_75_79,Massachusetts,25,7,22,29,.,.,.,.,.,.
_50_54,Michigan,26,5,32,37,.,.,.,.,.,.
_55_59,Michigan,26,21,49,70,25.473892416129,13.0012798339955,37.9465049982625,.,.,.
_60_64,Michigan,26,34,76,110,33.9704266235753,22.5570213326523,45.3838319144983,.,.,.
_65_69,Michigan,26,34,68,102,37.7163470014625,25.9919805145476,49.4407134883775,.,.,.
_70_74,Michigan,26,34,39,73,44.3914339551306,32.2681471770584,56.5147207332029,.,.,.
_75_79,Michigan,26,14,27,41,26.2347117938331,17.185388038822,35.2840355488442,.,.,.
_50_54,Minnesota,27,4,50,54,.,.,.,.,.,.
_55_59,Minnesota,27,22,66,88,30.1434028674385,16.7846799615773,43.5021257732998,.,.,.
_60_64,Minnesota,27,38,89,127,22.9743670207116,14.3269540526263,31.621779988797,.,.,.
_65_69,Minnesota,27,55,73,128,45.7761741017829,33.0254109983937,58.526937205172,.,.,.
_70_74,Minnesota,27,26,59,85,30.4756900571915,16.7997676557657,44.1516124586173,.,.,.
_75_79,Minnesota,27,13,33,46,32.5091887517634,16.2026909798912,48.8156865236357,.,.,.
_50_54,Mississippi,28,3,30,33,.,.,.,.,.,.
_55_59,Mississippi,28,8,31,39,.,.,.,.,.,.
_60_64,Mississippi,28,6,31,37,.,.,.,.,.,.
_65_69,Mississippi,28,13,33,46,29.897831188648,13.8150134061857,45.9806489711104,.,.,.
_70_74,Mississippi,28,8,19,27,.,.,.,.,.,.
_75_79,Mississippi,28,3,6,9,15.7045656794938,0,56.5371228745374,.,.,.
_50_54,Missouri,29,5,34,39,.,.,.,.,.,.
_55_59,Missouri,29,12,50,62,.,.,.,.,.,.
_60_64,Missouri,29,29,52,81,34.9940959741734,20.0796466647159,49.9085452836309,.,.,.
_65_69,Missouri,29,37,55,92,42.7722552479365,31.210098372913,54.3344121229599,.,.,.
_70_74,Missouri,29,21,43,64,29.6297897909799,20.3205032055479,38.9390763764119,.,.,.
_75_79,Missouri,29,11,22,33,52.488734383681,30.3795117246715,74.5979570426906,.,.,.
_50_54,Montana,30,1,18,19,.,.,.,.,.,.
_55_59,Montana,30,3,26,29,.,.,.,.,.,.
_60_64,Montana,30,13,28,41,39.8999936534264,26.8663613938803,52.9336259129724,.,.,.
_65_69,Montana,30,23,55,78,24.8580115112534,14.139119225265,35.5769037972417,.,.,.
_70_74,Montana,30,19,34,53,44.8651393666347,30.5415708164269,59.1887079168425,.,.,.
_75_79,Montana,30,9,23,32,.,.,.,.,.,.
_50_54,Nebraska,31,4,26,30,.,.,.,.,.,.
_55_59,Nebraska,31,10,37,47,36.376943450998,17.4360608324488,55.3178260695472,.,.,.
_60_64,Nebraska,31,20,50,70,31.8916072596447,18.7380920871348,45.0451224321546,.,.,.
_65_69,Nebraska,31,28,40,68,41.3731100436583,27.8751060966495,54.871113990667,.,.,.
_70_74,Nebraska,31,35,45,80,52.6106777632121,40.2991921547077,64.9221633717165,.,.,.
_75_79,Nebraska,31,14,18,32,52.3169457030832,37.7291140659868,66.9047773401795,.,.,.
_50_54,Nevada,32,2,10,12,.,.,.,.,.,.
_55_59,Nevada,32,2,18,20,.,.,.,.,.,.
_60_64,Nevada,32,5,17,22,.,.,.,.,.,.
_65_69,Nevada,32,4,16,20,.,.,.,.,.,.
_70_74,Nevada,32,8,20,28,.,.,.,.,.,.
_75_79,Nevada,32,10,11,21,56.9168024140329,24.5130990630787,89.3205057649871,.,.,.
_50_54,"New Hampshire",33,2,17,19,11.7743403197647,6.28056829138928,17.2681123481401,.,.,.
_55_59,"New Hampshire",33,4,26,30,.,.,.,.,.,.
_60_64,"New Hampshire",33,18,33,51,35.092209296375,20.1116872756484,50.0727313171016,.,.,.
_65_69,"New Hampshire",33,22,40,62,38.795356785974,26.2989023991429,51.2918111728051,.,.,.
_70_74,"New Hampshire",33,21,26,47,48.2664045099194,33.2503088740384,63.2825001458004,.,.,.
_75_79,"New Hampshire",33,15,27,42,42.808532761995,21.8152098312711,63.8018556927189,.,.,.
_50_54,"New Jersey",34,4,17,21,.,.,.,.,.,.
_55_59,"New Jersey",34,8,21,29,31.4910441863264,11.9322884817552,51.0497998908976,.,.,.
_60_64,"New Jersey",34,14,44,58,34.2894173514345,22.7244332212085,45.8544014816606,.,.,.
_65_69,"New Jersey",34,6,24,30,.,.,.,.,.,.
_70_74,"New Jersey",34,8,24,32,24.5452884961848,12.6603113831991,36.4302656091705,.,.,.
_75_79,"New Jersey",34,10,10,20,57.1042733959637,27.1832344840116,87.0253123079158,.,.,.
_50_54,"New Mexico",35,0,11,11,.,.,.,.,.,.
_55_59,"New Mexico",35,4,20,24,.,.,.,.,.,.
_60_64,"New Mexico",35,7,19,26,.,.,.,.,.,.
_65_69,"New Mexico",35,13,26,39,27.4252519095617,11.2287655504322,43.6217382686911,.,.,.
_70_74,"New Mexico",35,6,24,30,.,.,.,.,.,.
_75_79,"New Mexico",35,6,22,28,.,.,.,.,.,.
_50_54,"New York",36,10,55,65,.,.,.,.,.,.
_55_59,"New York",36,32,53,85,30.0978170460707,18.6641446250798,41.5314894670615,.,.,.
_60_64,"New York",36,52,91,143,39.5650824857077,28.8295523876756,50.3006125837398,.,.,.
_65_69,"New York",36,58,80,138,43.2833791898197,32.9392790086483,53.6274793709911,.,.,.
_70_74,"New York",36,48,76,124,33.6952368162335,22.6855713483949,44.704902284072,.,.,.
_75_79,"New York",36,18,33,51,.,.,.,.,.,.
_50_54,"North Carolina",37,2,22,24,.,.,.,.,.,.
_55_59,"North Carolina",37,9,13,22,45.1844221246985,14.0117053804584,76.3571388689385,.,.,.
_60_64,"North Carolina",37,19,24,43,35.6286460946076,18.2634726310042,52.9938195582109,.,.,.
_65_69,"North Carolina",37,19,30,49,30.84632761853,17.7120310269227,43.9806242101372,.,.,.
_70_74,"North Carolina",37,9,20,29,.,.,.,.,.,.
_75_79,"North Carolina",37,4,10,14,.,.,.,.,.,.
_50_54,"North Dakota",38,2,10,12,.,.,.,.,.,.
_55_59,"North Dakota",38,4,25,29,.,.,.,.,.,.
_60_64,"North Dakota",38,12,22,34,44.8853265565405,21.8195277005837,67.9511254124973,.,.,.
_65_69,"North Dakota",38,20,23,43,43.9668278895262,26.3027196175255,61.630936161527,.,.,.
_70_74,"North Dakota",38,13,23,36,36.1079995491544,18.5071685234941,53.7088305748146,.,.,.
_75_79,"North Dakota",38,8,15,23,.,.,.,.,.,.
_50_54,Ohio,39,14,117,131,.,.,.,.,.,.
_55_59,Ohio,39,48,123,171,25.6337093457195,16.7019823541061,34.565436337333,.,.,.
_60_64,Ohio,39,66,127,193,33.6934323379221,24.1438771807811,43.2429874950631,.,.,.
_65_69,Ohio,39,65,133,198,36.7563479087298,25.9754051833043,47.5372906341554,.,.,.
_70_74,Ohio,39,42,99,141,31.4789592419735,19.9711034543462,42.9868150296008,.,.,.
_75_79,Ohio,39,30,37,67,58.3118558167957,38.870743178187,77.7529684554044,.,.,.
_50_54,Oklahoma,40,2,22,24,.,.,.,.,.,.
_55_59,Oklahoma,40,8,27,35,.,.,.,.,.,.
_60_64,Oklahoma,40,12,42,54,17.5074825434516,8.02157071804012,26.9933943688632,.,.,.
_65_69,Oklahoma,40,12,36,48,24.9042620868974,13.2735544166127,36.5349697571822,.,.,.
_70_74,Oklahoma,40,9,29,38,.,.,.,.,.,.
_75_79,Oklahoma,40,8,27,35,.,.,.,.,.,.
_50_54,Oregon,41,0,21,21,.,.,.,.,.,.
_55_59,Oregon,41,6,22,28,.,.,.,.,.,.
_60_64,Oregon,41,10,21,31,19.6596976610081,7.733793421378,31.5856019006382,.,.,.
_65_69,Oregon,41,12,19,31,38.8766864551837,19.2791544908521,58.4742184195154,.,.,.
_70_74,Oregon,41,8,16,24,.,.,.,.,.,.
_75_79,Oregon,41,7,17,24,.,.,.,.,.,.
_50_54,Pennsylvania,42,0,19,19,.,.,.,.,.,.
_55_59,Pennsylvania,42,11,26,37,.,.,.,.,.,.
_60_64,Pennsylvania,42,20,37,57,27.1137416479781,10.7910306692432,43.4364526267131,.,.,.
_65_69,Pennsylvania,42,17,35,52,29.8722127393916,16.1779352138879,43.5664902648953,.,.,.
_70_74,Pennsylvania,42,17,19,36,51.968821787353,40.0143787600643,63.9232648146417,.,.,.
_75_79,Pennsylvania,42,9,8,17,41.0642029551212,10.6122430706187,71.5161628396236,.,.,.
_50_54,"Rhode Island",44,3,13,16,.,.,.,.,.,.
_55_59,"Rhode Island",44,16,20,36,45.7902332006769,23.9837348642237,67.5967315371302,.,.,.
_60_64,"Rhode Island",44,35,30,65,53.8854109919261,37.7761200689937,69.9947019148586,.,.,.
_65_69,"Rhode Island",44,23,30,53,37.502866710093,24.1737849850481,50.831948435138,.,.,.
_70_74,"Rhode Island",44,25,20,45,52.1058335430074,33.9739243750568,70.237742710958,.,.,.
_75_79,"Rhode Island",44,11,15,26,50.0882343903504,24.1744994870274,76.0019692936734,.,.,.
_50_54,"South Carolina",45,6,41,47,.,.,.,.,.,.
_55_59,"South Carolina",45,11,44,55,21.4341868264067,9.61122230630295,33.2571513465104,.,.,.
_60_64,"South Carolina",45,21,68,89,31.5198746839003,18.149203287939,44.8905460798616,.,.,.
_65_69,"South Carolina",45,32,55,87,34.2324186202956,23.1070909312857,45.3577463093054,.,.,.
_70_74,"South Carolina",45,23,53,76,26.6837674954392,13.6443058284055,39.7232291624729,.,.,.
_75_79,"South Carolina",45,19,27,46,48.2931273887587,35.4113306438272,61.1749241336901,.,.,.
_50_54,"South Dakota",46,6,29,35,.,.,.,.,.,.
_55_59,"South Dakota",46,6,36,42,.,.,.,.,.,.
_60_64,"South Dakota",46,22,40,62,.,.,.,.,.,.
_65_69,"South Dakota",46,21,49,70,31.6192035612015,16.8419342879828,46.3964728344201,.,.,.
_70_74,"South Dakota",46,14,32,46,39.0344800927253,21.5367648711957,56.5321953142548,.,.,.
_75_79,"South Dakota",46,4,31,35,.,.,.,.,.,.
