income_group,state_name,state_fips,bene_yes,bene_no,total_bene,bene_yes_pct,bene_yes_pct_lcl,bene_yes_pct_ucl,age_adjusted_pct,age_adjusted_pct_lcl,age_adjusted_pct_ucl
"$15,000 to < $25,000",Washington,53,23,79,102,21.3174295835961,13.3010138935287,29.3338452736634,18.6957544931104,9.85964384610676,27.5318651401139
"$25,000 to < $35,000",Washington,53,20,74,94,21.6794080761796,13.3748567026012,29.983959449758,21.2387355753918,11.6988233923406,30.7786477584429
"$35,000 to < $50,000",Washington,53,36,63,99,32.4682347735675,21.25948833332,43.6769812138149,31.3772538981969,15.7695281923608,46.984979604033
"$50,000 to < $75,000",Washington,53,31,66,97,28.876942412039,18.2811373451166,39.4727474789613,26.6156797674536,16.1537257302337,37.0776338046736
"$75,000 to < $100,000",Washington,53,17,53,70,20.7333061139851,10.7829484868267,30.6836637411434,.,.,.
"$100,000 to < $200,000",Washington,53,25,52,77,31.2811617000361,18.4334569720548,44.1288664280173,33.3887192528165,16.9854773475839,49.791961158049
"$200,000 or more",Washington,53,2,10,12,.,.,.,.,.,.
"Don’t know/Not sure/Missing",Washington,53,32,63,95,34.9788643318137,24.5613057961049,45.3964228675225,32.2951354028372,18.1315627684535,46.4587080372208
"Less than $15,000","West Virginia",54,11,38,49,.,.,.,.,.,.
"$15,000 to < $25,000","West Virginia",54,19,53,72,25.1774263813274,12.8742794704224,37.4805732922325,.,.,.
"$25,000 to < $35,000","West Virginia",54,10,42,52,.,.,.,.,.,.
"$35,000 to < $50,000","West Virginia",54,9,28,37,.,.,.,.,.,.
"$50,000 to < $75,000","West Virginia",54,15,23,38,35.4071104521462,18.7917916531363,52.0224292511562,.,.,.
"$75,000 to < $100,000","West Virginia",54,3,14,17,.,.,.,.,.,.
"$100,000 to < $200,000","West Virginia",54,3,16,19,.,.,.,.,.,.
"$200,000 or more","West Virginia",54,0,3,3,.,.,.,.,.,.
"Don’t know/Not sure/Missing","West Virginia",54,12,25,37,26.0512735865061,10.7615648241634,41.3409823488489,.,.,.
