Notes,Year,Year Code,Leading Cancer Sites,Leading Cancer Sites Code,States and Puerto Rico,States and Puerto Rico Code,Sex,Sex Code,Deaths,Population,Crude Rate
,2000,2000,Breast,26000,Oklahoma,40,Female,F,513,1756493,29.2
,2000,2000,Breast,26000,Oregon,41,Female,F,477,1728647,27.6
,2000,2000,Breast,26000,Pennsylvania,42,Female,F,2280,6351999,35.9
,2000,2000,Breast,26000,Pennsylvania,42,Male,M,22,5932174,0.4
,2000,2000,Breast,26000,Rhode Island,44,Female,F,187,545774,34.3
,2000,2000,Breast,26000,South Carolina,45,Female,F,637,2068627,30.8
,2000,2000,Breast,26000,South Dakota,46,Female,F,129,380681,33.9
,2000,2000,Breast,26000,Tennessee,47,Female,F,863,2926133,29.5
,2000,2000,Breast,26000,Texas,48,Female,F,2466,10545156,23.4
,2000,2000,Breast,26000,Texas,48,Male,M,17,10399343,0.2
,2000,2000,Breast,26000,Utah,49,Female,F,198,1119827,17.7
,2000,2000,Breast,26000,Vermont,50,Female,F,106,310849,34.1
,2000,2000,Breast,26000,Virginia,51,Female,F,1097,3619742,30.3
,2000,2000,Breast,26000,Washington,53,Female,F,749,2967734,25.2
,2000,2000,Breast,26000,West Virginia,54,Female,F,329,928269,35.4
,2000,2000,Breast,26000,Wisconsin,55,Female,F,788,2719235,29
,2000,2000,Breast,26000,Wyoming,56,Female,F,65,245584,26.5
,2001,2001,Breast,26000,Alabama,01,Female,F,748,2309496,32.4
,2001,2001,Breast,26000,Alaska,02,Female,F,46,305579,15.1
,2001,2001,Breast,26000,Arizona,04,Female,F,685,2641676,25.9
,2001,2001,Breast,26000,Arkansas,05,Female,F,395,1376845,28.7
,2001,2001,Breast,26000,California,06,Female,F,4200,17294223,24.3
,2001,2001,Breast,26000,California,06,Male,M,35,17185235,0.2
,2001,2001,Breast,26000,Colorado,08,Female,F,469,2195705,21.4
,2001,2001,Breast,26000,Connecticut,09,Female,F,594,1768959,33.6
,2001,2001,Breast,26000,Delaware,10,Female,F,123,409349,30
,2001,2001,Breast,26000,District of Columbia,11,Female,F,128,303740,42.1
,2001,2001,Breast,26000,Florida,12,Female,F,2562,8372776,30.6
,2001,2001,Breast,26000,Florida,12,Male,M,29,7984190,0.4
,2001,2001,Breast,26000,Georgia,13,Female,F,1010,4256162,23.7
,2001,2001,Breast,26000,Hawaii,15,Female,F,139,609189,22.8
,2001,2001,Breast,26000,Idaho,16,Female,F,131,658043,19.9
,2001,2001,Breast,26000,Illinois,17,Female,F,1846,6370443,29
,2001,2001,Breast,26000,Illinois,17,Male,M,23,6118002,0.4
,2001,2001,Breast,26000,Indiana,18,Female,F,921,3120158,29.5
